Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
com.android.internal.telephony.PhoneBase.notifyDataConnection(String);com.android.internal.telephony.Phone;1;1;1;0.9877;599;135;66;1;0;0.9947;175;175;72
com.android.internal.telephony.CallManager.switchHoldingAndActive(Call);com.android.internal.telephony.Phone;0;3;2;0.9756;753;95;52;1;0;0.9948;175;175;72
com.android.internal.telephony.uicc.AdnRecordLoader.handleMessage(Message);com.android.internal.telephony.uicc.IccFileHandler;2;0;15;0.5263;117;4;15;2;0;0.9394;262;16;42
com.android.internal.telephony.gsm.GsmCallTracker.setMute(boolean);com.android.internal.telephony.CommandsInterface;0;0;1;0.9818;563;41;17;1;0;0.9954;216;214;44
com.android.internal.telephony.PhoneProxy.needsOtaServiceProvisioning();com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.gsm.GsmDataConnectionTracker.onDataStateChanged(AsyncResult);com.android.internal.telephony.DataConnectionAc;2;8;0;0.9304;1870;98;16;2;0;0.9667;270;41;35
com.android.internal.telephony.cdma.SmsMessage.parseBroadcastSms();com.android.internal.telephony.cdma.sms.BearerData;4;0;3;0.9677;546;31;16;2;4;0.8780;1200;64;113
com.android.internal.telephony.uicc.IccCardProxy.updateIccAvailability();com.android.internal.telephony.uicc.UiccCardApplication;1;4;7;0.8305;507;40;28;1;0;0.9865;388;38;29
com.android.internal.telephony.PhoneProxy.unregisterForInCallVoicePrivacyOn(Handler);com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.CallSetupException.DcActivatingState.processMessage(Message);com.android.internal.telephony.CommandsInterface;2;0;0;1.0000;72;1;0;1;0;0.9956;216;214;44
com.android.internal.telephony.SMSDispatcher.dispatchNormalMessage(SmsMessageBase);com.android.internal.telephony.WapPushOverSms;4;3;1;0.9286;543;30;41;1;0;0.9565;100;1;7
com.android.internal.telephony.gsm.GSMPhone.dispose();com.android.internal.telephony.gsm.GsmCallTracker;1;1;6;0.9481;1012;106;19;1;0;0.9867;563;41;17
