Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
android.support.v4.app.Fragment.startActivityForResult(Intent, int);android.support.v4.app.FragmentActivity;0;0;1;0.9891;439;56;44;1;0;0.9756;367;29;16
android.support.v4.app.NotificationCompat.Builder.build();android.support.v4.app.NotificationCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NotificationCompat.NotificationCompatImplJellybean.build(Builder);android.support.v4.app.NotificationCompat.InboxStyle;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.performDrag(float);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityManagerCompat.AccessibilityManagerIcsImpl.isTouchExplorationEnabled(AccessibilityManager);android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.PageListener.onPageSelected(int);android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.MotionEventCompat.EclairMotionEventVersionImpl.findPointerIndex(MotionEvent, int);android.support.v4.view.MotionEventCompatEclair;0;0;0;1.0000;12;4;0;1;0;1.0000;12;4;0
android.support.v4.app.Fragment.startActivity(Intent);android.support.v4.app.FragmentActivity;0;0;1;0.9891;439;56;44;1;0;0.9756;367;29;16
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.getWindowId(Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.LoaderInfo.callOnLoadFinished(Loader<Object>, Object);android.support.v4.app.LoaderManagerImpl;5;0;2;0.9259;216;10;14;0;3;0.9643;234;16;9
android.support.v4.view.ViewPager.canScroll(View, boolean, int, int, int);android.support.v4.view.ViewCompat;0;1;0;1.0000;712;29;36;1;0;1.0000;6;2;1
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getSettingsActivityName(AccessibilityServiceInfo);android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs;0;0;0;1.0000;15;5;0;1;0;1.0000;15;5;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.setToIndex(Object, int);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.JBViewCompatImpl.postInvalidateOnAnimation(View, int, int, int, int);android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchPause();android.support.v4.app.Fragment;1;1;0;0.9880;1280;68;37;0;1;1.0000;439;56;44
android.support.v4.app.NotificationCompat.Builder.setFullScreenIntent(PendingIntent, boolean);android.support.v4.app.NotificationCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.Fragment.setHasOptionsMenu(boolean);android.support.v4.app.FragmentActivity;0;1;3;0.9565;439;56;44;1;0;0.9773;367;29;16
android.support.v4.app.FragmentActivity.onLowMemory();android.support.v4.app.FragmentManagerImpl;0;0;1;0.9750;367;29;16;1;0;0.9882;1280;68;37
android.support.v4.widget.SearchViewCompat.SearchViewCompatHoneycombImpl.newSearchView(Context);android.support.v4.widget.SearchViewCompatHoneycomb;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.os.ParcelableCompatCreatorHoneycombMR2.createFromParcel(Parcel);android.support.v4.os.ParcelableCompatCreatorCallbacks;0;0;1;0.7500;12;3;1;1;0;0.6667;2;2;0
android.support.v4.app.ShareCompat.ShareCompatImplICS.configureMenuItem(MenuItem, IntentBuilder);android.support.v4.app.ShareCompat.IntentBuilder;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.JBViewCompatImpl.postOnAnimation(View, Runnable);android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate();android.support.v4.app.FragmentActivity;1;3;1;0.9524;1280;68;37;0;1;0.9773;367;29;16
android.support.v4.app.FragmentActivity.invalidateSupportFragmentIndex(int);android.support.v4.util.SparseArrayCompat;1;0;1;0.9750;367;29;16;0;0;1.0000;183;19;5
android.support.v4.view.AccessibilityDelegateCompat.AccessibilityDelegateJellyBeanImpl.newAccessiblityDelegateBridge(AccessibilityDelegateCompat);android.support.v4.view.AccessibilityDelegateCompatJellyBean;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.DialogFragment.show(FragmentManager, String);android.support.v4.app.FragmentTransaction;0;0;0;1.0000;170;16;18;2;0;0.9167;23;23;7
android.support.v4.os.ParcelableCompat.CompatCreator.newArray(int);android.support.v4.os.ParcelableCompatCreatorCallbacks;0;0;1;0.6667;9;2;1;1;0;0.6667;2;2;0
android.support.v4.app.NotificationCompat.Style.build();android.support.v4.app.NotificationCompat.Builder;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.LoaderInfo.destroy();android.support.v4.content.Loader;5;1;8;0.7143;216;10;14;1;0;0.9730;116;18;7
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.setClickable(Object, boolean);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchLowMemory();android.support.v4.app.Fragment;0;0;2;0.9762;1280;68;37;1;0;0.9894;439;56;44
android.support.v4.app.FragmentManagerImpl.reverseTransit(int);android.support.v4.app.FragmentTransaction;1;0;0;1.0000;1280;68;37;0;3;1.0000;23;23;7
android.support.v4.app.FragmentManagerImpl.dispatchDestroy();android.support.v4.app.Fragment;1;1;2;0.9639;1280;68;37;0;1;1.0000;439;56;44
android.support.v4.app.FragmentState.instantiate(FragmentActivity);android.support.v4.app.FragmentManagerImpl;2;0;11;0.5769;61;3;12;0;0;1.0000;1280;68;37
android.support.v4.view.ViewPager.MyAccessibilityDelegate.performAccessibilityAction(View, int, Bundle);android.support.v4.view.accessibility.AccessibilityNodeInfoCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.PageListener.onChanged();android.support.v4.view.ViewPager;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.updateAdapter(PagerAdapter, PagerAdapter);android.support.v4.view.ViewPager;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.LoaderInfo.retain();android.support.v4.app.LoaderManagerImpl;1;0;4;0.8333;216;10;14;0;2;1.0000;234;16;9
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.isPassword(Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NotificationCompat.NotificationCompatImplJellybean.build(Builder);android.support.v4.app.NotificationCompat.Builder;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.initLoader(int, Bundle, LoaderManager.LoaderCallbacks<D>);android.support.v4.util.SparseArrayCompat;2;0;5;0.8929;234;16;9;0;0;1.0000;183;19;5
android.support.v4.app.NavUtils.NavUtilsImplJB.navigateUpTo(Activity, Intent);android.support.v4.app.NavUtilsJB;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.content.ModernAsyncTask.InternalHandler.handleMessage(Message);android.support.v4.content.ModernAsyncTask;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentState.instantiate(FragmentActivity);android.support.v4.app.Fragment;2;0;11;0.5769;61;3;12;2;9;0.9038;439;56;44
android.support.v4.view.ViewPager.populate(int);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.loadAnimation(Fragment, int, boolean, int);android.support.v4.app.Fragment;1;3;7;0.9882;1280;68;37;1;1;0.9785;439;56;44
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.obtain(Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.content.Loader.ForceLoadContentObserver.onChange(boolean);android.support.v4.content.Loader;0;0;0;1.0000;9;2;0;1;0;0.9615;116;18;7
android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplHoneycomb.getPendingIntent(Context, Intent[], int, int, Bundle);android.support.v4.content.IntentCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.os.ParcelableCompat.newCreator(ParcelableCompatCreatorCallbacks<T>);android.support.v4.os.ParcelableCompatCreatorHoneycombMR2Stub;0;0;0;1.0000;6;1;0;1;0;1.0000;3;1;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.getParent(Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.content.AsyncTaskLoader.LoadTask.doInBackground(Void);android.support.v4.content.AsyncTaskLoader;1;0;1;0.8571;28;4;3;1;2;0.9444;133;11;7
android.support.v4.app.Fragment.performReallyStop();android.support.v4.app.FragmentActivity;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentActivity.onRetainNonConfigurationInstance();android.support.v4.app.LoaderManagerImpl;2;1;3;0.9130;367;29;16;1;1;0.9394;234;16;9
android.support.v4.app.FragmentActivity.onPanelClosed(int, Menu);android.support.v4.app.FragmentManagerImpl;0;0;1;0.9750;367;29;16;1;0;0.9882;1280;68;37
android.support.v4.app.LoaderManagerImpl.LoaderInfo.destroy();android.support.v4.app.FragmentManagerImpl;5;1;8;0.7143;216;10;14;0;1;0.9895;1280;68;37
android.support.v4.app.FragmentManagerImpl.restoreAllState(Parcelable, ArrayList<Fragment>);android.support.v4.app.BackStackState;4;1;8;0.9394;1280;68;37;1;0;0.9714;98;3;10
android.support.v4.app.ShareCompat.IntentReader.getHtmlText();android.support.v4.app.ShareCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
