Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.argouml.uml.reveng.ui.RESequenceDiagramDialog.buildSequenceDiagram(Object);org.argouml.uml.diagram.DiagramFactory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.model.uml.StateMachinesHelperImpl.findOperationByName(Object, String);org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.model.uml.UmlFactoryImpl.getCommonBehavior();org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.ArgoJMenu.localize(JMenuItem, String);org.argouml.i18n.Translator;0;0;0;1.0000;24;2;0;1;0;1.0000;63;11;3
org.argouml.model.uml.UmlFactoryImpl.getCore();org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.cognitive.critics.Critic.unsnooze();org.argouml.cognitive.critics.SnoozeOrder;0;1;0;0.9839;273;47;33;1;0;0.9231;29;6;6
org.argouml.uml.generator.ParserDisplay.parseMessage(Object, String);org.argouml.util.MyTokenizer;8;14;2;0.7903;2004;52;8;3;2;0.8788;143;6;14
org.argouml.uml.ui.UMLExpressionBodyField.update();org.argouml.uml.ui.UMLExpressionModel2;0;0;2;0.9333;45;12;3;1;0;0.9375;81;10;6
org.argouml.cognitive.checklist.ui.TableModelChecklist.getColumnName(int);org.argouml.cognitive.Translator;0;0;0;1.0000;112;16;3;0;0;1.0000;9;2;1
org.argouml.uml.diagram.static_structure.ui.FigPackage.getPopUpActions(MouseEvent);org.argouml.i18n.Translator;1;0;1;0.9655;199;16;10;1;0;1.0000;63;11;3
org.argouml.model.uml.EventTreeDefinition.addSourcesFromDocument(Document);org.argouml.model.uml.UmlModelEventPump;4;1;1;0.8571;114;6;3;0;1;1.0000;310;28;7
org.argouml.uml.ui.foundation.core.ActionNewClass.actionPerformed(ActionEvent);org.argouml.ui.targetmanager.TargetManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.generator.ParserDisplay.getType(String, Object);org.argouml.kernel.ProjectManager;4;0;0;1.0000;2004;52;8;2;0;0.9333;70;10;8
org.argouml.uml.ui.behavior.state_machines.ActionSetSubmachineStateSubmachine.actionPerformed(ActionEvent);org.argouml.uml.ui.UMLComboBox2;2;0;0;1.0000;13;1;1;1;0;0.9000;39;7;0
org.argouml.ui.ProjectBrowser.createPanels(SplashScreen);org.argouml.ui.StatusBar;3;3;15;0.6667;331;28;22;2;0;0.9394;54;5;3
org.argouml.persistence.UmlFilePersister.doLoad(File, File);org.argouml.persistence.MemberFilePersister;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.model.uml.CoreHelperImpl.getExtendedClassifiers(Object);org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
