Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
bsh.BSHBinaryExpression;55;3;1;1.0000;1;11.0;37
bsh.BSHWhileStatement;35;1;1;1.0000;1;5.0;12
macos.script.AppleScriptHandler;18;4;1;0.7500;0;1.0;7
org.gjt.sp.jedit.EditPlugin;25;6;1;1.0000;0;0.0;10
QuickNotepadPlugin;6;2;4;1.7500;0;0.0;2
org.gjt.sp.jedit.menu.FavoritesProvider;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.SyntaxStyle;20;0;4;0.8000;0;0.0;6
org.gjt.sp.jedit.ActionContext;0;0;0;0;0;0;0
bsh.DelayedEvalBshMethod;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.ParserRuleSet;98;10;17;0.9459;0;3.0;32
bsh.Node;7;7;0;0.0000;0;0.0;7
bsh.BSHArrayDimensions;40;3;3;0.7778;0;2.0;12
org.gjt.sp.jedit.help.HelpHistoryModelListener;0;0;0;0;0;0;0
doclet.GenerateTocXML;44;3;4;1.1250;0;0.0;7
bsh.BSHPackageDeclaration;0;0;0;0;0;0;0
gnu.regexp.CharIndexed;3;3;1;1.5000;0;0.0;3
org.gjt.sp.jedit.browser.BrowserListener;2;2;0;0.0000;0;0.0;2
org.gjt.sp.jedit.pluginmgr.PluginListHandler;133;11;23;0.8814;0;17.0;47
bsh.BSHAmbiguousName;21;6;1;0.8333;0;0.0;7
com.microstar.xml.XmlException;18;0;4;0.7500;0;0.0;5
bsh.Types;0;0;0;0;0;0;0
bsh.BSHClassDeclaration;0;0;0;0;0;0;0
bsh.commands.dir;74;4;1;1.0000;0;0.0;19
bsh.BSHUnaryExpression;42;4;2;0.8750;1;4.0;22
org.gjt.sp.jedit.options.BrowserColorsOptionPane;42;3;4;0.7500;0;0.0;4
bsh.ReflectError;6;0;0;0.0000;0;0.0;2
org.gjt.sp.jedit.buffer.JEditBuffer;0;0;0;0;0;0;0
org.gjt.sp.jedit.buffer.BufferListener;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.RESearchMatcher;48;2;7;0.5000;0;7.0;19
installer.VariableGridLayout;176;12;10;0.8750;0;0.0;49
org.gjt.sp.jedit.gui.HistoryTextField;195;11;7;0.8503;0;0.0;65
org.gjt.sp.jedit.help.HelpTOCPanel;82;4;5;0.6500;0;8.0;17
bsh.BSHPrimaryExpression;11;1;0;0.0000;0;0.0;5
installer.ConsoleProgress;10;4;0;0.0000;0;0.0;4
org.gjt.sp.jedit.gui.VariableGridLayout;176;12;10;0.8750;0;0.0;49
com.microstar.xml.HandlerBase;28;13;0;0.0000;0;0.0;13
bsh.BSHReturnStatement;9;1;1;1.0000;0;1.0;3
org.gjt.sp.jedit.gui.InputHandler;142;12;6;0.7917;0;4.0;45
org.gjt.sp.jedit.gui.BeanShellErrorDialog;37;2;0;0.0000;0;0.0;3
org.gjt.sp.jedit.textarea.ScrollLayout;0;0;0;0;0;0;0
org.objectweb.asm.Edge;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.HyperSearchOperationNode;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.MutableListModel;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.FilesChangedDialog;0;0;0;0;0;0;0
bsh.BSHMethodInvocation;26;1;0;0.0000;0;1.0;7
org.gjt.sp.util.ReadWriteLock;73;8;7;0.7551;0;1.0;22
org.gjt.sp.jedit.textarea.TextAreaTransferHandler;0;0;0;0;0;0;0
bsh.BSHStatementExpressionList;11;1;0;0.0000;0;1.0;3
bsh.BSHTypedVariableDeclaration;32;2;1;1.0000;0;3.0;13
org.gjt.sp.jedit.search.HyperSearchTreeNodeCallback;0;0;0;0;0;0;0
org.gjt.sp.jedit.View;579;41;35;0.9719;2;25.0;191
gnu.regexp.RETokenStart;32;2;1;0.5000;0;6.0;12
org.gjt.sp.jedit.textarea.DisplayManager;257;15;9;0.7431;0;7.0;88
org.gjt.sp.jedit.options.ShortcutsOptionPane;65;6;5;0.8333;0;2.0;15
gnu.regexp.RETokenLookAhead;29;2;2;0.0000;0;0.0;10
org.gjt.sp.jedit.Registers;184;16;5;0.8625;0;9.0;61
org.gjt.sp.jedit.syntax.XModeHandler;327;16;33;0.8920;1;15.0;111
org.gjt.sp.jedit.indent.IndentRuleFactory;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.DisplayTokenHandler;87;6;13;0.7821;1;10.0;25
org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel;0;0;0;0;0;0;0
bsh.TokenMgrError;59;3;5;1.1600;0;0.0;20
bsh.BSHEnhancedForStatement;0;0;0;0;0;0;0
bsh.BSHLiteral;61;4;1;0.5000;0;0.0;21
org.gjt.sp.jedit.io.VFSManager;112;14;10;0.9222;0;6.0;37
org.gjt.sp.jedit.AbstractOptionPane;105;12;4;0.8269;0;0.0;17
macos.menu.MacOSMenu;32;5;2;0.6000;0;2.0;8
org.gjt.sp.jedit.search.HyperSearchFolderNode;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.AbbrevsOptionPane;94;4;8;0.7500;0;2.0;10
org.gjt.sp.jedit.search.SearchFileSet;5;5;0;0.0000;0;0.0;5
QuickNotepad;99;8;6;0.7407;0;5.0;23
org.gjt.sp.jedit.pluginmgr.MirrorList;17;2;1;0.0000;1;1.0;3
bsh.ClassPathException;3;0;0;0.0000;0;0.0;1
bsh.BSHReturnType;7;1;1;1.0000;0;1.0;3
org.gjt.sp.util.Log;142;9;16;0.8750;0;0.0;40
gnu.regexp.RETokenBackRef;21;2;2;0.5000;0;3.0;7
bsh.BSHForStatement;42;1;8;1.1250;1;5.0;17
org.gjt.sp.jedit.search.CurrentBufferSet;16;5;0;0.0000;0;1.0;6
org.gjt.sp.jedit.search.HyperSearchResults;147;8;7;0.8143;1;5.0;32
org.gjt.sp.jedit.buffer.BufferChangeAdapter;10;5;0;0.0000;0;0.0;5
org.gjt.sp.jedit.BeanShellAction;52;4;8;0.8393;0;1.0;13
gnu.regexp.CharIndexedStringBuffer;14;3;2;0.0000;0;1.0;6
org.gjt.sp.jedit.options.ContextOptionPane;66;3;6;0.6667;0;0.0;10
org.gjt.sp.jedit.syntax.SyntaxUtilities;0;0;0;0;0;0;0
bsh.BSHCastExpression;61;5;0;0.0000;0;2.0;29
org.gjt.sp.jedit.pluginmgr.Roster;30;5;1;0.0000;0;0.0;11
installer.BZip2Constants;0;0;11;0.0000;0;0.0;0
org.gjt.sp.jedit.msg.EditPaneUpdate;14;2;4;1.0833;0;0.0;5
org.objectweb.asm.ByteVector;0;0;0;0;0;0;0
org.gjt.sp.jedit.menu.EnhancedMenuItem;48;3;6;0.7778;0;0.0;18
org.gjt.sp.jedit.buffer.BufferIORequest;429;10;21;0.8429;1;13.0;108
gnu.regexp.RETokenAny;19;3;2;0.6667;0;2.0;9
org.gjt.sp.jedit.gui.PanelWindowContainer;134;11;14;0.8469;0;9.0;35
bsh.BshMethod;65;5;3;0.6667;1;13.0;19
org.gjt.sp.jedit.menu.MarkersProvider;33;2;0;0.0000;0;2.0;6
org.gjt.sp.util.WorkThreadPool;174;15;14;0.8839;0;2.0;62
installer.TarHeader;106;8;36;1.0451;0;0.0;31
org.gjt.sp.jedit.io.VFSFile;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.HistoryText;0;0;0;0;0;0;0
org.gjt.sp.jedit.msg.PropertiesChanged;3;0;0;0.0000;0;0.0;1
installer.TarEntry;216;28;2;0.5781;0;27.0;56
bsh.SimpleNode;79;15;6;0.9259;2;4.0;32
org.gjt.sp.jedit.msg.DockableWindowUpdate;0;0;0;0;0;0;0
org.gjt.sp.jedit.EditPane;262;14;6;0.7778;1;33.0;73
QuickNotepadToolPanel;51;2;2;0.5000;0;0.0;4
bsh.BSHSwitchLabel;8;1;1;1.0000;0;0.0;3
bsh.BSHArrayInitializer;44;3;0;0.0000;0;1.0;12
org.gjt.sp.jedit.OptionPane;4;4;0;0.0000;0;0.0;4
org.gjt.sp.util.SegmentBuffer;21;3;0;0.0000;0;0.0;6
org.gjt.sp.jedit.gui.KeyEventTranslator;0;0;0;0;0;0;0
bsh.collection.CollectionIterator;0;0;0;0;0;0;0
org.gjt.sp.jedit.buffer.PositionManager;0;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.StatusListener;0;0;0;0;0;0;0
org.gjt.sp.jedit.io.UrlVFS;29;3;0;0.0000;0;1.0;7
org.gjt.sp.jedit.gui.OptionsDialog;194;16;9;0.9020;0;1.0;49
installer.CBZip2InputStream;587;29;44;0.9248;1;8.0;139
org.gjt.sp.jedit.options.SaveBackupOptionPane;34;2;8;0.5000;0;0.0;3
org.gjt.sp.jedit.options.StyleEditor;86;4;9;0.6389;0;4.0;14
org.gjt.sp.jedit.menu.EnhancedMenu;63;7;7;0.9206;0;2.0;26
org.gjt.sp.jedit.gui.JCheckBoxList;66;8;1;0.8889;0;1.0;18
org.gjt.sp.jedit.print.BufferPrintable;151;5;22;0.8364;1;5.0;30
bsh.ReflectManager;17;3;1;1.0000;0;0.0;5
org.gjt.sp.jedit.search.SearchDialog;401;14;28;0.8524;0;11.0;54
bsh.JJTParserState;74;10;5;0.5273;0;0.0;17
org.gjt.sp.jedit.ModeCatalogHandler;45;4;6;0.6667;0;1.0;19
bsh.BSHTryStatement;64;1;0;0.0000;0;5.0;16
macos.menu.ShowRecentMenu;32;4;0;0.0000;0;3.0;8
com.microstar.xml.XmlParser;2091;113;92;0.9769;0;0.0;570
macos.MacOSOptionPane;33;3;4;0.3333;0;0.0;4
org.gjt.sp.jedit.pluginmgr.PluginManager;62;6;9;0.9841;0;3.0;12
org.gjt.sp.jedit.buffer.IndentFoldHandler;29;1;0;0.0000;0;0.0;8
org.gjt.sp.jedit.BeanShell;276;19;4;0.8750;0;15.0;67
org.gjt.sp.jedit.gui.HistoryTextArea;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.EditAbbrevDialog;46;3;4;0.8125;0;2.0;7
org.gjt.sp.jedit.gui.HistoryModel;114;8;9;0.8395;0;4.0;35
bsh.ParseException;133;6;6;0.8000;1;5.0;39
bsh.BSHFormalParameter;8;1;3;1.3333;0;1.0;3
org.gjt.sp.jedit.TextUtilities;335;13;8;0.9688;1;6.0;118
org.gjt.sp.jedit.options.GeneralOptionPane;77;2;12;0.5000;0;2.0;7
macos.menu.ShowRecentDirMenu;30;4;0;0.0000;0;1.0;7
org.gjt.sp.jedit.io.FileVFS;192;18;1;0.9444;1;6.0;68
org.gjt.sp.jedit.gui.ColorWellButton;13;1;0;0.0000;0;0.0;4
bsh.JavaCharStream;331;25;17;0.8353;0;0.0;99
org.gjt.sp.jedit.ServiceListHandler;0;0;0;0;0;0;0
gnu.regexp.RESyntax;31;5;48;1.0982;0;0.0;11
org.gjt.sp.jedit.gui.CloseDialog;64;3;9;0.9444;0;1.0;7
org.gjt.sp.jedit.ActionSet;53;8;3;0.6667;0;2.0;18
org.gjt.sp.jedit.indent.IndentRule;0;0;0;0;0;0;0
org.gjt.sp.jedit.OptionGroup;45;7;2;0.5000;0;1.0;17
QuickNotepadTextArea;6;0;0;0.0000;0;0.0;1
bsh.ParserConstants;0;0;120;0.0000;0;0.0;0
org.gjt.sp.jedit.gui.TextAreaDialog;0;0;0;0;0;0;0
QuickNotepadActions;3;3;0;0.0000;0;0.0;3
bsh.BSHAssignment;61;2;1;1.0000;1;31.0;42
org.gjt.sp.jedit.EBPlugin;6;1;0;0.0000;0;1.0;2
org.gjt.sp.jedit.textarea.TextAreaDropHandler;0;0;0;0;0;0;0
bsh.StringUtil;46;4;0;0.0000;0;0.0;15
bsh.XThis;20;3;2;1.0000;0;1.0;8
macos.menu.ShowBufferMenu;28;4;0;0.0000;0;3.0;8
org.gjt.sp.jedit.textarea.SelectionManager;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.ToolBarManager;34;4;4;0.6250;0;2.0;11
macos.MacOSActions;8;2;0;0.0000;0;0.0;3
org.gjt.sp.jedit.buffer.LineManager;172;15;12;0.7917;1;5.0;71
org.gjt.sp.jedit.syntax.TokenHandler;1;1;0;0.0000;0;0.0;1
bsh.Parser;6827;409;26;0.8812;4;177.0;3547
gnu.regexp.CharIndexedInputStream;86;4;8;0.7813;0;1.0;25
org.gjt.sp.jedit.BufferHistory;135;8;3;0.7917;0;7.0;32
org.gjt.sp.jedit.options.StyleTableModel;53;7;1;0.2857;1;1.0;17
bsh.ClassGeneratorUtil;0;0;0;0;0;0;0
org.gjt.sp.jedit.Marker;26;3;4;0.6250;0;0.0;9
org.gjt.sp.jedit.menu.RecentFilesProvider;48;2;0;0.0000;0;3.0;7
installer.NonInteractiveInstall;42;0;1;0.0000;0;3.0;9
org.gjt.sp.jedit.syntax.KeywordMap;66;6;5;0.7556;1;1.0;20
org.gjt.sp.jedit.pluginmgr.PluginManagerProgress;92;6;10;0.9571;0;0.0;13
org.gjt.sp.jedit.pluginmgr.MirrorListHandler;67;11;9;0.8788;1;6.0;26
gnu.regexp.RETokenEndSub;9;2;0;0.0000;0;2.0;3
org.gjt.sp.jedit.msg.EditorExitRequested;6;1;0;0.0000;0;0.0;2
org.gjt.sp.jedit.print.BufferPrinter1_3;50;3;2;0.1667;0;1.0;8
bsh.UtilEvalError;0;0;0;0;0;0;0
org.gjt.sp.jedit.print.BufferPrinter1_4;83;5;2;0.3750;0;3.0;21
org.gjt.sp.jedit.search.BufferListSet;39;7;1;0.3333;0;1.0;23
gnu.regexp.RETokenRange;21;3;3;0.4444;0;2.0;10
org.gjt.sp.jedit.EditAction;35;10;1;0.7500;0;0.0;13
org.gjt.sp.jedit.gui.ErrorListCellRenderer;36;3;6;0.4444;0;2.0;6
bsh.Token;9;1;8;1.8750;0;0.0;3
bsh.Modifiers;0;0;0;0;0;0;0
org.gjt.sp.jedit.PluginJAR;0;0;0;0;0;0;0
org.gjt.sp.jedit.ActionListHandler;73;10;9;0.8556;0;1.0;27
org.gjt.sp.jedit.search.HyperSearchFileNode;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.MarkerViewer;0;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.ScreenLineManager;0;0;0;0;0;0;0
org.gjt.sp.jedit.browser.FileCellRenderer;50;4;10;0.9250;1;9.0;17
LatestVersionPlugin;35;3;0;0.0000;0;0.0;11
org.gjt.sp.jedit.gui.GrabKeyDialog;126;8;10;0.9400;0;1.0;33
org.gjt.sp.jedit.textarea.BufferHandler;165;9;7;0.6032;0;25.0;55
org.gjt.sp.jedit.EditBus;41;4;2;0.5000;1;3.0;9
org.gjt.sp.jedit.options.AbbrevsModel;73;10;1;0.2727;0;2.0;25
installer.Progress;4;4;0;0.0000;0;0.0;4
bsh.collection.CollectionManagerImpl;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.DockingOptionPane;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.ToolBarOptionPane;100;3;9;0.7037;0;0.0;14
org.gjt.sp.jedit.gui.RolloverButton;39;3;2;0.7500;0;1.0;10
org.gjt.sp.jedit.menu.MacrosProvider;33;3;0;0.0000;0;2.0;9
org.gjt.sp.jedit.syntax.ParserRule;59;10;25;0.9480;1;3.0;27
bsh.BSHArguments;8;1;0;0.0000;0;0.0;3
org.objectweb.asm.CodeVisitor;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.KeyEventWorkaround;131;3;7;0.5000;0;1.0;98
org.gjt.sp.jedit.MiscUtilities;505;41;0;0.0000;0;5.0;191
org.gjt.sp.jedit.browser.VFSFileChooserDialog;160;5;7;0.8000;1;20.0;43
org.gjt.sp.jedit.textarea.FastRepaintManager;0;0;0;0;0;0;0
bsh.Remote;0;0;0;0;0;0;0
bsh.Interpreter;461;40;17;0.9434;0;12.0;141
