Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.tools.ant.types.resources.comparators.Name;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile;320;37;19;0.9649;0;4.0;95
org.apache.tools.tar.TarConstants;0;0;24;0.0000;0;0.0;0
org.apache.tools.ant.taskdefs.MatchingTask;143;40;1;0.0500;0;2.0;49
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckin;5;0;0;0.0000;0;0.0;1
org.apache.tools.ant.taskdefs.optional.jlink.jlink;240;15;5;0.9067;0;0.0;57
org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator;58;2;3;0.6667;0;0.0;13
org.apache.tools.ant.types.resources.ZipResource;0;0;0;0;0;0;0
org.apache.tools.tar.TarUtils;82;7;0;0.0000;0;0.0;23
org.apache.tools.ant.types.XMLCatalog;309;19;7;0.9481;0;9.0;71
org.apache.tools.ant.filters.ConcatFilter;66;3;4;0.8125;0;2.0;20
org.apache.tools.ant.taskdefs.optional.unix.AbstractAccessTask;21;5;0;0.0000;0;0.0;6
org.apache.tools.ant.util.facade.ImplementationSpecificArgument;14;1;1;0.5000;0;0.0;5
org.apache.tools.ant.XmlLogger;206;13;18;0.9325;1;13.0;48
org.apache.tools.ant.taskdefs.optional.jsp.Jasper41Mangler;39;3;0;0.0000;0;0.0;10
org.apache.tools.ant.taskdefs.XSLTLoggerAware;1;1;0;0.0000;0;0.0;1
org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo;12;2;1;0.3333;0;0.0;4
org.apache.tools.ant.taskdefs.Untar;30;2;1;0.5000;0;2.0;7
org.apache.tools.ant.types.resources.Difference;0;0;0;0;0;0;0
org.apache.tools.ant.listener.MailLogger;126;6;1;0.8000;2;18.0;25
org.apache.tools.ant.types.optional.depend.ClassfileSet;47;5;2;0.6667;0;2.0;12
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapterFactory;30;3;0;0.0000;0;1.0;9
org.apache.tools.ant.taskdefs.optional.SchemaValidate;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ejb.JbossDeploymentTool;33;4;4;0.9375;1;5.0;8
org.apache.tools.ant.taskdefs.Property;305;16;11;0.9385;0;2.0;86
org.apache.tools.ant.taskdefs.Sequential;9;2;1;0.0000;0;0.0;3
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand;95;7;8;0.8409;0;9.0;26
org.apache.tools.ant.taskdefs.optional.Javah;189;11;11;0.9091;0;3.0;51
org.apache.tools.ant.util.ClasspathUtils;65;9;2;1.0000;0;3.0;22
org.apache.tools.ant.taskdefs.BUnzip2;67;1;1;1.0000;0;0.0;14
org.apache.tools.ant.taskdefs.email.EmailAddress;95;2;2;0.5714;0;0.0;39
org.apache.tools.ant.taskdefs.optional.perforce.P4Resolve;76;2;11;0.9455;0;0.0;24
org.apache.tools.ant.TypeAdapter;5;5;0;0.0000;0;0.0;5
org.apache.tools.ant.types.CommandlineJava;194;25;9;0.8758;0;2.0;60
org.apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory;0;0;0;0;0;0;0
org.apache.tools.bzip2.CRC;22;3;2;0.6000;0;0.0;7
org.apache.tools.ant.taskdefs.optional.jsp.WLJspc;129;5;6;0.7857;0;3.0;28
org.apache.tools.ant.taskdefs.optional.sos.SOSCmd;0;0;26;0.0000;0;0.0;0
org.apache.tools.ant.types.selectors.FilenameSelector;64;5;6;0.8333;0;2.0;17
org.apache.tools.ant.types.selectors.SelectorContainer;24;24;0;0.0000;0;0.0;24
org.apache.tools.ant.types.optional.image.Ellipse;33;1;2;0.5000;1;0.0;8
org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream;7;1;1;0.0000;0;0.0;2
org.apache.tools.ant.util.WeakishReference;31;3;2;0.7500;0;1.0;9
org.apache.tools.ant.taskdefs.DependSet;127;5;4;0.8000;0;2.0;41
org.apache.tools.ant.taskdefs.optional.vss.MSVSSHISTORY;65;11;0;0.0000;1;10.0;17
org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff;188;5;12;0.8500;0;5.0;41
org.apache.tools.ant.taskdefs.Delete;307;36;9;0.8746;0;3.0;94
org.apache.tools.ant.types.optional.image.TransformOperation;4;2;0;0.0000;0;0.0;2
org.apache.tools.ant.taskdefs.EchoXML;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.native2ascii.Native2AsciiAdapter;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Touch;98;4;5;0.7143;0;3.0;30
org.apache.tools.ant.taskdefs.AbstractJarSignerTask;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapter;4;4;0;0.0000;0;0.0;4
org.apache.tools.ant.taskdefs.optional.junit.BriefJUnitResultFormatter;87;10;7;0.9167;0;5.0;23
org.apache.tools.ant.types.RegularExpression;33;4;3;0.7500;0;1.0;9
org.apache.tools.ant.taskdefs.optional.clearcase.CCUpdate;90;3;13;0.9670;0;0.0;23
org.apache.tools.ant.taskdefs.TaskOutputStream;24;2;3;0.3333;0;0.0;6
org.apache.tools.ant.taskdefs.Classloader;86;5;6;0.8519;0;4.0;29
org.apache.tools.ant.types.resources.FileResourceIterator;0;0;0;0;0;0;0
org.apache.tools.ant.types.Mapper;117;10;5;0.8200;0;1.0;36
org.apache.tools.ant.types.resources.CompressedResource;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.perforce.P4OutputStream;25;3;3;0.6667;0;0.0;8
org.apache.tools.ant.AntClassLoader;478;39;14;0.9635;0;2.0;135
org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage;35;6;2;0.7857;0;0.0;8
org.apache.tools.ant.taskdefs.optional.sound.AntSoundPlayer;93;13;6;0.9231;1;2.0;28
org.apache.tools.ant.taskdefs.ExecuteStreamHandler;5;5;0;0.0000;0;0.0;5
org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask;113;9;5;0.7818;0;3.0;26
org.apache.tools.ant.taskdefs.Sleep;49;4;5;0.8889;0;2.0;14
org.apache.tools.ant.util.LeadPipeInputStream;0;0;0;0;0;0;0
org.apache.tools.ant.types.optional.image.BasicShape;9;0;3;1.0000;0;0.0;3
org.apache.tools.ant.util.optional.WeakishReference12;6;1;1;0.0000;0;0.0;2
org.apache.tools.ant.types.selectors.DependSelector;27;2;0;0.0000;0;0.0;6
org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool;80;3;7;0.8810;0;8.0;26
org.apache.tools.ant.types.resources.TarResource;0;0;0;0;0;0;0
org.apache.tools.ant.types.FileSet;14;1;0;0.0000;0;0.0;4
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter;28;3;5;0.8333;0;0.0;9
org.apache.tools.ant.types.resources.Files;0;0;0;0;0;0;0
org.apache.tools.ant.types.optional.ScriptSelector;0;0;0;0;0;0;0
org.apache.tools.ant.launch.Launcher;85;2;3;1.0000;0;0.0;18
org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet;73;2;8;0.8472;0;1.0;25
org.apache.tools.mail.MailMessage;210;27;21;0.9635;0;0.0;57
org.apache.tools.ant.taskdefs.optional.starteam.StarTeamLabel;42;3;6;0.8611;0;0.0;14
org.apache.tools.ant.taskdefs.BuildNumber;86;4;3;0.5833;0;1.0;17
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckinDefault;5;0;1;0.0000;0;0.0;1
org.apache.tools.ant.taskdefs.SignJar;187;5;14;0.9370;0;1.0;53
org.apache.tools.ant.types.resources.comparators.Type;0;0;0;0;0;0;0
org.apache.tools.ant.types.optional.ScriptCondition;0;0;0;0;0;0;0
org.apache.tools.ant.types.resources.comparators.ResourceComparator;0;0;0;0;0;0;0
org.apache.tools.ant.filters.ExpandProperties;36;2;1;1.0000;0;0.0;9
org.apache.tools.ant.taskdefs.optional.ejb.EJBDeploymentTool;4;4;0;0.0000;0;0.0;4
org.apache.tools.ant.taskdefs.LoadResource;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.GUnzip;50;1;1;1.0000;0;0.0;10
org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool;326;13;32;0.9712;1;11.0;80
org.apache.tools.ant.types.resources.selectors.Date;0;0;0;0;0;0;0
org.apache.tools.ant.types.resources.GZipResource;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator;128;9;6;0.9333;1;13.0;28
org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry;34;1;3;0.6667;0;0.0;13
org.apache.tools.ant.types.TimeComparison;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.extension.ExtensionResolver;1;1;0;0.0000;0;0.0;1
org.apache.tools.ant.types.ZipFileSet;154;16;10;0.9000;1;4.0;42
org.apache.tools.ant.BuildLogger;4;4;0;0.0000;0;0.0;4
org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib;56;2;6;0.7857;0;2.0;19
org.apache.tools.ant.taskdefs.XSLTProcess;286;18;21;0.9573;0;3.0;76
org.apache.tools.ant.taskdefs.WhichResource;72;4;4;0.6667;0;3.0;18
org.apache.tools.ant.UnsupportedAttributeException;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl;96;4;14;0.9706;0;0.0;27
org.apache.tools.ant.taskdefs.optional.perforce.P4Reopen;12;2;1;0.0000;0;0.0;5
org.apache.tools.ant.types.Parameter;18;0;3;0.8000;0;0.0;6
org.apache.tools.ant.taskdefs.optional.depend.constantpool.DoubleCPInfo;9;2;0;0.0000;0;0.0;3
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool;111;8;8;0.9205;1;11.0;28
org.apache.tools.ant.taskdefs.Typedef;0;0;0;0.0000;0;0.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin;90;4;13;0.9692;0;0.0;26
org.apache.tools.ant.launch.AntMain;1;1;0;0.0000;0;0.0;1
org.apache.tools.ant.taskdefs.optional.StyleBook;35;1;4;0.8000;0;0.0;10
org.apache.tools.ant.ProjectHelper;150;14;6;1.0222;0;1.0;43
org.apache.tools.ant.types.resources.JavaResource;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.LoadProperties;81;2;3;0.6667;0;4.0;19
org.apache.tools.ant.util.TimeoutObserver;1;1;0;0.0000;0;0.0;1
org.apache.tools.ant.types.Reference;23;1;1;0.5000;0;0.0;7
org.apache.tools.ant.types.Commandline;234;24;3;0.8718;0;1.0;71
org.apache.tools.ant.taskdefs.optional.dotnet.Ilasm;143;17;13;0.9523;0;3.0;43
org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD;34;6;1;0.8333;1;1.0;8
org.apache.tools.ant.types.FilterChain;84;23;1;0.0000;0;1.0;26
org.apache.tools.ant.types.FilterSetCollection;25;3;1;0.5000;0;0.0;8
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;81;3;1;0.6667;0;2.0;27
org.apache.tools.ant.taskdefs.Copyfile;36;2;4;0.7500;0;1.0;12
