Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.tools.ant.taskdefs.MatchingTask.getDirectoryScanner(File);org.apache.tools.ant.types.AbstractFileSet;0;0;1;0.9767;143;40;1;2;0;0.9710;365;57;8
org.apache.tools.ant.taskdefs.UpToDate.eval();org.apache.tools.ant.types.AbstractFileSet;1;2;5;0.6957;106;8;7;2;0;0.9753;365;57;8
org.apache.tools.ant.types.resources.TarResource.setEntry(TarEntry);org.apache.tools.tar.TarEntry;1;0;4;0.8621;95;8;4;5;4;0.8200;243;21;18
org.apache.tools.ant.taskdefs.Concat.cat(ResourceCollection);org.apache.tools.ant.Project;1;1;7;0.7813;304;15;18;0;1;1.0000;733;92;31
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.createTempPropertiesFile(String);org.apache.tools.ant.util.FileUtils;0;0;2;0.9868;681;53;24;1;0;0.9767;443;50;10
org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.execute();org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool;0;0;1;0.8750;31;4;3;2;0;0.5000;3;3;5
org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory.resolveClassName(String);org.apache.tools.ant.util.ClasspathUtils;0;0;0;1.0000;21;3;0;1;0;1.0000;74;10;1
org.apache.tools.zip.ZipOutputStream.closeEntry();org.apache.tools.zip.ZipEntry;0;4;8;0.7222;323;20;27;1;0;0.9714;130;16;7
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool.buildWeblogicJar(File, File, String);org.apache.tools.ant.ProjectComponent;4;0;16;0.7826;392;14;34;0;1;0.9667;21;2;1
org.apache.tools.ant.util.TaskLogger.error(String);org.apache.tools.ant.Task;1;0;1;0.8333;18;5;1;1;0;0.9630;166;17;8
org.apache.tools.ant.taskdefs.Tar.tarResource(Resource, TarOutputStream, String, TarFileSet);org.apache.tools.ant.util.FileUtils;4;0;2;0.9692;363;16;13;1;0;1.0000;443;50;10
