Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff.writeTagDiff(CvsTagEntry[]);org.apache.tools.ant.Project;1;1;6;0.4615;188;5;12;0;1;1.0000;672;82;32
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector.saveCache();org.apache.tools.ant.types.selectors.modifiedselector.Cache;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Javadoc.parsePackages(Vector, Path);org.apache.tools.ant.types.Path;2;0;5;0.9593;803;78;33;2;0;0.9535;368;27;2
org.apache.tools.ant.taskdefs.AbstractCvsTask.execute();org.apache.tools.ant.util.FileUtils;0;3;4;0.8500;330;17;23;0;0;1.0000;584;34;8
org.apache.tools.ant.taskdefs.Rmic.setClasspathRef(Reference);org.apache.tools.ant.types.Path;0;1;0;0.9714;278;15;20;1;0;0.9600;368;27;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype.checkOptions(Commandline);org.apache.tools.ant.types.Commandline.Argument;0;3;13;0.3333;121;5;17;1;0;0.9412;23;5;1
org.apache.tools.ant.taskdefs.condition.Http.eval();org.apache.tools.ant.Project;1;0;2;0.3333;36;1;2;0;1;1.0000;672;82;32
org.apache.tools.ant.taskdefs.Tar.tarResource(Resource, TarOutputStream, String, TarFileSet);org.apache.tools.tar.TarConstants;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.vss.MSVSS.run(Commandline);org.apache.tools.ant.Project;2;0;1;0.9841;341;27;26;1;2;0.9907;672;82;32
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmtype.checkOptions(Commandline);org.apache.tools.ant.types.Commandline.Argument;0;3;8;0.4615;104;5;13;1;0;0.9286;23;5;1
org.apache.tools.ant.types.resources.BaseResourceCollectionContainer.clear();org.apache.tools.ant.types.resources.FailFast;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler.process(String);org.apache.tools.ant.Task;2;0;4;0.4000;20;1;4;1;0;0.9655;143;16;8
org.apache.tools.ant.taskdefs.Dirname.execute();org.apache.tools.ant.Project;0;0;2;0.6000;18;1;2;1;0;0.9900;672;82;32
org.apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter.execute();org.apache.tools.ant.taskdefs.compilers.AptCompilerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.FixCRLF.setEof(AddAsisRemove);org.apache.tools.ant.types.EnumeratedAttribute;1;0;4;0.9600;388;11;31;0;1;0.8889;35;5;2
org.apache.tools.ant.taskdefs.optional.XMLValidateTask.execute();org.apache.tools.ant.types.AbstractFileSet;1;2;3;0.8214;182;12;13;2;0;0.9697;346;48;7
org.apache.tools.ant.taskdefs.Rmic.getCompiler();org.apache.tools.ant.util.facade.FacadeTaskHelper;1;0;1;0.9737;278;15;20;1;1;0.8462;38;4;4
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.handleErrorFlush(String);org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirror.JUnitTestRunnerMirror;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Java.setupWorkingDir(Execute);org.apache.tools.ant.taskdefs.Execute;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler.init(String, AttributeList);org.apache.tools.ant.Task;3;0;5;0.7727;39;3;5;2;3;0.8718;143;16;8
org.apache.tools.ant.UnknownElement.handleChild(String, IntrospectionHelper, Object, UnknownElement, RuntimeConfigurable);org.apache.tools.ant.taskdefs.PreSetDef.PreSetDefinition;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.SQLExec.printResults(ResultSet, PrintStream);org.apache.tools.ant.Project;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck.doit();org.apache.tools.ant.types.Commandline.Argument;0;1;0;0.9412;75;5;6;1;0;0.9286;23;5;1
org.apache.tools.ant.taskdefs.optional.ejb.BorlandDeploymentTool.buildBorlandStubs(Iterator);org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config;5;0;3;0.9524;246;16;18;0;1;0.9667;0;0;11
org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler.onStartElement(String, String, String, Attributes, AntXMLContext);org.apache.tools.ant.Project;4;0;0;1.0000;82;2;0;8;2;0.9143;672;82;32
org.apache.tools.ant.PropertyHelper.getPropertyHelper(Project);org.apache.tools.ant.MagicNames;0;0;1;0.9545;231;16;5;0;0;1.0000;0;0;2
org.apache.tools.tar.TarEntry.parseTarHeader(byte[]);org.apache.tools.tar.TarUtils;1;0;14;0.7255;246;21;19;2;0;1.0000;82;7;0
org.apache.tools.ant.RuntimeConfigurable.maybeConfigure(Project, boolean);org.apache.tools.ant.Task;1;2;7;0.7000;158;13;11;0;1;0.9750;143;16;8
org.apache.tools.ant.util.ResourceUtils.selectOutOfDateSources(ProjectComponent, ResourceCollection, FileNameMapper, ResourceFactory, long);org.apache.tools.ant.types.ResourceCollection;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Move.copyFile(File, File, boolean, boolean);org.apache.tools.ant.types.FilterSetCollection;1;0;0;1.0000;180;6;0;1;0;0.9474;25;3;1
org.apache.tools.ant.types.DataType.getCheckedRef(Class, String, Project);org.apache.tools.ant.types.Reference;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Definer.addDefinition(ClassLoader, String, String);org.apache.tools.ant.AntTypeDefinition;3;0;5;0.8611;212;12;11;2;5;0.7500;204;10;6
org.apache.tools.ant.taskdefs.optional.net.FTP.isUpToDate(FTPClient, File, String);org.apache.tools.ant.Project;1;0;3;0.9565;613;22;36;0;1;1.0000;672;82;32
org.apache.tools.ant.taskdefs.optional.ccm.CCMCreateTask.checkOptions(Commandline);org.apache.tools.ant.types.Commandline.Argument;0;0;10;0.6667;120;7;12;1;0;0.9167;23;5;1
org.apache.tools.ant.taskdefs.SubAnt.execute();org.apache.tools.ant.types.resources.Union;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.native2ascii.Native2AsciiAdapterFactory.getDefault();org.apache.tools.ant.taskdefs.optional.native2ascii.SunNative2Ascii;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.net.FTP.transferFiles(FTPClient, FileSet);org.apache.tools.ant.types.AbstractFileSet;2;7;11;0.7895;613;22;36;4;0;0.9481;346;48;7
org.apache.tools.ant.taskdefs.condition.ResourcesMatch.eval();org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.filters.TokenFilter.ContainsRegex.filter(String);org.apache.tools.ant.util.regexp.Regexp;0;1;3;0.7143;36;2;9;1;0;0.9000;1;1;2
org.apache.tools.ant.taskdefs.BuildNumber.execute();org.apache.tools.ant.Project;1;3;2;0.4286;86;4;3;2;1;0.9802;672;82;32
org.apache.tools.ant.filters.TokenFilter.ReplaceRegex.filter(String);org.apache.tools.ant.util.regexp.Regexp;0;1;3;0.6923;33;2;8;1;0;0.9000;1;1;2
