Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
net.sourceforge.pmd.lang.plsql.rule.PLSQLRuleChainVisitor.visit(java.lang.Object, net.sourceforge.pmd.lang.plsql.ast.PLSQLNode);net.sourceforge.pmd.lang.plsql.ast.PLSQLParserVisitorAdapter;1;0;2;1.0;1.0;4;33;408
net.sourceforge.pmd.renderers.HTMLRenderer.renderBody(java.io.Writer, net.sourceforge.pmd.Report);net.sourceforge.pmd.PMD;0;4;4;0.8;1.0;14;125;208
net.sourceforge.pmd.lang.java.rule.basic.BooleanInstantiationRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTAllocationExpression);net.sourceforge.pmd.lang.java.typeresolution.TypeHelper;1;1;4;0.9;1.0;12;50;37
net.sourceforge.pmd.lang.java.rule.naming.ClassNamingConventionsRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTClassOrInterfaceDeclaration);net.sourceforge.pmd.lang.ast.AbstractNode;1;0;2;1.0;0.972972972972973;6;6;247
net.sourceforge.pmd.lang.java.rule.junit.TestClassWithoutTestCasesRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTClassOrInterfaceDeclaration);net.sourceforge.pmd.lang.ast.AbstractNode;1;1;5;0.9090909090909091;0.9767441860465116;19;23;247
net.sourceforge.pmd.RuleSetFactory.parseRuleSetReferenceNode(java.lang.String, net.sourceforge.pmd.RuleSet, net.sourceforge.pmd.RuleSetReferenceId, org.w3c.dom.Element);net.sourceforge.pmd.RuleSetReferenceId;0;4;5;0.9142857142857143;1.0;31;403;157
net.sourceforge.pmd.lang.java.ast.ASTResultType.isVoid();net.sourceforge.pmd.lang.ast.AbstractNode;1;0;1;1.0;0.9705882352941176;3;15;247
net.sourceforge.pmd.cpd.GUI.render(java.util.Iterator<net.sourceforge.pmd.cpd.Match>);net.sourceforge.pmd.cpd.CSVRenderer;1;0;1;1.0;0.5;3;585;29
net.sourceforge.pmd.lang.java.rule.design.SwitchDensityRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTSwitchStatement);net.sourceforge.pmd.lang.rule.AbstractRule;1;2;4;0.8571428571428572;0.9772727272727273;17;53;193
net.sourceforge.pmd.lang.ecmascript.ast.ASTNewExpression.getInitializer();net.sourceforge.pmd.lang.ast.AbstractNode;2;0;1;1.0;0.9411764705882353;3;24;247
net.sourceforge.pmd.lang.plsql.symboltable.ClassScope.findVariableHere(net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence);net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence;5;4;5;0.8709677419354839;0.84375;35;123;74
net.sourceforge.pmd.Report.getTime();net.sourceforge.pmd.util.DateTimeUtil;0;1;1;0.9767441860465116;1.0;3;190;28
net.sourceforge.pmd.RuleSetWriter.createRuleElement(net.sourceforge.pmd.Rule);net.sourceforge.pmd.lang.rule.AbstractDelegateRule;1;3;3;0.9649122807017544;0.9879518072289156;35;256;147
net.sourceforge.pmd.lang.rule.AbstractRule.addViolation(java.lang.Object, java.lang.Object[], net.sourceforge.pmd.lang.ast.Node);net.sourceforge.pmd.RuleContext;1;1;1;0.9736842105263158;0.8888888888888888;4;193;60
net.sourceforge.pmd.lang.java.rule.coupling.LoosePackageCouplingRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTPackageDeclaration);net.sourceforge.pmd.lang.java.ast.ASTPackageDeclaration;1;1;1;0.9;0.6666666666666667;4;61;12
net.sourceforge.pmd.lang.jsp.ast.OpenTagRegister.openTag(net.sourceforge.pmd.lang.jsp.ast.ASTElement);net.sourceforge.pmd.lang.jsp.ast.ASTElement;1;1;2;0.8333333333333334;0.8888888888888888;4;34;38
