Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.jgroups.protocols.TP.up(org.jgroups.Event);org.jgroups.Event;2;1;2;0.9927536231884058;0.75;10;1041;169
org.jgroups.jmx.protocols.pbcast.NAKACK.getPendingRetransmissionRequests();org.jgroups.protocols.pbcast.NAKACK;1;0;1;1.0;0.9850746268656716;3;76;975
org.jgroups.blocks.VotingAdapter.vote(int, java.lang.Object, long, org.jgroups.blocks.VoteResponseProcessor);org.jgroups.blocks.RpcDispatcher;1;2;2;0.9428571428571428;1.0;33;216;246
org.jgroups.protocols.FRAG2.up(org.jgroups.Event);org.jgroups.Event;2;3;3;0.925;0.8181818181818181;21;316;169
org.jgroups.stack.Configurator.printDownReqs();org.jgroups.Event;0;1;1;0.975;1.0;9;365;169
org.jgroups.jmx.protocols.MERGE2.attachProtocol(org.jgroups.stack.Protocol);org.jgroups.jmx.Protocol;0;0;1;1.0;1.0;4;22;62
org.jgroups.protocols.FD_SOCK.adjustSuspectedMembers(java.util.Vector);org.jgroups.stack.Protocol;1;2;1;0.9772727272727273;0.9722222222222222;14;740;128
org.jgroups.protocols.MERGE2.start();org.jgroups.util.Util;0;1;1;0.9615384615384616;1.0;7;171;1443
org.jgroups.jmx.JChannel.peek(long);org.jgroups.JChannel;1;0;1;1.0;0.9850746268656716;3;256;819
org.jgroups.protocols.CAUSAL.max(org.jgroups.protocols.TransportedVectorTime);org.jgroups.protocols.TransportedVectorTime;1;1;2;1.0;0.875;10;476;48
org.jgroups.blocks.ReplicatedTree.getState();org.jgroups.util.Util;0;3;1;0.96;1.0;9;597;1443
org.jgroups.protocols.pbcast.FLUSH.readFrom(java.io.DataInputStream);org.jgroups.util.Util;0;3;1;0.953125;1.0;11;569;1443
org.jgroups.protocols.UDP.startThreads();org.jgroups.protocols.TP;0;0;0;0;0
org.jgroups.protocols.PING.handleDisconnect();org.jgroups.stack.GossipClient;1;0;1;1.0;0.95;3;156;292
org.jgroups.mux.Multiplexer.mergeServiceState(java.util.Map<org.jgroups.Address,java.util.Set<java.lang.String>>, org.jgroups.MergeView);org.jgroups.View;0;0;0;0;0
org.jgroups.protocols.SIZE.down(org.jgroups.Event);org.jgroups.Event;2;5;3;0.736842105263158;0.8666666666666667;23;97;169
org.jgroups.protocols.FD_ICMP.up(org.jgroups.Event);org.jgroups.protocols.FD;1;1;2;0.9375;0.9833333333333333;11;95;413
org.jgroups.protocols.UDP.sendToAllMembers(byte[], int, int);org.jgroups.protocols.TP;1;2;2;0.9807692307692307;0.9929078014184397;13;523;1041
org.jgroups.mux.MuxChannel._close(boolean, boolean);org.jgroups.JChannel;4;0;2;1.0;0.9411764705882353;6;164;819
org.jgroups.protocols.pbcast.FLUSH.onResume();org.jgroups.stack.Protocol;2;2;3;0.9682539682539683;0.935483870967742;7;569;128
org.jgroups.protocols.PingHeader.size();org.jgroups.protocols.PingRsp;1;0;2;1.0;0.8888888888888888;7;42;45
org.jgroups.protocols.SFC.down(org.jgroups.Event);org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.VERIFY_SUSPECT.run();org.jgroups.stack.Protocol;3;3;3;0.9318181818181819;0.9361702127659575;29;242;128
org.jgroups.protocols.pbcast.FLUSH.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;1;3;1;0.9565217391304348;1.0;14;569;1443
org.jgroups.JChannel.disconnect();org.jgroups.stack.ProtocolStack;1;7;4;0.9014084507042254;0.9696969696969697;21;819;172
org.jgroups.protocols.STATS.up(org.jgroups.Event);org.jgroups.Event;2;2;2;0.9375;0.75;10;160;169
org.jgroups.protocols.AUTH.up(org.jgroups.Event);org.jgroups.protocols.AuthHeader;0;1;6;1.0;1.0;44;121;23
org.jgroups.protocols.AUTH.setProperties(java.util.Properties);org.jgroups.stack.Protocol;1;0;2;1.0;0.9705882352941176;25;121;128
org.jgroups.JChannel.downcall(org.jgroups.Event);org.jgroups.stack.ProtocolStack;0;0;0;0;0
org.jgroups.jmx.protocols.UNICAST.getAcksReceived();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.975;3;43;374
org.jgroups.protocols.FRAG2.down(org.jgroups.Event);org.jgroups.util.Util;0;7;5;0.8627450980392157;1.0;40;316;1443
org.jgroups.protocols.pbcast.FLUSH.onViewChange(org.jgroups.View);org.jgroups.View;1;7;2;0.8939393939393939;0.9615384615384616;22;569;94
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.process(java.net.Socket);org.jgroups.Event;0;3;2;0.9777777777777777;1.0;38;679;169
org.jgroups.View.hashCode();org.jgroups.ViewId;0;0;0;0;0
org.jgroups.protocols.VIEW_SYNC.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;1;1;0.9714285714285714;1.0;6;230;1443
org.jgroups.jmx.protocols.FD.getPingableMembers();org.jgroups.protocols.FD;1;0;1;1.0;0.9821428571428571;3;52;413
org.jgroups.jmx.protocols.FRAG.getNumberOfSentFragments();org.jgroups.protocols.FRAG;1;0;1;1.0;0.9705882352941176;3;28;288
org.jgroups.demos.Chat.receive(org.jgroups.Message);org.jgroups.Message;2;2;1;0.9545454545454546;0.9534883720930233;11;212;517
org.jgroups.protocols.FC.handleDownMessage(org.jgroups.Event);org.jgroups.Event;1;15;4;0.8115942028985508;0.9722222222222222;47;440;169
org.jgroups.protocols.FD_SIMPLE.up(org.jgroups.Event);org.jgroups.stack.Protocol;4;5;3;0.8648648648648649;0.8947368421052632;34;202;128
org.jgroups.jmx.protocols.UNICAST.printConnections();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.975;3;43;374
org.jgroups.blocks.MessageDispatcher.handleUpEvent(org.jgroups.Event);org.jgroups.View;0;0;0;0;0
org.jgroups.jmx.JChannel.getProperties();org.jgroups.JChannel;1;1;1;0.9850746268656716;0.9852941176470589;4;256;819
org.jgroups.jmx.protocols.FRAG2.getNumberOfReceivedFragments();org.jgroups.protocols.FRAG2;1;0;1;1.0;0.9714285714285714;3;34;316
org.jgroups.protocols.UDP.setThreadNames();org.jgroups.protocols.TP;2;4;2;0.92;0.9858156028368794;20;523;1041
org.jgroups.protocols.CAUSAL.down(org.jgroups.Event);org.jgroups.Message;2;9;3;0.8636363636363636;0.9636363636363636;33;476;517
org.jgroups.protocols.FD_ALL.down(org.jgroups.Event);org.jgroups.stack.Protocol;1;1;2;0.9807692307692307;0.967741935483871;12;327;128
org.jgroups.protocols.CAUSAL.upSetLocalAddress(org.jgroups.Event);org.jgroups.Event;1;1;2;0.9830508474576272;0.8571428571428572;4;476;169
org.jgroups.protocols.pbcast.CoordGmsImpl.sendMergeView(java.util.Vector, org.jgroups.protocols.pbcast.MergeData);org.jgroups.protocols.pbcast.GMS;0;0;7;1.0;1.0;25;519;934
org.jgroups.protocols.pbcast.NAKACK.send(org.jgroups.Event, org.jgroups.Message);org.jgroups.Message;1;4;3;0.9452054794520548;0.9791666666666666;28;975;517
org.jgroups.blocks.DistributedQueue.remove();org.jgroups.util.RspList;1;4;3;0.9387755102040817;0.9705882352941176;12;370;145
org.jgroups.protocols.TCPGOSSIP.sendGetMembersRequest();org.jgroups.Event;0;0;6;1.0;1.0;30;104;169
