Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.jgroups.protocols.TP.up(org.jgroups.Event);org.jgroups.Event;2;1;2;0.9901960784313726;0.6666666666666667;10;796;162
org.jgroups.jmx.protocols.pbcast.NAKACK.getPendingRetransmissionRequests();org.jgroups.protocols.pbcast.NAKACK;1;0;1;1.0;0.9848484848484849;3;76;893
org.jgroups.blocks.VotingAdapter.vote(int, java.lang.Object, long, org.jgroups.blocks.VoteResponseProcessor);org.jgroups.blocks.RpcDispatcher;1;2;2;0.9375;1.0;33;182;229
org.jgroups.protocols.FRAG2.up(org.jgroups.Event);org.jgroups.Event;2;3;3;0.925;0.7777777777777778;21;318;162
org.jgroups.stack.Configurator.printDownReqs();org.jgroups.Event;0;1;1;0.9743589743589743;1.0;9;338;162
org.jgroups.jmx.protocols.MERGE2.attachProtocol(org.jgroups.stack.Protocol);org.jgroups.jmx.Protocol;0;0;1;1.0;1.0;4;22;65
org.jgroups.protocols.FD_SOCK.adjustSuspectedMembers(java.util.Vector);org.jgroups.stack.Protocol;1;2;1;0.9753086419753086;0.9761904761904762;14;662;273
org.jgroups.protocols.MERGE2.start();org.jgroups.util.Util;0;0;0;0;0
org.jgroups.jmx.JChannel.peek(long);org.jgroups.JChannel;1;0;1;1.0;0.984375;3;268;689
org.jgroups.protocols.CAUSAL.max(org.jgroups.protocols.TransportedVectorTime);org.jgroups.protocols.TransportedVectorTime;0;0;0;0;0
org.jgroups.blocks.ReplicatedTree.getState();org.jgroups.util.Util;0;3;1;0.96;1.0;9;603;1042
org.jgroups.protocols.pbcast.FLUSH.readFrom(java.io.DataInputStream);org.jgroups.util.Util;0;0;0;0;0
org.jgroups.protocols.UDP.startThreads();org.jgroups.protocols.TP;0;0;0;0;0
org.jgroups.protocols.PING.handleDisconnect();org.jgroups.stack.GossipClient;1;0;1;1.0;0.9333333333333333;3;147;219
org.jgroups.mux.Multiplexer.mergeServiceState(java.util.Map<org.jgroups.Address,java.util.Set<java.lang.String>>, org.jgroups.MergeView);org.jgroups.View;0;0;0;0;0
org.jgroups.protocols.SIZE.down(org.jgroups.Event);org.jgroups.Event;2;5;3;0.736842105263158;0.8461538461538461;23;98;162
org.jgroups.protocols.FD_ICMP.up(org.jgroups.Event);org.jgroups.protocols.FD;0;0;0;0;0
org.jgroups.protocols.UDP.sendToAllMembers(byte[], int, int);org.jgroups.protocols.TP;1;2;2;0.98;0.9904761904761905;13;485;796
org.jgroups.mux.MuxChannel._close(boolean, boolean);org.jgroups.JChannel;0;0;0;0;0
org.jgroups.protocols.pbcast.FLUSH.onResume();org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.PingHeader.size();org.jgroups.protocols.PingRsp;1;0;2;1.0;0.8888888888888888;7;42;45
org.jgroups.protocols.SFC.down(org.jgroups.Event);org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.VERIFY_SUSPECT.run();org.jgroups.stack.Protocol;3;3;3;0.9090909090909091;0.9375;24;175;273
org.jgroups.protocols.pbcast.FLUSH.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;0;0;0;0;0
org.jgroups.JChannel.disconnect();org.jgroups.stack.ProtocolStack;1;8;4;0.8823529411764706;0.9736842105263158;22;689;201
org.jgroups.protocols.STATS.up(org.jgroups.Event);org.jgroups.Event;2;2;2;0.9411764705882353;0.6666666666666667;10;162;162
org.jgroups.protocols.AUTH.up(org.jgroups.Event);org.jgroups.protocols.AuthHeader;0;1;6;1.0;1.0;44;121;23
org.jgroups.protocols.AUTH.setProperties(java.util.Properties);org.jgroups.stack.Protocol;1;0;2;1.0;0.975;24;121;273
org.jgroups.JChannel.downcall(org.jgroups.Event);org.jgroups.stack.ProtocolStack;0;0;0;0;0
org.jgroups.jmx.protocols.UNICAST.getAcksReceived();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.9736842105263158;3;43;318
org.jgroups.protocols.FRAG2.down(org.jgroups.Event);org.jgroups.util.Util;0;7;5;0.8627450980392157;1.0;40;318;1042
org.jgroups.protocols.pbcast.FLUSH.onViewChange(org.jgroups.View);org.jgroups.View;0;0;0;0;0
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.process(java.net.Socket);org.jgroups.Event;0;0;0;0;0
org.jgroups.View.hashCode();org.jgroups.ViewId;0;0;0;0;0
org.jgroups.protocols.VIEW_SYNC.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;1;1;0.9705882352941176;1.0;4;218;1042
org.jgroups.jmx.protocols.FD.getPingableMembers();org.jgroups.protocols.FD;1;0;1;1.0;0.9814814814814815;3;52;402
org.jgroups.jmx.protocols.FRAG.getNumberOfSentFragments();org.jgroups.protocols.FRAG;1;0;1;1.0;0.9705882352941176;3;28;287
org.jgroups.demos.Chat.receive(org.jgroups.Message);org.jgroups.Message;2;2;1;0.9459459459459459;0.9473684210526316;11;166;408
org.jgroups.protocols.FC.handleDownMessage(org.jgroups.Event);org.jgroups.Event;1;14;4;0.8153846153846154;0.9642857142857143;36;406;162
org.jgroups.protocols.FD_SIMPLE.up(org.jgroups.Event);org.jgroups.stack.Protocol;4;5;3;0.8529411764705882;0.9090909090909091;35;197;273
org.jgroups.jmx.protocols.UNICAST.printConnections();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.9736842105263158;3;43;318
org.jgroups.blocks.MessageDispatcher.handleUpEvent(org.jgroups.Event);org.jgroups.View;0;0;0;0;0
org.jgroups.jmx.JChannel.getProperties();org.jgroups.JChannel;0;0;0;0;0
org.jgroups.jmx.protocols.FRAG2.getNumberOfReceivedFragments();org.jgroups.protocols.FRAG2;1;0;1;1.0;0.9714285714285714;3;34;318
org.jgroups.protocols.UDP.setThreadNames();org.jgroups.protocols.TP;0;0;0;0;0
org.jgroups.protocols.CAUSAL.down(org.jgroups.Event);org.jgroups.Message;3;1;4;0.9473684210526316;0.926829268292683;15;97;408
org.jgroups.protocols.FD_ALL.down(org.jgroups.Event);org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.CAUSAL.upSetLocalAddress(org.jgroups.Event);org.jgroups.Event;0;0;0;0;0
org.jgroups.protocols.pbcast.CoordGmsImpl.sendMergeView(java.util.Vector, org.jgroups.protocols.pbcast.MergeData);org.jgroups.protocols.pbcast.GMS;0;0;7;1.0;1.0;25;492;840
org.jgroups.protocols.pbcast.NAKACK.send(org.jgroups.Event, org.jgroups.Message);org.jgroups.Message;2;3;4;0.9583333333333334;0.9512195121951219;15;893;408
org.jgroups.blocks.DistributedQueue.remove();org.jgroups.util.RspList;1;4;3;0.9387755102040817;0.9583333333333334;12;377;111
org.jgroups.protocols.TCPGOSSIP.sendGetMembersRequest();org.jgroups.Event;0;0;6;1.0;1.0;29;91;162
org.jgroups.jmx.protocols.SFC.unblock();org.jgroups.protocols.SFC;0;0;0;0;0
org.jgroups.jmx.protocols.SFC.getAverageBlockingTime();org.jgroups.protocols.SFC;0;0;0;0;0
org.jgroups.protocols.pbcast.STATE_TRANSFER.handleStateReq(org.jgroups.protocols.pbcast.STATE_TRANSFER.StateHeader);org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.pbcast.NAKACK.rebroadcastMessages();org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.VIEW_SYNC.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;1;1;1;0.9705882352941176;1.0;4;218;1042
org.jgroups.protocols.pbcast.STABLE.handleRegularMessage(org.jgroups.Message);org.jgroups.util.Digest;0;0;0;0;0
org.jgroups.protocols.pbcast.GMS.start(boolean);org.jgroups.util.Util;0;0;0;0;0
org.jgroups.protocols.pbcast.NAKACK.retransmit(boolean, long, long, org.jgroups.Address);org.jgroups.protocols.pbcast.NakAckHeader;0;0;0;0;0
org.jgroups.jmx.JChannel.getTimerThreads();org.jgroups.JChannel;0;0;0;0;0
org.jgroups.stack.AckSenderWindow.reset();org.jgroups.stack.Retransmitter;1;1;1;0.9375;0.9565217391304348;4;150;194
org.jgroups.demos.QuoteServer.getState();org.jgroups.util.Util;0;1;1;0.9444444444444444;1.0;9;81;1042
org.jgroups.protocols.PING.localAddressSet(org.jgroups.Address);org.jgroups.stack.Protocol;1;0;3;1.0;0.975;18;147;273
org.jgroups.protocols.SHUFFLE.run();org.jgroups.Event;0;3;2;0.8235294117647058;1.0;22;70;162
org.jgroups.protocols.pbcast.CoordGmsImpl.handleMergeCancelled(org.jgroups.ViewId);org.jgroups.ViewId;1;3;3;0.9444444444444444;0.9523809523809523;9;492;61
org.jgroups.protocols.pbcast.CoordGmsImpl.sendMergeView(java.util.Vector, org.jgroups.protocols.pbcast.MergeData);org.jgroups.protocols.pbcast.MergeData;0;0;7;1.0;1.0;25;492;50
org.jgroups.blocks.ReplicatedHashtable.getLocalAddress();org.jgroups.Channel;1;0;1;1.0;1.0;3;301;108
org.jgroups.jmx.protocols.TCP.getEndPort();org.jgroups.protocols.BasicTCP;0;0;0;0;0
org.jgroups.protocols.pbcast.CoordGmsImpl.handleMergeView(org.jgroups.protocols.pbcast.MergeData, org.jgroups.ViewId);org.jgroups.protocols.pbcast.GmsImpl;1;1;5;0.9818181818181818;0.9583333333333334;13;492;56
org.jgroups.jmx.JChannel.setReceiveBlockEvents(boolean);org.jgroups.Channel;0;1;2;0.9852941176470589;1.0;4;268;108
org.jgroups.protocols.MERGE3.init();org.jgroups.stack.ProtocolStack;0;0;2;1.0;1.0;3;174;201
org.jgroups.protocols.AuthHeader.size();org.jgroups.util.Util;0;0;1;1.0;1.0;3;23;1042
org.jgroups.jmx.JChannel.setAutoReconnect(boolean);org.jgroups.JChannel;1;1;2;0.9852941176470589;0.9846153846153847;4;268;689
org.jgroups.blocks.DistributedHashtable.stop();org.jgroups.Channel;1;0;2;1.0;1.0;10;358;108
org.jgroups.blocks.DistributedTree.getState();org.jgroups.util.Util;0;2;1;0.9672131147540983;1.0;10;436;1042
org.jgroups.protocols.CAUSAL.addToDelayQueue(org.jgroups.protocols.TransportedVectorTime);org.jgroups.protocols.TransportedVectorTime;1;1;1;0.9411764705882353;0.9230769230769231;12;97;48
org.jgroups.protocols.FD_ALL.up(org.jgroups.Event);org.jgroups.Event;0;0;0;0;0
org.jgroups.protocols.pbcast.ParticipantGmsImpl.sendLeaveMessage(org.jgroups.Address, org.jgroups.Address);org.jgroups.Message;1;0;5;1.0;0.9714285714285714;6;91;408
org.jgroups.protocols.FC.up(org.jgroups.Event);org.jgroups.stack.Protocol;3;9;4;0.85;0.9387755102040817;34;406;273
org.jgroups.protocols.SEQUENCER.dumpStats();org.jgroups.stack.Protocol;1;4;1;0.8823529411764706;0.9743589743589743;9;222;273
org.jgroups.protocols.JMS.onMessage(javax.jms.Message);org.jgroups.Message;2;4;4;0.9166666666666666;0.9565217391304348;34;240;408
org.jgroups.protocols.pbcast.NakAckHeader.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;2;3;1;0.7857142857142857;1.0;6;80;1042
org.jgroups.protocols.ENCRYPT.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;1;2;1;0.96875;1.0;4;575;1042
org.jgroups.stack.GossipClient._getMembers(java.lang.String);org.jgroups.util.Util;0;0;0;0;0
org.jgroups.jmx.JChannel.getReceiveBlockEvents();org.jgroups.JChannel;0;0;0;0;0
org.jgroups.demos.applets.DrawApplet.run();org.jgroups.Message;3;7;2;0.8372093023255813;0.9333333333333333;43;200;408
org.jgroups.mux.MuxChannel.connect(java.lang.String);org.jgroups.JChannelFactory;0;0;0;0;0
org.jgroups.protocols.pbcast.GMS.installView(org.jgroups.util.Digest, org.jgroups.View);org.jgroups.ViewId;0;0;0;0;0
org.jgroups.protocols.HDRS.down(org.jgroups.Event);org.jgroups.stack.Protocol;1;1;2;1.0;0.972972972972973;7;23;273
org.jgroups.demos.Gossip.run();org.jgroups.util.Util;0;3;1;0.9464285714285714;1.0;6;247;1042
org.jgroups.protocols.Discovery.stop();org.jgroups.protocols.PingWaiter;1;1;1;0.96;0.9285714285714286;4;195;83
org.jgroups.jmx.protocols.FC.setMaxCredits(long);org.jgroups.protocols.FC;1;0;1;1.0;0.9803921568627451;3;73;406
org.jgroups.jmx.protocols.UNICAST.getBytesSent();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.9736842105263158;3;43;318
org.jgroups.protocols.pbcast.GMS.up(org.jgroups.Event);org.jgroups.Message;4;7;6;0.9426229508196722;0.9333333333333333;86;840;408
org.jgroups.protocols.MERGE2.down(org.jgroups.Event);org.jgroups.Event;2;4;3;0.8666666666666667;0.8333333333333334;28;156;162
org.jgroups.jmx.protocols.FC.getBlockings();org.jgroups.protocols.FC;1;0;1;1.0;0.9803921568627451;3;73;406
org.jgroups.demos.ReplicatedTreeDemo.viewChange(org.jgroups.View);org.jgroups.View;1;0;2;1.0;0.9333333333333333;7;391;90
org.jgroups.jmx.protocols.TP.getSendInterfaces();org.jgroups.protocols.TP;1;0;1;1.0;0.9897959183673469;3;94;796
org.jgroups.stack.ProtocolStack.dumpStats();org.jgroups.stack.Protocol;2;0;1;1.0;0.9722222222222222;13;201;273
org.jgroups.protocols.pbcast.NAKACK.handleXmitRsp(org.jgroups.Message);org.jgroups.Message;4;4;4;0.9620253164556962;0.9130434782608696;27;893;408
org.jgroups.mux.Multiplexer.fetchServiceInformation();org.jgroups.util.Promise;0;0;0;0;0
org.jgroups.protocols.pbcast.FLUSH.onSuspend(org.jgroups.View);org.jgroups.Event;0;0;0;0;0
org.jgroups.protocols.MERGE2.up(org.jgroups.Event);org.jgroups.stack.Protocol;1;1;3;0.962962962962963;0.9736842105263158;15;156;273
org.jgroups.blocks.DistributedHashtable.remove(java.lang.Object);org.jgroups.blocks.RpcDispatcher;1;3;2;0.9142857142857143;1.0;14;358;229
org.jgroups.protocols.ENCRYPT.handleUpMessage(org.jgroups.Event);org.jgroups.Message;4;14;3;0.8333333333333334;0.9230769230769231;80;575;408
org.jgroups.stack.RouterStub.disconnect();org.jgroups.stack.GossipData;0;0;0;0;0
org.jgroups.jmx.protocols.FD_SOCK.attachProtocol(org.jgroups.stack.Protocol);org.jgroups.jmx.Protocol;0;0;1;1.0;1.0;4;28;65
org.jgroups.util.Scheduler.run();org.jgroups.util.ThreadPool;1;6;4;0.8;0.9666666666666667;57;139;55
org.jgroups.protocols.DELAY.setProperties(java.util.Properties);org.jgroups.stack.Protocol;2;2;1;0.8333333333333334;0.95;19;45;273
org.jgroups.blocks.TwoPhaseVotingAdapter.vote(java.lang.Object, long, org.jgroups.blocks.VoteResponseProcessor);org.jgroups.blocks.VotingAdapter;1;2;1;0.8888888888888888;0.9642857142857143;24;95;182
org.jgroups.Message.size();org.jgroups.Global;0;4;2;0.9047619047619048;1.0;17;408;0
org.jgroups.mux.Multiplexer.up(org.jgroups.Event);org.jgroups.View;0;0;0;0;0
org.jgroups.jmx.protocols.STATS.getReceivedUnicastMessages();org.jgroups.protocols.STATS;1;0;1;1.0;0.967741935483871;3;49;162
org.jgroups.protocols.VIEW_SYNC.setProperties(java.util.Properties);org.jgroups.stack.Protocol;2;1;1;0.9736842105263158;0.9487179487179487;14;218;273
org.jgroups.protocols.pbcast.GMS.resetStats();org.jgroups.util.List;1;1;2;0.9900990099009901;0.9655172413793104;5;840;241
org.jgroups.protocols.pbcast.GMS.down(org.jgroups.Event);org.jgroups.Event;2;2;3;0.9813084112149533;0.8181818181818181;22;840;162
org.jgroups.protocols.FD_SOCK.resetStats();org.jgroups.util.List;1;1;2;0.9868421052631579;0.9655172413793104;5;662;241
org.jgroups.protocols.FD_SOCK.teardownPingSocket();org.jgroups.util.Util;0;0;0;0;0
org.jgroups.protocols.FD_SOCK.sendIHaveSockMessage(org.jgroups.Address, org.jgroups.Address, org.jgroups.stack.IpAddress);org.jgroups.stack.Protocol;1;1;3;0.9868421052631579;0.9722222222222222;8;662;273
org.jgroups.blocks.ReplicatedTree.receive(org.jgroups.Message);org.jgroups.util.Queue;1;1;2;0.9871794871794872;0.9696969696969697;15;603;291
org.jgroups.JChannelFactory.shutdown(org.jgroups.mux.MuxChannel);org.jgroups.mux.MuxChannel;0;0;0;0;0
org.jgroups.protocols.TP.down(org.jgroups.Event);org.jgroups.stack.Protocol;3;8;4;0.9401709401709402;0.9473684210526316;40;796;273
org.jgroups.Message.writeTo(java.io.DataOutputStream);org.jgroups.stack.IpAddress;1;6;2;0.9;0.9743589743589743;34;408;165
org.jgroups.jmx.JChannel.setValues();org.jgroups.JChannel;0;0;0;0;0
org.jgroups.jmx.protocols.TP.isReceiveOnAllInterfaces();org.jgroups.protocols.TP;1;0;1;1.0;0.9897959183673469;3;94;796
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.readFrom(java.io.DataInputStream);org.jgroups.util.Util;0;0;0;0;0
org.jgroups.protocols.FD_ALL.size();org.jgroups.util.Util;0;0;0;0;0
org.jgroups.stack.NakReceiverWindow.add(long, org.jgroups.Message);org.jgroups.util.BoundedList;0;0;0;0;0
org.jgroups.protocols.pbcast.FLUSH.down(org.jgroups.Event);org.jgroups.Event;0;0;0;0;0
org.jgroups.demos.Draw2Channels.mouseDragged(java.awt.event.MouseEvent);org.jgroups.Channel;1;4;2;0.9230769230769231;1.0;20;273;108
org.jgroups.util.TimeScheduler.stop();org.jgroups.Global;0;0;0;0;0
org.jgroups.protocols.pbcast.ClientGmsImpl.sendJoinMessage(org.jgroups.Address, org.jgroups.Address);org.jgroups.protocols.pbcast.GmsImpl;0;0;5;1.0;1.0;8;230;56
org.jgroups.protocols.TCPPING.setProperties(java.util.Properties);org.jgroups.Global;0;0;0;0;0
org.jgroups.MergeView.readFrom(java.io.DataInputStream);org.jgroups.View;1;1;1;0.9090909090909091;0.9375;13;68;90
org.jgroups.demos.wb.GraphPanel.findNodeAtPoint(java.awt.Point);org.jgroups.demos.wb.Node;4;1;1;0.9743589743589743;0.7647058823529411;12;234;5
org.jgroups.protocols.pbcast.ClientGmsImpl.join(org.jgroups.Address);org.jgroups.stack.Protocol;2;6;11;0.8636363636363636;0.9682539682539683;88;230;273
org.jgroups.debug.ProtocolTester.stop();org.jgroups.stack.Configurator;1;0;2;1.0;0.9714285714285714;19;72;338
org.jgroups.protocols.FD_SIMPLE.up(org.jgroups.Event);org.jgroups.Event;2;5;3;0.8529411764705882;0.8666666666666667;35;197;162
org.jgroups.protocols.SEQUENCER.down(org.jgroups.Event);org.jgroups.Message;2;6;3;0.8717948717948718;0.9545454545454546;24;222;408
org.jgroups.protocols.Discovery.providedUpServices();org.jgroups.Event;0;0;1;1.0;1.0;5;195;162
org.jgroups.protocols.pbcast.NakAckHeader.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;3;1;0.7692307692307692;1.0;6;80;1042
org.jgroups.jmx.protocols.TCP.setStartPort(int);org.jgroups.protocols.BasicTCP;0;0;0;0;0
org.jgroups.protocols.MPING.sendMcastDiscoveryRequest(org.jgroups.Message);org.jgroups.util.Buffer;3;3;6;0.9032258064516129;0.8333333333333334;21;208;35
org.jgroups.protocols.BARRIER.down(org.jgroups.Event);org.jgroups.stack.Protocol;0;0;0;0;0
org.jgroups.protocols.pbcast.FLUSH.findHighestSequences();org.jgroups.util.Digest;0;0;0;0;0
org.jgroups.jmx.protocols.SEQUENCER.getForwarded();org.jgroups.protocols.SEQUENCER;1;0;1;1.0;0.96875;3;40;222
org.jgroups.protocols.UDP.createSockets();org.jgroups.stack.IpAddress;2;14;4;0.8142857142857143;0.9649122807017544;79;485;165
org.jgroups.protocols.SHUFFLE.up(org.jgroups.Event);org.jgroups.Event;2;1;2;0.9230769230769231;0.6666666666666667;10;70;162
org.jgroups.jmx.protocols.SFC.resetStats();org.jgroups.jmx.Protocol;0;0;0;0;0
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.respondToStateRequester(boolean);org.jgroups.Event;0;0;0;0;0
org.jgroups.protocols.TCP_NIO.start();org.jgroups.stack.IpAddress;0;0;0;0;0
org.jgroups.jmx.protocols.STATS.printStats();org.jgroups.protocols.STATS;1;0;1;1.0;0.967741935483871;3;49;162
org.jgroups.protocols.SIZE.numHeaders(org.jgroups.Message);org.jgroups.Message;1;0;1;1.0;0.9714285714285714;5;98;408
org.jgroups.jmx.JChannelFactory.createMultiplexerChannel(java.lang.String, java.lang.String);org.jgroups.JChannelFactory;0;0;0;0;0
org.jgroups.protocols.PING.stop();org.jgroups.stack.GossipClient;1;0;2;1.0;0.9375;6;147;219
org.jgroups.jmx.protocols.TP.getBytesReceived();org.jgroups.protocols.TP;1;0;1;1.0;0.9897959183673469;3;94;796
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.close();org.jgroups.Channel;0;0;0;0;0
org.jgroups.mux.Multiplexer.fetchServiceStates(java.util.Set<java.lang.String>, long, org.jgroups.Address);org.jgroups.JChannel;0;0;0;0;0
org.jgroups.protocols.SMACK.up(org.jgroups.Event);org.jgroups.stack.AckMcastSenderWindow;2;9;5;0.7692307692307692;0.9661016949152542;72;205;256
org.jgroups.blocks.ReplicatedTree.receive(org.jgroups.Message);org.jgroups.Message;2;1;2;0.9871794871794872;0.9444444444444444;15;603;408
org.jgroups.protocols.BasicTCP.handleDownEvent(org.jgroups.Event);org.jgroups.util.List;0;0;0;0;0
org.jgroups.util.AckCollector.waitForAllAcks();org.jgroups.util.Promise;1;1;1;0.9333333333333333;0.9285714285714286;6;59;88
org.jgroups.protocols.FD_ALL.down(org.jgroups.Event);org.jgroups.Event;0;0;0;0;0
org.jgroups.protocols.FD.run();org.jgroups.stack.Protocol;2;5;3;0.9152542372881356;0.9523809523809523;19;402;273
org.jgroups.jmx.protocols.STATS.attachProtocol(org.jgroups.stack.Protocol);org.jgroups.jmx.Protocol;0;0;1;1.0;1.0;4;49;65
org.jgroups.jmx.protocols.TP.getIncomingPoolSize();org.jgroups.protocols.TP;0;0;0;0;0
org.jgroups.demos.wb.Whiteboard.destroy();org.jgroups.blocks.RpcDispatcher;1;1;4;0.9696969696969697;1.0;17;157;229
org.jgroups.demos.DistributedTreeDemo.valueChanged(javax.swing.event.TreeSelectionEvent);org.jgroups.blocks.DistributedTree;1;2;2;0.9375;0.9852941176470589;15;239;436
org.jgroups.protocols.HTOTAL.forwardTo(org.jgroups.Address, org.jgroups.Message);org.jgroups.stack.Protocol;3;1;3;0.962962962962963;0.925;10;124;273
org.jgroups.protocols.pbcast.CoordGmsImpl.cancelMerge();org.jgroups.protocols.pbcast.GmsImpl;1;5;2;0.9056603773584906;0.9615384615384616;12;492;56
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;0;0;0;0;0
org.jgroups.demos.wb.Whiteboard.addNode(int, int, java.lang.String, org.jgroups.Address);org.jgroups.demos.wb.GraphPanel;1;0;1;1.0;1.0;3;157;234
org.jgroups.jmx.JChannel.setAutoGetState(boolean);org.jgroups.JChannel;1;1;2;0.9852941176470589;0.9846153846153847;4;268;689
org.jgroups.protocols.TUNNEL.sendToAllMembers(byte[], int, int);org.jgroups.stack.RouterStub;0;0;0;0;0
org.jgroups.mux.MuxChannel.getState(java.lang.String, long, org.jgroups.Address);org.jgroups.mux.Multiplexer;0;0;0;0;0
org.jgroups.jmx.protocols.UNICAST.getMessagesSent();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.9736842105263158;3;43;318
org.jgroups.protocols.pbcast.CoordGmsImpl.consolidateMergeData(java.util.Vector<org.jgroups.protocols.pbcast.MergeData>);org.jgroups.View;0;0;0;0;0
