Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.jgroups.protocols.TP.up(org.jgroups.Event);org.jgroups.Event;2;1;2;0.9922480620155039;0.75;10;1015;115
org.jgroups.jmx.protocols.pbcast.NAKACK.getPendingRetransmissionRequests();org.jgroups.protocols.pbcast.NAKACK;1;0;1;1.0;0.9868421052631579;3;82;903
org.jgroups.blocks.VotingAdapter.vote(int, java.lang.Object, long, org.jgroups.blocks.VoteResponseProcessor);org.jgroups.blocks.RpcDispatcher;1;2;2;0.9428571428571428;1.0;33;216;254
org.jgroups.protocols.FRAG2.up(org.jgroups.Event);org.jgroups.Event;2;3;3;0.9333333333333333;0.8333333333333334;21;312;115
org.jgroups.stack.Configurator.printDownReqs();org.jgroups.Event;0;1;1;0.975;1.0;9;366;115
org.jgroups.jmx.protocols.MERGE2.attachProtocol(org.jgroups.stack.Protocol);org.jgroups.jmx.Protocol;0;0;1;1.0;1.0;4;22;44
org.jgroups.protocols.FD_SOCK.adjustSuspectedMembers(java.util.Vector);org.jgroups.stack.Protocol;1;2;1;0.978021978021978;0.9666666666666667;14;741;98
org.jgroups.protocols.MERGE2.start();org.jgroups.util.Util;0;1;1;0.9615384615384616;1.0;7;163;1530
org.jgroups.jmx.JChannel.peek(long);org.jgroups.JChannel;1;0;1;1.0;0.9855072463768116;3;261;824
org.jgroups.protocols.CAUSAL.max(org.jgroups.protocols.TransportedVectorTime);org.jgroups.protocols.TransportedVectorTime;1;1;2;1.0;0.875;10;475;48
org.jgroups.blocks.ReplicatedTree.getState();org.jgroups.util.Util;0;3;1;0.96;1.0;9;597;1530
org.jgroups.protocols.pbcast.FLUSH.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;3;1;0.9552238805970149;1.0;15;660;1530
org.jgroups.protocols.UDP.startThreads();org.jgroups.protocols.TP;2;5;3;0.9019607843137255;0.9852941176470589;24;481;1015
org.jgroups.protocols.PING.handleDisconnect();org.jgroups.stack.GossipClient;1;0;1;1.0;0.9473684210526316;3;156;292
org.jgroups.mux.Multiplexer.mergeServiceState(java.util.Map<org.jgroups.Address,java.util.Set<java.lang.String>>, org.jgroups.MergeView);org.jgroups.View;0;0;0;0;0;0;0;0
org.jgroups.protocols.SIZE.down(org.jgroups.Event);org.jgroups.Event;2;5;3;0.7222222222222222;0.8571428571428572;23;97;115
org.jgroups.protocols.FD_ICMP.up(org.jgroups.Event);org.jgroups.protocols.FD;1;1;2;0.9375;0.9824561403508771;11;95;430
org.jgroups.protocols.UDP.sendToAllMembers(byte[], int, int);org.jgroups.protocols.TP;1;2;2;0.9787234042553191;0.9922480620155039;11;481;1015
org.jgroups.mux.MuxChannel._close(boolean, boolean);org.jgroups.JChannel;4;0;2;1.0;0.9428571428571428;6;163;824
org.jgroups.protocols.pbcast.FLUSH.onResume();org.jgroups.stack.Protocol;2;2;3;0.96875;0.9130434782608696;7;660;98
org.jgroups.protocols.PingHeader.size();org.jgroups.protocols.PingRsp;1;0;2;1.0;0.8888888888888888;7;42;44
org.jgroups.protocols.SFC.down(org.jgroups.Event);org.jgroups.stack.Protocol;2;14;3;0.78125;0.9574468085106383;66;379;98
org.jgroups.protocols.VERIFY_SUSPECT.run();org.jgroups.stack.Protocol;2;3;3;0.9285714285714286;0.9487179487179487;29;233;98
org.jgroups.protocols.pbcast.FLUSH.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;2;3;1;0.9583333333333334;1.0;21;660;1530
org.jgroups.JChannel.disconnect();org.jgroups.stack.ProtocolStack;1;7;3;0.9014084507042254;0.9736842105263158;18;824;230
org.jgroups.protocols.STATS.up(org.jgroups.Event);org.jgroups.Event;2;2;2;0.9375;0.75;10;160;115
org.jgroups.protocols.AUTH.up(org.jgroups.Event);org.jgroups.protocols.AuthHeader;0;1;6;1.0;1.0;45;122;23
org.jgroups.protocols.AUTH.setProperties(java.util.Properties);org.jgroups.stack.Protocol;1;0;2;1.0;0.9615384615384616;25;122;98
org.jgroups.JChannel.downcall(org.jgroups.Event);org.jgroups.stack.ProtocolStack;1;3;4;0.961038961038961;0.975;21;824;230
org.jgroups.jmx.protocols.UNICAST.getAcksReceived();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.9767441860465116;3;49;423
org.jgroups.protocols.FRAG2.down(org.jgroups.Event);org.jgroups.util.Util;0;7;5;0.8703703703703703;1.0;35;312;1530
org.jgroups.protocols.pbcast.FLUSH.onViewChange(org.jgroups.View);org.jgroups.View;2;7;2;0.8955223880597015;0.9230769230769231;26;660;93
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.process(java.net.Socket);org.jgroups.Event;0;3;2;0.9764705882352941;1.0;38;623;115
org.jgroups.View.hashCode();org.jgroups.ViewId;1;0;1;1.0;0.9285714285714286;3;93;61
org.jgroups.protocols.VIEW_SYNC.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;1;1;0.9696969696969697;1.0;6;232;1530
org.jgroups.jmx.protocols.FD.getPingableMembers();org.jgroups.protocols.FD;1;0;1;1.0;0.9811320754716981;3;52;430
org.jgroups.jmx.protocols.FRAG.getNumberOfSentFragments();org.jgroups.protocols.FRAG;1;0;1;1.0;0.9705882352941176;3;28;288
org.jgroups.demos.Chat.receive(org.jgroups.Message);org.jgroups.Message;2;2;1;0.9545454545454546;0.9512195121951219;11;212;498
org.jgroups.protocols.FC.handleDownMessage(org.jgroups.Event);org.jgroups.Event;1;15;4;0.8378378378378378;0.972972972972973;52;475;115
org.jgroups.protocols.FD_SIMPLE.up(org.jgroups.Event);org.jgroups.stack.Protocol;3;6;3;0.8461538461538461;0.9090909090909091;40;225;98
org.jgroups.jmx.protocols.UNICAST.printConnections();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.9767441860465116;3;49;423
org.jgroups.blocks.MessageDispatcher.handleUpEvent(org.jgroups.Event);org.jgroups.View;1;4;6;0.9375;0.975;106;560;93
org.jgroups.jmx.JChannel.getProperties();org.jgroups.JChannel;1;1;1;0.9852941176470589;0.9857142857142858;4;261;824
org.jgroups.jmx.protocols.FRAG2.getNumberOfReceivedFragments();org.jgroups.protocols.FRAG2;1;0;1;1.0;0.9743589743589743;3;34;312
org.jgroups.protocols.UDP.setThreadNames();org.jgroups.protocols.TP;3;3;1;0.9347826086956522;0.9765625;7;481;1015
org.jgroups.protocols.CAUSAL.down(org.jgroups.Event);org.jgroups.Message;2;9;3;0.8636363636363636;0.9622641509433962;32;475;498
org.jgroups.protocols.FD_ALL.down(org.jgroups.Event);org.jgroups.stack.Protocol;1;1;2;0.9795918367346939;0.9565217391304348;10;323;98
org.jgroups.protocols.CAUSAL.upSetLocalAddress(org.jgroups.Event);org.jgroups.Event;1;1;2;0.9830508474576272;0.8571428571428572;4;475;115
org.jgroups.protocols.pbcast.CoordGmsImpl.sendMergeView(java.util.Vector, org.jgroups.protocols.pbcast.MergeData);org.jgroups.protocols.pbcast.GMS;0;0;7;1.0;1.0;25;524;901
org.jgroups.protocols.pbcast.NAKACK.send(org.jgroups.Event, org.jgroups.Message);org.jgroups.Message;3;6;4;0.9302325581395349;0.94;35;903;498
org.jgroups.blocks.DistributedQueue.remove();org.jgroups.util.RspList;1;4;3;0.9387755102040817;0.9705882352941176;12;370;145
org.jgroups.protocols.TCPGOSSIP.sendGetMembersRequest();org.jgroups.Event;0;0;6;1.0;1.0;30;104;115
org.jgroups.jmx.protocols.SFC.unblock();org.jgroups.protocols.SFC;1;0;1;1.0;0.9795918367346939;3;62;379
org.jgroups.jmx.protocols.SFC.getAverageBlockingTime();org.jgroups.protocols.SFC;1;0;1;1.0;0.9795918367346939;3;62;379
org.jgroups.protocols.pbcast.STATE_TRANSFER.handleStateReq(org.jgroups.protocols.pbcast.STATE_TRANSFER.StateHeader);org.jgroups.stack.Protocol;2;6;2;0.8913043478260869;0.9333333333333333;36;380;98
org.jgroups.protocols.pbcast.NAKACK.rebroadcastMessages();org.jgroups.stack.Protocol;1;6;2;0.9325842696629214;0.9736842105263158;44;903;98
org.jgroups.protocols.VIEW_SYNC.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;1;1;1;0.9696969696969697;1.0;6;232;1530
org.jgroups.protocols.pbcast.STABLE.handleRegularMessage(org.jgroups.Message);org.jgroups.util.Digest;1;5;3;0.9264705882352942;0.975;25;459;270
org.jgroups.protocols.pbcast.GMS.start(boolean);org.jgroups.util.Util;0;4;3;0.963302752293578;1.0;18;901;1530
org.jgroups.protocols.pbcast.NAKACK.retransmit(boolean, long, long, org.jgroups.Address);org.jgroups.protocols.pbcast.NakAckHeader;0;0;0;0;0;0;0;0
org.jgroups.jmx.JChannel.getTimerThreads();org.jgroups.JChannel;1;0;1;1.0;0.9855072463768116;3;261;824
