Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.gjt.sp.jedit.Buffer.setDirty(boolean);org.gjt.sp.jedit.msg.BufferUpdate;1;2;5;0.9799;1437;122;46;0;1;1.0000;18;2;13
org.gjt.sp.jedit.gui.HistoryText.doBackwardSearch();org.gjt.sp.jedit.gui.HistoryModel;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.XModeHandler.startElement(String);gnu.regexp.RE;1;1;9;0.7826;343;16;26;0;0;1.0000;615;37;13
bsh.ParserTokenManager.jjMoveStringLiteralDfa8_0(long, long, long, long, long, long);bsh.JavaCharStream;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.DockableWindowFactory.Window.load();org.gjt.sp.jedit.PluginJAR;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.browser.VFSBrowser.removeNotify();org.gjt.sp.jedit.EditBus;0;0;4;0.9483;521;31;32;1;0;1.0000;72;8;4
org.gjt.sp.jedit.textarea.JEditTextArea.goToBufferStart(boolean);org.gjt.sp.jedit.textarea.DisplayManager;0;0;0;0;0;0;0;0;0;0;0;0;0
bsh.BSHType.getType(CallStack, Interpreter);bsh.BshClassManager;0;0;0;0;0;0;0;0;0;0;0;0;0
bsh.NameSpace.importClass(String);bsh.Name;0;1;1;0.9608;407;45;12;1;0;1.0000;285;16;7
bsh.BSHBinaryExpression.eval(CallStack, Interpreter);bsh.BSHType;2;2;1;0.8421;55;3;1;1;0;0.9583;35;3;3
org.gjt.sp.jedit.View.toString();org.gjt.sp.jedit.jEdit;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.SearchBar.setHyperSearch(boolean);org.gjt.sp.jedit.jEdit;0;0;1;0.9231;112;5;8;1;0;1.0000;1482;96;27
org.gjt.sp.jedit.EditPane.addMarker();org.gjt.sp.jedit.textarea.JEditTextArea;0;0;0;0;0;0;0;0;0;0;0;0;0
bsh.Parser.ArgumentList();bsh.ParserConstants;1;3;3;0.9861;6765;404;25;0;1;0.9921;0;0;120
bsh.Parser.ClassDeclaration();bsh.BSHClassDeclaration;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.CompleteWord.Renderer.getListCellRendererComponent(JList, Object, int, boolean, boolean);org.gjt.sp.jedit.gui.CompleteWord.Completion;1;0;0;1.0000;7;1;0;0;1;0.7500;11;1;2
org.gjt.sp.jedit.options.PluginManagerOptionPane._save();org.gjt.sp.jedit.jEdit;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.XModeHandler.attribute(String, String, boolean);org.gjt.sp.jedit.syntax.TokenMarker;0;3;14;0.5952;343;16;26;0;0;1.0000;377;6;25
org.gjt.sp.jedit.textarea.JEditTextArea.isStructureHighlightVisible();org.gjt.sp.jedit.textarea.DisplayManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.AbbrevsOptionPane._init();org.gjt.sp.jedit.GUIUtilities;2;1;8;0.3077;99;4;8;0;0;1.0000;391;38;7
org.gjt.sp.jedit.options.WindowTableModel.getColumnName(int);org.gjt.sp.jedit.jEdit;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.SearchAndReplace.replaceInSelection(View, JEditTextArea, Buffer, SearchMatcher, boolean, Selection);org.gjt.sp.jedit.textarea.Selection.Rect;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.browser.VFSFileNameField.doComplete(String);org.gjt.sp.jedit.browser.BrowserView;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.MiscUtilities.pathsEqual(String, String);org.gjt.sp.jedit.io.VFS;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.Macros.runTemporaryMacro(View);org.gjt.sp.jedit.View;1;1;0;1.0000;215;21;7;1;0;0.9831;489;37;29
org.gjt.sp.jedit.syntax.XModeHandler.attribute(String, String, boolean);org.gjt.sp.jedit.syntax.Token;0;3;14;0.5952;343;16;26;0;0;1.0000;8;1;21
bsh.BSHAllocationExpression.constructObject(Class, Object[], CallStack);bsh.Reflect;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.ExtensionManager.paintScreenLineRange(Graphics2D, int, int, int[], int[], int[], int, int);org.gjt.sp.util.Log;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.jEdit.closeAllBuffers(View, boolean);org.gjt.sp.jedit.PerspectiveManager;0;0;0;0;0;0;0;0;0;0;0;0;0
bsh.BSHSwitchStatement.eval(CallStack, Interpreter);bsh.ParserConstants;4;0;0;1.0000;38;1;0;0;1;0.9921;0;0;120
org.gjt.sp.jedit.jEdit.closeView(View, boolean);org.gjt.sp.jedit.msg.ViewUpdate;1;2;2;1.0000;1482;96;27;0;1;1.0000;14;2;3
org.gjt.sp.jedit.EditPlugin.createMenuItems();org.gjt.sp.jedit.GUIUtilities;0;0;0;0;0;0;0;0;0;0;0;0;0
org.gjt.sp.jedit.BeanShell.evalSelection(View, JEditTextArea);org.gjt.sp.jedit.textarea.JEditTextArea;0;1;1;1.0000;256;17;5;2;0;0.9916;2541;189;56
bsh.BSHAmbiguousName.toLHS(CallStack, Interpreter);bsh.CallStack;0;1;0;0.8889;21;6;1;1;0;0.9231;42;10;1
macos.Delegate.MacrosMenu.createMenu(NSMenu, Vector);org.gjt.sp.jedit.EditAction;0;0;0;0;0;0;0;0;0;0;0;0;0
