Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.catalina.deploy.MessageDestinationRef;66;8;7;0.8776;0;0.0;19
org.apache.catalina.ha.session.DeltaRequest;179;15;15;0.8824;0;0.0;49
org.apache.catalina.core.ApplicationSessionCookieConfig;0;0;0;0;0;0;0
org.apache.jasper.compiler.ELNode;1;1;0;0.0000;0;0.0;1
org.apache.tomcat.util.buf.B2CConverter;39;4;7;0.8857;0;1.0;14
org.apache.catalina.mbeans.JmxRemoteLifecycleListener;123;4;16;0.9087;0;2.0;28
org.apache.catalina.startup.NamingRuleSet;31;1;1;0.5000;0;0.0;3
org.apache.catalina.ssi.SSIFilter;63;3;6;0.5000;1;1.0;14
org.apache.el.parser.AstDynamicExpression;15;4;0;0.0000;0;0.0;5
org.apache.catalina.ssi.SSIConditionalState;0;0;3;0.0000;0;0.0;0
org.apache.catalina.deploy.WebXml;1446;42;41;0.9617;0;50.0;296
org.apache.catalina.ha.backend.HeartbeatListener;80;2;9;0.9136;0;3.0;18
org.apache.catalina.valves.SemaphoreValve;91;9;9;0.8889;0;3.0;25
org.apache.catalina.loader.Constants;0;0;1;0.0000;0;0.0;0
org.apache.tomcat.util.buf.UDecoder;152;11;1;1.0000;0;11.0;61
org.apache.jasper.compiler.JarURLResource;0;0;0;0;0;0;0
org.apache.catalina.tribes.ChannelMessage;11;11;0;0.0000;0;0.0;11
org.apache.tomcat.util.modeler.modules.MbeansDescriptorsIntrospectionSource;194;7;10;0.9700;0;7.0;67
org.apache.tomcat.util.log.SystemLogHandler;128;29;3;0.9540;0;1.0;40
org.apache.catalina.startup.SetParentClassLoaderRule;8;1;1;0.0000;0;1.0;3
org.apache.tomcat.util.net.SocketWrapper;0;0;0;0;0;0;0
org.apache.tomcat.util.net.AbstractEndpoint;0;0;0;0;0;0;0
org.apache.catalina.deploy.JspPropertyGroup;0;0;0;0;0;0;0
org.apache.juli.AsyncFileHandler;42;9;9;0.9889;0;0.0;12
org.apache.jasper.runtime.HttpJspBase;26;9;0;0.0000;0;0.0;10
org.apache.coyote.http11.filters.BufferedInputFilter;49;6;6;0.8333;0;3.0;14
org.apache.catalina.deploy.SecurityRoleRef;23;3;2;0.5000;0;0.0;6
org.apache.catalina.tribes.group.interceptors.OrderInterceptor;141;9;8;0.9286;0;2.0;39
org.apache.tomcat.buildutil.Txt2Html;60;3;2;0.6667;0;0.0;16
org.apache.coyote.http11.filters.VoidOutputFilter;16;4;3;1.0667;0;0.0;6
org.apache.tomcat.util.digester.ObjectCreationFactory;3;3;0;0.0000;0;0.0;3
org.apache.tomcat.util.net.SecureNioChannel;255;15;8;0.7898;0;0.0;78
org.apache.catalina.ha.authenticator.ClusterSingleSignOnListener;82;4;2;0.7500;1;14.0;27
org.apache.jasper.runtime.PerThreadTagHandlerPool;60;4;3;0.7500;1;1.0;14
org.apache.jasper.runtime.BodyContentImpl;253;34;7;0.8327;1;1.0;77
org.apache.tomcat.util.bcel.classfile.ConstantClass;0;0;0;0;0;0;0
org.apache.catalina.core.ApplicationJspPropertyGroupDescriptor;0;0;0;0;0;0;0
org.apache.catalina.util.XMLWriter;79;10;5;0.7636;0;0.0;25
org.apache.catalina.ssi.SSIFlastmod;31;2;0;0.0000;1;3.0;6
org.apache.jasper.tagplugins.jstl.core.ForTokens;70;1;0;0.0000;0;0.0;6
org.apache.catalina.util.Extension;112;10;8;0.8681;0;0.0;45
org.apache.tomcat.util.bcel.classfile.InnerClass;0;0;0;0;0;0;0
org.apache.tomcat.util.net.jsse.JSSEFactory;9;3;0;0.0000;0;0.0;3
org.apache.tomcat.util.http.fileupload.Closeable;0;0;0;0;0;0;0
org.apache.jasper.EmbeddedServletOptions;360;4;28;0.9676;1;2.0;111
org.apache.jasper.xmlparser.ParserUtils;58;3;3;1.0000;0;11.0;15
org.apache.catalina.util.IOTools;22;4;1;0.7500;0;0.0;7
org.apache.juli.logging.DirectJDKLog;81;21;3;0.9206;0;0.0;26
org.apache.catalina.ha.deploy.FileChangeListener;2;2;0;0.0000;0;0.0;2
org.apache.catalina.ssi.SSIProcessor;202;9;6;0.9630;0;3.0;59
org.apache.catalina.startup.SetLoginConfig;8;1;1;1.0000;0;0.0;3
org.apache.tomcat.jni.SSLSocket;6;6;0;0.0000;0;0.0;6
org.apache.jasper.runtime.JspApplicationContextImpl;73;5;6;0.9167;1;1.0;17
org.apache.jasper.tagplugins.jstl.core.Redirect;31;1;0;0.0000;0;0.0;2
org.apache.tomcat.util.modeler.BaseModelMBean;284;28;9;0.9068;0;0.0;111
org.apache.catalina.util.DateTool;0;0;11;0.0000;0;0.0;0
org.apache.jasper.compiler.ErrorHandler;4;4;0;0.0000;0;0.0;4
org.apache.el.parser.AstNegative;44;2;0;0.0000;0;0.0;14
org.apache.jasper.xmlparser.TreeNode;100;13;5;0.8800;0;0.0;37
org.apache.catalina.Context;123;123;1;1.0082;0;0.0;123
org.apache.catalina.filters.AddDefaultCharsetFilter;0;0;0;0;0;0;0
org.apache.catalina.manager.StatusManagerServlet;160;4;6;0.5556;0;0.0;33
org.apache.tomcat.util.net.NioEndpoint;629;43;64;0.9855;0;5.0;195
org.apache.catalina.loader.JdbcLeakPrevention;0;0;0;0;0;0;0
org.apache.catalina.core.ApplicationFilterRegistration;0;0;0;0;0;0;0
