Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.log4j.chainsaw.prefs.SaveSettingsEvent;0;0;0;0;0;0
org.apache.log4j.lf5.util.AdapterLogRecord;0;0;0;0;0;0
org.apache.log4j.AsyncAppender;93;14;8;0.8333333333333334;0;1
org.apache.log4j.lf5.util.ResourceUtils;0;0;0;0;0;0
org.apache.log4j.xml.XMLWatchdog;6;2;0;0.0;0;1
org.apache.log4j.Category;250;52;8;0.8914285278320313;0;11
org.apache.log4j.jmx.LayoutDynamicMBean;105;8;8;0.7619047164916992;0;3
org.apache.log4j.pattern.RelativeTimePatternConverter;0;0;0;0;0;0
org.apache.log4j.net.SyslogAppender;194;16;28;0.8333333333333334;0;6
org.apache.log4j.chainsaw.LoggingEventFieldResolver;0;0;0;0;0;0
org.apache.log4j.net.SocketServer;84;6;8;0.8333333134651184;0;2
org.apache.log4j.chainsaw.filter.FilterModel;0;0;0;0;0;0
org.apache.log4j.nt.test.NTMin;22;4;1;0.0;0;2
org.apache.log4j.pattern.DatePatternConverter;0;0;0;0;0;0
org.apache.log4j.helpers.ThreadLocalMap;9;1;0;0.0;0;0
org.apache.log4j.lf5.DefaultLF5Configurator;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryImmediateEditor;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.LogTableModel;0;0;0;0;0;0
org.apache.log4j.helpers.RelativeTimeDateFormat;9;3;1;1.0;0;0
org.apache.log4j.ConsoleAppender;46;8;3;0.5;0;2
org.apache.log4j.performance.SystemTime;22;3;1;0.0;0;1
org.apache.log4j.net.MulticastAppender;0;0;0;0;0;0
org.apache.joran.action.LayoutAction;0;0;0;0;0;0
org.apache.log4j.pattern.MDCPatternConverter;0;0;0;0;0;0
org.apache.log4j.pattern.LevelPatternConverter;0;0;0;0;0;0
org.apache.log4j.spi.LocationInfo;72;5;10;0.8000000317891439;0;0
org.apache.log4j.chainsaw.LogPanelLoggerTreeModel;0;0;0;0;0;0
org.apache.log4j.varia.test.Loop;26;4;2;0.0;0;1
org.apache.log4j.chainsaw.SmallToggleButton;0;0;0;0;0;0
org.apache.log4j.TTCCLayout;53;10;4;0.7857142857142857;0;3
org.apache.log4j.PropertyWatchdog;6;2;0;0.0;0;1
org.apache.log4j.chainsaw.LoggerNameTree;0;0;0;0;0;0
org.apache.log4j.chainsaw.ChainsawTabbedPane;0;0;0;0;0;0
org.apache.log4j.varia.StringMatchFilter;38;7;4;0.5;0;3
org.apache.log4j.plugins.PluginSkeleton;0;0;0;0;0;0
org.apache.log4j.chainsaw.CyclicBufferList;0;0;0;0;0;0
org.apache.log4j.rolling.SizeBasedTriggeringPolicy;0;0;0;0;0;0
org.apache.log4j.test.StressAsyncAppender;77;8;9;0.0;0;1
org.apache.log4j.pattern.MessagePatternConverter;0;0;0;0;0;0
org.apache.log4j.chainsaw.ReceiversTreeModel;0;0;0;0;0;0
org.apache.log4j.chainsaw.ChainsawEventBatch;0;0;0;0;0;0
org.apache.log4j.chainsaw.ChainsawCyclicBufferTableModel;0;0;0;0;0;0
org.apache.log4j.chainsaw.NoReceiversWarningPanel;0;0;0;0;0;0
org.apache.log4j.plugins.PluginRegistry;0;0;0;0;0;0
org.apache.log4j.xml.SAXErrorHandler;0;0;0;0;0;0
org.apache.log4j.pattern.PatternConverter;0;0;0;0;0;0
org.apache.log4j.HTMLLayout;148;12;8;0.9090909090909091;0;6
org.apache.log4j.xml.UtilLoggingXMLDecoder;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.LogFactor5LoadingDialog;0;0;0;0;0;0
org.apache.log4j.net.SocketHubAppender;0;0;0;0;0;0
org.apache.log4j.chainsaw.prefs.ProfileManager;0;0;0;0;0;0
org.apache.log4j.xml.XMLDecoder;0;0;0;0;0;0
org.apache.log4j.chainsaw.WelcomePanel;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.LogBrokerMonitor;0;0;0;0;0;0
org.apache.log4j.jmx.AppenderDynamicMBean;144;10;8;0.7678571343421936;0;4
org.apache.log4j.chainsaw.ProgressPanel;0;0;0;0;0;0
org.apache.log4j.rolling.TimeBasedRollingPolicy;0;0;0;0;0;0
org.apache.log4j.spi.NullWriter;6;3;0;0.0;0;0
org.apache.joran.helper.Option;0;0;0;0;0;0
org.apache.log4j.Priority;32;10;17;0.9583333134651184;0;0
org.apache.log4j.lf5.LogLevelFormatException;0;0;0;0;0;0
org.apache.log4j.net.test.SMTPMin;25;4;1;0.0;0;2
org.apache.log4j.FileAppender;91;17;4;0.7291666666666666;0;5
org.apache.log4j.net.JMSSink;47;3;0;0.0;0;2
org.apache.log4j.rolling.RollingFileAppender;0;0;0;0;0;0
org.apache.log4j.config.PropertySetterException;14;3;1;0.0;0;0
org.apache.log4j.LogManager;37;10;6;0.0;0;0
org.apache.log4j.test.DRFATest;48;5;2;0.0;0;2
org.apache.log4j.pattern.ThreadPatternConverter;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.LogFactor5Dialog;0;0;0;0;0;0
org.apache.log4j.test.Shallow;49;5;1;0.0;0;2
org.apache.log4j.DefaultCategoryFactory;5;2;0;0.0;0;0
org.apache.log4j.UtilLoggingLevel;0;0;0;0;0;0
org.apache.log4j.or.RendererMap;46;8;2;0.5;0;0
org.apache.log4j.chainsaw.prefs.SettingsManager;0;0;0;0;0;0
org.apache.log4j.chainsaw.DisplayFilterEntry;0;0;0;0;0;0
org.apache.log4j.pattern.MethodLocationPatternConverter;0;0;0;0;0;0
org.apache.log4j.chainsaw.icons.LevelIconFactory;0;0;0;0;0;0
org.apache.log4j.helpers.Transform;0;0;0;0;0;0
org.apache.log4j.pattern.ClassNamePatternConverter;0;0;0;0;0;0
org.apache.log4j.rolling.RollingPolicySkeleton;0;0;0;0;0;0
org.apache.log4j.lf5.Log4JLogRecord;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.LogFactor5InputDialog;0;0;0;0;0;0
org.apache.log4j.xml.UtilLoggingEntityResolver;0;0;0;0;0;0
org.apache.log4j.NDC;104;12;3;0.95;0;0
org.apache.log4j.net.UDPAppender;0;0;0;0;0;0
org.apache.log4j.jmx.AbstractDynamicMBean;50;7;2;0.9;0;0
org.apache.log4j.chainsaw.rule.RuleTest;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryAbstractCellEditor;0;0;0;0;0;0
org.apache.log4j.or.jms.MessageRenderer;46;2;0;0.0;0;0
org.apache.log4j.chainsaw.ColumnSelector;0;0;0;0;0;0
org.apache.log4j.chainsaw.ThrowableRenderPanel;0;0;0;0;0;0
org.apache.log4j.xml.XMLLayout;68;7;5;0.875;0;3
org.apache.log4j.chainsaw.LoggerNameTreePanel;0;0;0;0;0;0
org.apache.log4j.spi.RootCategory;18;4;0;0.0;0;0
org.apache.log4j.chainsaw.OroRegExpEvaluator;0;0;0;0;0;0
org.apache.log4j.chainsaw.layout.EventDetailLayout;0;0;0;0;0;0
org.apache.log4j.or.sax.AttributesRenderer;25;2;0;0.0;0;0
org.apache.log4j.rolling.helpers.Compress;0;0;0;0;0;0
org.apache.log4j.CategoryKey;12;3;2;1.0;0;0
org.apache.log4j.WriterAppender;105;17;2;0.6538461538461539;0;5
