Learning rate;Beta;Nb filters 1;Pool size 1;Nb filters 2;Kernel size 2;Pool size 2;Dense shape;F-mesure
0.289069609333;0.279946891618;40;20;10;5;5;[63, 51];0.033066496
0.0340084646608;0.201167913357;40;20;15;4;10;[42, 20, 6];0.033066496
0.0433786176352;0.138496869939;40;10;20;2;10;[54, 17];0.033066496
0.0310841595975;0.267848976975;27;10;17;3;5;[120, 90, 74];0.033066496
0.191932645771;0.0967462573221;31;20;12;2;20;[88, 84];0.033066496
0.159901042009;0.249840569499;30;10;17;3;20;[139, 47, 20];0.033066496
0.0751711142473;0.185896576839;25;20;13;4;10;[118, 7, 5];0.033066496
0.180973238539;0.234743345102;35;5;20;4;5;[16, 7];0.033066496
0.0525311234975;0.200041134169;16;10;16;5;10;[114, 105];0.033066496
0.0468640976446;0.131422259935;40;5;14;2;5;[63, 12, 8];0.033066496
0.141917397695;0.176260560519;40;10;11;2;10;[7, 7, 7];0.033066496
0.272418204165;0.164761068341;10;20;18;2;5;[138, 91, 44];0.033066496
0.0536188513702;0.161407517289;36;20;16;2;5;[95, 76, 74];0.033066496
0.261047855283;0.121298012599;20;10;13;2;20;[92, 16, 5];0.033066496
0.14460079526;0.182470892732;10;10;10;2;20;[68, 30, 17];0.033066496
0.0299195219443;0.296709217551;15;20;20;2;10;[33, 14];0.033066496
0.213807511795;0.241995670041;16;10;13;4;10;[35, 7];0.033066496
0.172433642892;0.14701741624;15;10;19;2;10;[45, 21];0.033066496
0.208184955894;0.0583162314169;23;20;12;3;20;[12, 11];0.033066496
0.0268558107981;0.147726452654;32;20;12;3;20;[91, 28];0.025806990917772055
0.0252842773153;0.0990896644936;19;20;14;3;5;[6, 5, 4];0.025619999039918184
0.303916758272;0.0708072289726;20;5;18;5;5;[81, 44];0.022083157673478127
0.0178975059485;0.218393818465;15;5;12;2;20;[36, 14, 7];0.022083157673478127
0.157623695474;0.0135122286269;10;10;11;4;5;[33, 11];0.020310554653406143
0.273646113386;0.00443465967652;31;5;18;2;5;[129, 23];0.015833820216357708
0.0254217602762;0.13025156845;12;10;12;5;20;[132, 63, 51];0.01482365233823657
