Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.catalina.startup.Embedded.stopInternal();org.apache.juli.logging.Log;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tomcat.util.bcel.classfile.Field.toString();org.apache.tomcat.util.bcel.classfile.Attribute;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.startup.AbsoluteOrderingRule.begin(String, String, Attributes);org.apache.catalina.startup.WebRuleSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.startup.Catalina.start();org.apache.juli.ClassLoaderLogManager;0;3;4;0.7857;311;18;8;0;0;1.0000;272;11;2
org.apache.tomcat.util.http.mapper.Mapper.compare(CharChunk, int, int, String);org.apache.tomcat.util.buf.CharChunk;1;0;0;1.0000;816;39;4;0;1;0.9792;393;39;8
org.apache.catalina.authenticator.FormAuthenticator.forwardToErrorPage(Request, HttpServletResponse, LoginConfig);org.apache.tomcat.util.res.StringManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.coyote.ajp.AjpAprProcessor.SocketInputBuffer.doRead(ByteChunk, Request);org.apache.coyote.ajp.AjpAprProcessor;3;0;0;1.0000;19;1;0;2;4;0.8667;616;13;30
org.apache.tomcat.util.bcel.classfile.PMGClass.getPMGName();org.apache.tomcat.util.bcel.classfile.ConstantUtf8;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.manager.ManagerServlet.deploy(PrintWriter, String, String, String, boolean);org.apache.catalina.util.RequestUtil;1;9;4;0.7609;913;34;13;1;0;1.0000;183;13;1
org.apache.catalina.connector.Connector.startInternal();org.apache.catalina.Service;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.jasper.compiler.SmapUtil.SmapGenVisitor.visit(Node.TemplateText);org.apache.jasper.compiler.Node.TemplateText;3;0;2;0.9394;149;23;3;0;1;0.9333;42;5;1
org.apache.catalina.util.ExtensionValidator.validateApplication(DirContext, Context);org.apache.tomcat.util.res.StringManager;2;2;1;1.0000;182;6;4;0;0;1.0000;36;3;3
org.apache.catalina.session.ManagerBase.PrivilegedSetRandomFile.run();org.apache.juli.logging.Log;1;0;0;1.0000;27;1;0;4;0;0.8095;18;18;0
org.apache.catalina.connector.OutputBuffer.setConverter();org.apache.catalina.Globals;2;0;7;0.8500;207;25;15;0;1;1.0000;0;0;39
org.apache.jasper.compiler.Validator.ValidateVisitor.prepareExpression(ELNode.Nodes, Node, String);org.apache.jasper.el.ELContextImpl;3;0;1;0.9767;710;36;19;0;1;0.8571;35;1;4
org.apache.el.parser.ELParser.Integer();org.apache.el.parser.ELParserTreeConstants;4;1;1;0.9854;2195;111;22;0;1;0.9756;0;0;34
org.apache.jasper.compiler.ELNode.Text.accept(Visitor);org.apache.jasper.compiler.ELNode.Visitor;0;0;0;1.0000;9;1;1;1;0;0.7500;9;4;0
org.apache.el.util.ReflectionUtil.getPropertyDescriptor(Object, Object);org.apache.el.lang.ELSupport;0;0;0;1.0000;87;7;3;1;0;1.0000;351;22;1
org.apache.catalina.util.InstanceSupport.fireInstanceEvent(String, Filter, Throwable);org.apache.catalina.InstanceListener;0;0;2;0.8667;81;11;3;1;0;0.6667;1;1;0
org.apache.catalina.startup.HostConfig.deployDescriptor(String, File, String);org.apache.catalina.Context;1;3;6;0.9048;761;35;15;5;0;0.9653;125;125;1
org.apache.coyote.http11.Http11NioProcessor.prepareResponse();org.apache.tomcat.util.http.FastHttpDateFormat;7;2;12;0.8427;954;28;38;1;0;1.0000;85;6;8
org.apache.tomcat.util.net.AprEndpoint.processSocket(long);org.apache.juli.logging.Log;0;1;3;0.9759;639;29;59;1;0;0.9545;18;18;0
org.apache.catalina.loader.WebappLoader.setClassPath();org.apache.catalina.core.StandardContext;2;1;4;0.9310;548;39;19;0;1;0.9968;2385;204;107
org.apache.coyote.ajp.AjpProtocol.getAttribute(String);org.apache.juli.logging.Log;1;0;3;0.9792;201;32;16;2;0;0.8947;18;18;0
org.apache.coyote.http11.Http11AprProtocol.setSSLVerifyDepth(int);org.apache.tomcat.util.net.AprEndpoint;1;0;1;0.9901;387;76;26;0;1;0.9878;639;29;59
org.apache.catalina.loader.WebappClassLoader.clearThreadLocalMap(Object, Field);org.apache.tomcat.util.res.StringManager;0;0;0;0;0;0;0;0;0;0;0;0;0
