Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
com.mxgraph.swing.view.mxCellEditor.configureActionMaps();com.mxgraph.swing.mxGraphComponent;1;9;1;0.7352941176470589;0.9957983193277311;24;234;1798
com.mxgraph.swing.util.mxAnimation.stopAnimation();com.mxgraph.util.mxEventSource;1;1;2;0.8888888888888888;0.9;7;39;57
com.mxgraph.io.mxCodec.decodeCell(boolean, org.w3c.dom.Node);com.mxgraph.io.mxObjectCodec;1;1;2;0.9583333333333334;0.9807692307692307;24;182;519
com.mxgraph.swing.handler.mxVertexHandler.resizeCell(java.awt.event.MouseEvent);com.mxgraph.view.mxGraph;3;2;8;0.9428571428571428;0.9946666666666667;36;216;3012
com.mxgraph.view.mxEdgeStyle.apply(com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState, java.util.List<com.mxgraph.util.mxPoint>, java.util.List<com.mxgraph.util.mxPoint>);com.mxgraph.util.mxUtils;1;2;7;0.9444444444444444;1.0;253;272;1028
com.mxgraph.view.mxGraph.translateCell(double, double, java.lang.Object);com.mxgraph.util.mxPoint;2;2;2;0.9944903581267217;0.875;22;3012;50
com.mxgraph.view.mxGraph.getConnectionPoint(com.mxgraph.view.mxCellState, com.mxgraph.view.mxConnectionConstraint);com.mxgraph.util.mxRectangle;2;0;4;1.0;0.8823529411764706;10;3012;96
com.mxgraph.view.mxGraph.getOpposites(boolean, boolean, java.lang.Object, java.lang.Object[]);com.mxgraph.view.mxCellState;1;0;2;1.0;0.9545454545454546;17;3012;178
com.mxgraph.view.mxGraph.getImage(com.mxgraph.view.mxCellState);com.mxgraph.view.mxCellState;1;0;3;1.0;0.9473684210526316;3;3012;178
com.mxgraph.util.svg.NumberParser.parseFloat();com.mxgraph.util.svg.AbstractParser;2;0;1;1.0;0.8;249;264;73
com.mxgraph.layout.mxCompactTreeLayout.processNodeOutgoing(com.mxgraph.layout.mxCompactTreeLayout.TreeNode);com.mxgraph.util.mxPoint;2;11;5;0.8428571428571429;0.9285714285714286;70;543;50
com.mxgraph.util.mxRectangle.contains(double, double);com.mxgraph.util.mxPoint;2;2;1;0.8666666666666667;0.75;3;96;50
com.mxgraph.analysis.mxGraphGenerator.getCompleteBipartiteGraph(com.mxgraph.analysis.mxAnalysisGraph, int, int);com.mxgraph.analysis.mxAnalysisGraph;0;1;2;0.9722222222222222;1.0;19;819;72
com.mxgraph.util.svg.PathParser.parseq();com.mxgraph.util.svg.NumberParser;1;3;2;0.9032258064516129;0.8888888888888888;35;754;264
