Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.argouml.uml.diagram.ui.PropPanelUMLDeploymentDiagram;3;0;0;0.0000;0;0.0;1
org.argouml.uml.ui.UMLChangeDispatch;56;5;6;0.8667;0;4.0;22
org.argouml.uml.ui.UMLModelElementCommentDocument;0;0;0;0;0;0;0
org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge;48;5;4;0.7500;1;0.0;12
org.argouml.uml.ui.behavior.common_behavior.ActionAddContextSignal;22;4;0;0.0000;0;4.0;6
org.argouml.cognitive.ui.ToDoPerspective;49;6;3;0.5714;0;0.0;19
org.argouml.uml.ui.ActionNavigateNamespace;3;1;0;0.0000;0;1.0;1
org.argouml.uml.cognitive.critics.WizTooMany;47;4;2;0.7500;0;1.0;15
org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote;22;6;0;0.0000;0;0.0;12
org.argouml.uml.PredicateNotInTrash;6;1;1;0.0000;0;1.0;3
org.argouml.persistence.XMIParser;37;1;5;0.8800;0;5.0;9
org.argouml.uml.diagram.ui.FigStereotype;12;2;0;0.0000;0;0.0;5
org.argouml.uml.notation.AttributeNotation;0;0;0;0;0;0;0
org.argouml.uml.ui.ActionBooleanTaggedValue;28;1;1;0.0000;0;6.0;6
org.argouml.cognitive.critics.CompositeCM;6;1;1;0.0000;0;0.0;2
org.argouml.uml.notation.uml.ActionStateNotationUml;0;0;0;0;0;0;0
org.argouml.uml.ui.UMLTreeCellRenderer;36;1;2;0.0000;0;2.0;7
org.argouml.uml.ui.behavior.common_behavior.PropPanelLinkEnd;8;0;0;0.0000;0;1.0;1
org.argouml.uml.diagram.state.ui.FigDeepHistoryState;9;1;0;0.0000;0;0.0;3
org.argouml.uml.ui.behavior.state_machines.UMLTransitionStatemachineListModel;10;2;0;0.0000;0;1.0;3
org.argouml.ui.EmailExpertDialog;46;2;6;0.5833;0;1.0;5
org.argouml.uml.ui.ActionGenerateAll;53;3;0;0.0000;0;8.0;19
org.argouml.model.uml.ExplorerNSUMLEventAdaptor;35;6;1;0.8333;0;1.0;25
org.argouml.model.uml.StateMachinesHelperImpl;315;35;1;0.9143;0;3.0;130
org.argouml.util.Tools;101;4;2;1.0000;0;0.0;18
org.argouml.uml.diagram.layout.LayoutHelper;48;4;8;1.0000;0;0.0;23
org.argouml.uml.ui.UMLComboBoxEntry;141;8;6;0.6667;0;4.0;36
org.argouml.uml.notation.java.TransitionNotationJava;0;0;0;0;0;0;0
org.argouml.application.api.Argo;29;9;34;1.1078;0;2.0;10
org.argouml.uml.ui.ActionNavigateOppositeAssocEnd;20;2;0;0.0000;0;2.0;6
org.argouml.uml.diagram.sequence.ui.ModeCreateMessage;139;5;5;0.8667;0;1.0;27
