Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.tools.ant.taskdefs.Sync.removeEmptyDirectories(boolean, java.io.File);org.apache.tools.ant.Project;0;1;2;1.0;1.0;21;133;745
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.execute();org.apache.tools.ant.types.Commandline;1;6;8;0.8529411764705882;0.9824561403508771;39;88;273
org.apache.tools.ant.taskdefs.optional.sos.SOS.run(org.apache.tools.ant.types.Commandline);org.apache.tools.ant.types.Commandline;1;0;5;1.0;0.9696969696969697;13;182;273
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createClasspath();org.apache.tools.ant.ProjectComponent;0;0;2;1.0;1.0;6;305;21
org.apache.tools.ant.taskdefs.UpToDate.eval();org.apache.tools.ant.types.AbstractFileSet;2;4;7;0.8333333333333334;0.9710144927536232;35;90;346
org.apache.tools.ant.taskdefs.Javac.getSource();org.apache.tools.ant.ProjectComponent;0;0;0;0;0
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask.writeChangeLog(org.apache.tools.ant.taskdefs.cvslib.CVSEntry[]);org.apache.tools.ant.ProjectComponent;0;1;3;0.95;1.0;24;162;21
org.apache.tools.ant.types.resources.ZipResource.setEntry(org.apache.tools.zip.ZipEntry);org.apache.tools.ant.types.Resource;0;0;0;0;0
org.apache.tools.ant.taskdefs.MakeUrl.execute();org.apache.tools.ant.ProjectComponent;0;0;0;0;0
org.apache.tools.ant.taskdefs.RecorderEntry.taskFinished(org.apache.tools.ant.BuildEvent);org.apache.tools.ant.BuildEvent;0;2;2;0.9642857142857143;1.0;4;142;43
org.apache.tools.ant.taskdefs.optional.ANTLR.run(java.lang.String[]);org.apache.tools.ant.Task;0;2;4;0.9333333333333333;1.0;22;212;153
org.apache.tools.ant.taskdefs.optional.ssh.Scp.execute();org.apache.tools.ant.Task;1;8;3;0.7307692307692308;1.0;35;194;153
org.apache.tools.ant.taskdefs.Definer.addDefinition(java.lang.ClassLoader, java.lang.String, java.lang.String);org.apache.tools.ant.Project;0;5;8;0.8780487804878049;1.0;48;295;745
org.apache.tools.ant.types.resources.selectors.Size.isSelected(org.apache.tools.ant.types.Resource);org.apache.tools.ant.types.Comparison;0;0;0;0;0
org.apache.tools.ant.types.Path.addFileset(org.apache.tools.ant.types.FileSet);org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile.fillInSharedParameters(org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand);org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand;2;13;1;0.7547169811320755;0.9310344827586207;16;327;145
org.apache.tools.ant.taskdefs.AbstractCvsTask.runCommand(org.apache.tools.ant.types.Commandline);org.apache.tools.ant.ProjectComponent;0;7;8;0.8813559322033898;1.0;84;331;21
org.apache.tools.zip.ZipOutputStream.closeEntry();org.apache.tools.zip.ZipEntry;3;9;2;0.8200000000000001;0.9347826086956522;42;316;200
org.apache.tools.ant.ComponentHelper.createNewTask(java.lang.String);org.apache.tools.ant.Task;2;2;2;0.9565217391304348;0.9166666666666666;18;406;153
org.apache.tools.ant.taskdefs.PreSetDef.getClassName();org.apache.tools.ant.AntTypeDefinition;1;0;1;1.0;0.9375;3;114;202
org.apache.tools.ant.types.DataType.getDataTypeName();org.apache.tools.ant.ProjectComponent;0;0;0;0;0
org.apache.tools.ant.listener.CommonsLoggingListener.taskStarted(org.apache.tools.ant.BuildEvent);org.apache.tools.ant.Task;1;3;4;0.9;0.9615384615384616;16;186;153
org.apache.tools.ant.Project.fireSubBuildFinished(java.lang.Throwable);org.apache.tools.ant.BuildEvent;1;1;1;0.9903846153846154;0.8888888888888888;11;745;43
org.apache.tools.ant.taskdefs.optional.starteam.StarTeamLabel.execute();org.apache.tools.ant.taskdefs.optional.starteam.StarTeamTask;2;5;2;0.5454545454545454;0.9047619047619048;26;50;98
org.apache.tools.ant.types.XMLCatalog.resolveEntity(java.lang.String, java.lang.String);org.apache.tools.ant.ProjectComponent;1;6;3;0.8333333333333334;1.0;29;392;21
org.apache.tools.ant.types.Path.addExtdirs(org.apache.tools.ant.types.Path);org.apache.tools.ant.ProjectComponent;0;2;3;0.9310344827586207;1.0;21;374;21
org.apache.tools.ant.taskdefs.PathConvert.execute();org.apache.tools.ant.ProjectComponent;0;8;6;0.8095238095238095;1.0;78;199;21
org.apache.tools.ant.types.selectors.ContainsSelector.verifySettings();org.apache.tools.ant.types.selectors.BaseSelector;1;1;1;0.875;0.8;5;100;20
org.apache.tools.ant.taskdefs.Jar.zipFile(int, java.io.File, java.io.InputStream, java.lang.String, long, org.apache.tools.zip.ZipOutputStream);org.apache.tools.ant.Task;1;3;3;0.9230769230769231;1.0;16;454;153
org.apache.tools.ant.taskdefs.Javadoc.logFlush();org.apache.tools.ant.Project;0;1;2;0.9926470588235294;1.0;6;1022;745
org.apache.tools.ant.taskdefs.Patch.setBackups(boolean);org.apache.tools.ant.types.Commandline;2;0;1;1.0;0.9285714285714286;5;79;273
org.apache.tools.ant.taskdefs.FixCRLF.execute();org.apache.tools.ant.Project;0;8;4;0.8596491228070176;1.0;25;552;745
org.apache.tools.ant.taskdefs.Length.add(org.apache.tools.ant.types.ResourceCollection);org.apache.tools.ant.types.resources.Resources;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.execute();org.apache.tools.ant.ProjectComponent;0;6;7;0.9;1.0;33;206;21
org.apache.tools.ant.taskdefs.PathConvert.add(org.apache.tools.ant.types.ResourceCollection);org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool.addVendorFiles(java.lang.String, java.util.Hashtable);org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool;3;2;3;0.9523809523809523;0.9487179487179487;44;392;421
org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator.createDocument();org.apache.tools.ant.Project;0;2;3;0.9166666666666666;1.0;28;123;745
org.apache.tools.ant.types.selectors.AbstractSelectorContainer.validate();org.apache.tools.ant.types.selectors.BaseSelector;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ReplaceRegExp.execute();org.apache.tools.ant.DirectoryScanner;1;4;5;0.896551724137931;0.9857142857142858;55;251;566
org.apache.tools.ant.taskdefs.optional.EchoProperties.execute();org.apache.tools.ant.types.PropertySet;1;5;5;0.8857142857142857;0.9824561403508771;118;229;217
org.apache.tools.ant.taskdefs.ExecuteOn.createMapper();org.apache.tools.ant.ProjectComponent;0;0;2;1.0;1.0;7;350;21
org.apache.tools.ant.XmlLogger.buildFinished(org.apache.tools.ant.BuildEvent);org.apache.tools.ant.BuildEvent;1;5;5;0.8571428571428572;0.9523809523809523;47;217;43
org.apache.tools.ant.taskdefs.Untar.setEncoding(java.lang.String);org.apache.tools.ant.Task;1;0;1;1.0;0.95;3;50;153
org.apache.tools.ant.types.resources.Files.setExcludesfile(java.io.File);org.apache.tools.ant.types.PatternSet;0;0;0;0;0
