Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.tools.ant.types.selectors.AbstractSelectorContainer.validate();org.apache.tools.ant.types.selectors.BaseSelector;1;1;1;0.9666666666666667;0.8571428571428572;9;96;20
org.apache.tools.ant.taskdefs.optional.ReplaceRegExp.execute();org.apache.tools.ant.DirectoryScanner;1;4;5;0.896551724137931;0.9880952380952381;55;239;679
org.apache.tools.ant.taskdefs.optional.EchoProperties.execute();org.apache.tools.ant.types.PropertySet;1;5;5;0.8974358974358975;0.984375;112;276;250
org.apache.tools.ant.taskdefs.ExecuteOn.createMapper();org.apache.tools.ant.ProjectComponent;0;0;2;1.0;1.0;7;348;21
org.apache.tools.ant.XmlLogger.buildFinished(org.apache.tools.ant.BuildEvent);org.apache.tools.ant.BuildEvent;1;5;5;0.8571428571428572;0.9523809523809523;47;217;43
org.apache.tools.ant.taskdefs.Untar.setEncoding(java.lang.String);org.apache.tools.ant.Task;1;0;1;1.0;0.9523809523809523;3;73;161
org.apache.tools.ant.types.resources.Files.setExcludesfile(java.io.File);org.apache.tools.ant.types.PatternSet;1;0;2;1.0;0.967741935483871;5;251;255
org.apache.tools.ant.types.FilterSet.clone();org.apache.tools.ant.types.DataType;1;4;2;0.8709677419354839;0.9583333333333334;16;251;105
org.apache.tools.ant.types.PatternSet.getIncludePatterns(org.apache.tools.ant.Project);org.apache.tools.ant.types.DataType;1;5;1;0.8387096774193549;0.9565217391304348;9;255;105
org.apache.tools.ant.taskdefs.RecorderEntry.buildFinished(org.apache.tools.ant.BuildEvent);org.apache.tools.ant.util.StringUtils;0;4;3;0.9032258064516129;1.0;14;142;36
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.execute();org.apache.tools.ant.Task;2;7;4;0.7931034482758621;0.9696969696969697;41;299;161
org.apache.tools.ant.taskdefs.optional.depend.Depend.execute();org.apache.tools.ant.Task;1;7;3;0.8157894736842105;1.0;39;457;161
org.apache.tools.ant.taskdefs.WhichResource.execute();org.apache.tools.ant.ProjectComponent;0;4;5;0.7647058823529411;1.0;31;72;21
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool.buildWebsphereJar(java.io.File, java.io.File);org.apache.tools.ant.Project;0;4;7;0.9272727272727272;1.0;42;392;743
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool.parseEjbFiles(java.lang.String, javax.xml.parsers.SAXParser);org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;1;5;4;0.8571428571428572;0.972972972972973;33;111;120
org.apache.tools.ant.taskdefs.AbstractCvsTask.execute();org.apache.tools.ant.util.FileUtils;0;0;0;0;0
org.apache.tools.ant.Task.handleErrorOutput(java.lang.String);org.apache.tools.ant.Project;0;1;1;1.0;1.0;3;161;743
org.apache.tools.ant.taskdefs.optional.net.FTP.delFile(java.lang.String, org.apache.tools.ant.taskdefs.optional.net.FTPClient);org.apache.tools.ant.Task;2;6;2;0.9459459459459459;0.9642857142857143;19;1224;161
org.apache.tools.ant.taskdefs.CallTarget.addReference(org.apache.tools.ant.taskdefs.Ant.Reference);org.apache.tools.ant.taskdefs.Ant;1;1;1;0.9375;0.9696969696969697;6;92;360
org.apache.tools.ant.taskdefs.GZip.pack();org.apache.tools.ant.taskdefs.Pack;3;0;2;1.0;0.6666666666666667;20;20;54
org.apache.tools.ant.taskdefs.optional.jsp.WLJspc.createClasspath();org.apache.tools.ant.ProjectComponent;0;0;1;1.0;1.0;6;129;21
org.apache.tools.ant.taskdefs.condition.Http.eval();org.apache.tools.ant.Project;0;2;2;0.6666666666666667;1.0;28;34;743
org.apache.tools.ant.taskdefs.Delete.createPatternSet();org.apache.tools.ant.taskdefs.MatchingTask;1;1;1;0.9795918367346939;0.975609756097561;4;320;143
org.apache.tools.ant.types.resources.BaseResourceCollectionContainer.clear();org.apache.tools.ant.types.resources.FailFast;0;0;0;0;0
org.apache.tools.ant.taskdefs.Dirname.execute();org.apache.tools.ant.Project;1;2;3;0.6;0.9903846153846154;12;18;743
org.apache.tools.ant.taskdefs.optional.starteam.TreeBasedTask.logExcludes();org.apache.tools.ant.Task;1;1;1;0.96875;0.9545454545454546;5;255;161
org.apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter.execute();org.apache.tools.ant.taskdefs.compilers.AptCompilerAdapter;0;1;6;0.9;1.0;10;13;58
org.apache.tools.ant.taskdefs.Zip.zipDir(int, java.io.File, java.lang.String, org.apache.tools.zip.ZipExtraField[], org.apache.tools.zip.ZipOutputStream);org.apache.tools.zip.ZipOutputStream;1;3;4;0.9545454545454546;0.9795918367346939;24;690;323
org.apache.tools.ant.taskdefs.optional.XMLValidateTask.execute();org.apache.tools.ant.types.AbstractFileSet;2;5;5;0.9019607843137255;0.9733333333333334;32;287;365
org.apache.tools.ant.taskdefs.Rmic.getCompiler();org.apache.tools.ant.util.facade.FacadeTaskHelper;2;0;3;1.0;0.7777777777777778;4;275;38
org.apache.tools.ant.types.selectors.DependSelector.toString();org.apache.tools.ant.types.DataType;1;0;2;1.0;0.9615384615384616;21;27;105
