Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.lucene.search.PhraseQueue;9;1;0;0.0000;0;2.0;3
org.apache.lucene.analysis.standard.Token;9;1;8;1.8750;0;0.0;3
org.apache.lucene.analysis.standard.StandardFilter;23;1;2;1.0000;0;4.0;9
org.apache.lucene.index.MultiTermEnum;43;2;3;0.6667;0;4.0;15
org.apache.lucene.index.SegmentTermVector;39;4;3;0.6190;0;0.0;13
org.apache.lucene.index.TermFreqVector;6;6;0;0.0000;0;0.0;6
org.apache.lucene.search.HitQueue;9;1;0;0.0000;0;2.0;3
org.apache.lucene.analysis.StopAnalyzer;9;1;2;0.5000;0;0.0;3
org.apache.lucene.index.FilterIndexReader;68;21;1;0.0000;0;0.0;22
org.apache.lucene.queryParser.TokenMgrError;59;3;5;1.1600;0;0.0;20
org.apache.lucene.analysis.standard.CharStream;12;12;0;0.0000;0;0.0;12
org.apache.lucene.queryParser.FastCharStream;71;12;6;0.7564;0;0.0;20
org.apache.lucene.analysis.de.GermanAnalyzer;28;4;3;0.6667;0;0.0;8
org.apache.lucene.search.FilteredTermEnum;40;7;2;0.6250;0;0.0;17
org.apache.lucene.search.MultiTermQuery;42;4;1;0.6000;0;3.0;9
org.apache.lucene.search.TermScorer;74;5;11;0.6667;0;3.0;19
org.apache.lucene.store.Directory;11;11;0;0.0000;0;0.0;11
org.apache.lucene.search.PhraseScorer;94;10;9;0.7889;0;4.0;31
org.apache.lucene.search.DefaultSimilarity;18;6;0;0.0000;0;0.0;6
org.apache.lucene.search.DateFilter;67;6;3;0.4167;0;0.0;13
org.apache.lucene.index.CompoundFileWriter;85;3;5;0.6400;0;1.0;22
org.apache.lucene.search.Scorer;16;6;1;0.8571;0;0.0;9
org.apache.lucene.search.Explanation;63;5;3;0.8333;0;0.0;18
org.apache.lucene.search.Sort;39;4;3;0.9667;1;3.0;12
org.apache.lucene.index.SegmentTermDocs;111;9;15;0.8303;0;7.0;33
org.apache.lucene.search.ParallelMultiSearcher;82;5;2;0.2000;0;3.0;19
org.apache.lucene.search.PrefixQuery;47;3;1;0.2500;0;2.0;10
org.apache.lucene.analysis.ru.RussianAnalyzer;35;2;35;1.1371;0;1.0;8
org.apache.lucene.analysis.WhitespaceAnalyzer;3;1;0;0.0000;0;0.0;1
org.apache.lucene.index.SegmentInfos;43;4;2;0.6250;0;3.0;8
org.apache.lucene.search.Filter;1;1;0;0.0000;0;0.0;1
org.apache.lucene.index.FieldsReader;27;2;4;0.5000;0;4.0;5
org.apache.lucene.search.Similarity;55;15;2;0.9643;0;0.0;21
org.apache.lucene.search.QueryTermVector;82;6;2;0.6667;0;1.0;22
org.apache.lucene.index.IndexWriter;217;17;20;0.9375;0;5.0;66
org.apache.lucene.search.SortComparatorSource;0;0;0;0;0;0;0
org.apache.lucene.search.CachingWrapperFilter;19;1;2;0.5000;0;0.0;4
org.apache.lucene.index.TermVectorsWriter;135;14;13;0.8901;0;0.0;40
org.apache.lucene.search.WildcardTermEnum;84;4;9;0.8000;0;2.0;25
org.apache.lucene.analysis.TokenFilter;8;1;1;0.5000;0;0.0;3
org.apache.lucene.search.TopFieldDocs;4;0;1;0.0000;0;0.0;1
org.apache.lucene.index.IndexReader;150;43;4;0.9659;0;5.0;56
