Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.xerces.impl.dtd.XMLDTDValidator;774;35;72;0.9573;2;47.0;225
org.apache.html.dom.HTMLBaseElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.impl.dv.xs.SchemaDateTimeException;6;0;0;0.0000;0;0.0;2
org.apache.wml.WMLTimerElement;4;4;0;0.0000;0;0.0;4
org.apache.xml.serialize.TextSerializer;150;16;0;0.0000;1;19.0;45
org.apache.xerces.impl.dv.xs.TypeValidator;25;10;4;1.1111;0;0.0;12
org.apache.xerces.impl.dv.ObjectFactory;215;7;4;0.8750;0;0.0;53
org.apache.xerces.dom3.as.ASModel;20;20;0;0.0000;0;0.0;20
org.apache.xerces.impl.xs.identity.Selector;16;2;2;0.5000;0;0.0;5
org.apache.xerces.jaxp.SAXParserImpl;67;6;2;0.4286;1;10.0;17
org.apache.xerces.xpointer.XPointerPart;0;0;0;0;0;0;0
org.apache.xerces.dom.ChildNode;27;5;3;0.9048;0;0.0;12
org.apache.html.dom.HTMLOptionElementImpl;82;14;0;0.0000;0;4.0;27
org.apache.html.dom.HTMLFrameElementImpl;51;16;0;0.0000;0;0.0;17
org.apache.xerces.xni.grammars.XMLGrammarDescription;1;1;2;0.0000;0;0.0;1
org.apache.xerces.dom3.as.DOMASException;4;0;5;0.0000;0;0.0;1
org.apache.xerces.impl.xs.ElementPSVImpl;57;3;12;0.9231;0;3.0;17
org.apache.html.dom.HTMLDirectoryElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.xerces.xni.parser.XMLErrorHandler;3;3;0;0.0000;0;0.0;3
org.apache.html.dom.HTMLTableCaptionElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.xerces.dom.EntityImpl;103;17;9;0.9542;0;2.0;34
org.apache.xerces.util.MessageFormatter;1;1;0;0.0000;0;0.0;1
org.apache.xerces.xs.datatypes.XSDecimal;0;0;0;0;0;0;0
org.apache.xerces.jaxp.SchemaValidatorConfiguration;0;0;0;0;0;0;0
org.apache.wml.WMLDoElement;10;10;0;0.0000;0;0.0;10
org.apache.html.dom.HTMLFormElementImpl;53;17;1;1.0000;0;2.0;19
org.apache.xerces.impl.dv.dtd.XML11NMTOKENDatatypeValidator;0;0;0;0;0;0;0
org.apache.xerces.xs.datatypes.ObjectList;0;0;0;0;0;0;0
org.apache.xerces.xni.XMLAttributes;27;27;0;0.0000;0;0.0;27
org.apache.xerces.impl.io.MalformedByteSequenceException;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.xs.BooleanDV;10;2;1;1.0000;0;2.0;6
org.apache.xerces.dom.NotationImpl;55;8;5;0.9250;0;2.0;18
org.apache.xerces.dom.DeferredCommentImpl;13;1;2;0.7500;0;0.0;3
org.apache.xerces.impl.dv.DTDDVFactory;28;4;3;0.8333;0;0.0;12
org.apache.html.dom.HTMLAppletElementImpl;69;22;0;0.0000;0;0.0;23
org.apache.xerces.impl.xs.util.XIntPool;4;1;2;0.0000;0;0.0;3
org.apache.xerces.util.HTTPInputSource;0;0;0;0;0;0;0
org.apache.xerces.dom3.as.ASElementDeclaration;16;16;4;1.0667;0;0.0;16
org.apache.wml.dom.WMLRefreshElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.impl.xpath.XPathException;11;0;1;0.0000;0;0.0;3
org.apache.wml.WMLWmlElement;2;2;0;0.0000;0;0.0;2
org.apache.xerces.jaxp.validation.ReadOnlyGrammarPool;0;0;0;0;0;0;0
org.apache.xerces.xs.XSModelGroupDefinition;2;2;0;0.0000;0;0.0;2
org.apache.xerces.impl.xpath.regex.BMPattern;153;6;3;0.2857;0;0.0;53
org.apache.xerces.impl.xs.XSGroupDecl;15;2;3;1.0000;0;1.0;5
org.apache.html.dom.HTMLAnchorElementImpl;83;26;0;0.0000;0;0.0;31
org.apache.xerces.dom.DeferredProcessingInstructionImpl;15;1;2;0.7500;0;0.0;3
org.apache.html.dom.NameNodeListImpl;27;1;0;0.0000;0;5.0;13
org.apache.xerces.impl.dtd.models.CMNode;29;5;5;0.9250;0;0.0;11
org.apache.xerces.xni.parser.XMLDocumentSource;1;1;0;0.0000;0;0.0;1
org.apache.xerces.impl.xs.opti.DefaultDocument;0;0;0;0;0;0;0
org.apache.wml.dom.WMLInputElementImpl;75;24;0;0.0000;0;0.0;25
org.apache.xerces.xni.XMLDTDContentModelHandler;10;10;5;1.1111;0;0.0;10
org.apache.xerces.impl.dv.xs.QNameDV;23;3;1;1.0000;0;7.0;9
org.apache.wml.dom.WMLBrElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.impl.xs.XSComplexTypeDecl;131;19;15;0.9267;1;13.0;51
org.apache.xerces.impl.XMLErrorReporter;116;9;13;0.9396;1;4.0;33
org.apache.xerces.xni.grammars.XMLSchemaDescription;0;0;0;0;0;0;0
org.apache.wml.dom.WMLOneventElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.dom.SecuritySupport;34;9;1;1.0000;0;0.0;10
org.apache.xerces.dom.PSVIAttrNSImpl;0;0;0;0;0;0;0
org.apache.xml.serialize.SecuritySupport;34;9;1;1.0000;0;0.0;10
