Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseNamedElement(Element, Object[], XSDocumentInfo, SchemaGrammar, boolean, XSObject);org.apache.xerces.impl.xs.traversers.XSDocumentInfo;12;0;0;1.0000;205;5;3;0;5;0.9194;49;6;14
org.apache.xerces.impl.validation.ValidationState.isEntityDeclared(String);org.apache.xerces.impl.validation.EntityState;0;1;1;0.8889;82;10;9;1;0;0.7500;2;2;0
org.apache.xerces.xinclude.XIncludeTextReader.getReader(XMLInputSource);org.apache.xerces.impl.XMLErrorReporter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.getActualValue(Object, ValidationContext, ValidatedInfo, boolean);org.apache.xerces.impl.dv.ValidationContext;2;3;16;0.8571;1216;45;71;1;0;0.9643;10;10;0
org.apache.xerces.impl.dv.xs.YearMonthDV.dateToString(DateTimeData);org.apache.xerces.impl.dv.xs.AbstractDateTimeDV.DateTimeData;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSAttributeGroupDecl.validRestrictionOf(String, XSAttributeGroupDecl);org.apache.xerces.impl.xs.SchemaSymbols;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.xinclude.XIncludeHandler.unparsedEntityDecl(String, XMLResourceIdentifier, String, Augmentations);org.apache.xerces.xni.XMLDTDHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.util.AttributesProxy.isSpecified(int);org.apache.xerces.xni.XMLAttributes;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.identity.XPathMatcher.startElement(QName, XMLAttributes);org.apache.xerces.impl.xpath.XPath.Axis;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xml.serialize.XMLSerializer.startElement(String, AttributeList);org.apache.xerces.dom.DOMMessageFormatter;4;2;1;0.9600;746;18;9;1;1;1.0000;28;1;2
org.apache.xerces.impl.xs.XSModelImpl.getComponents(short);org.apache.xerces.impl.xs.util.XSNamedMapImpl;3;0;7;0.7917;165;12;9;0;0;1.0000;56;3;6
org.apache.xerces.impl.xs.traversers.XSDHandler.isExistingGrammar(XSDDescription);org.apache.xerces.util.XMLResourceIdentifierImpl;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.dtd.XML11NSDTDValidator.startNamespaceScope(QName, XMLAttributes, Augmentations);org.apache.xerces.xni.NamespaceContext;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.xpointer.ShortHandPointer.getSchemaDeterminedID(XMLAttributes, int);org.apache.xerces.impl.dv.XSSimpleType;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.XMLDocumentScannerImpl.ContentDispatcher.resolveExternalSubsetAndRead();org.apache.xerces.impl.XMLEntityManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.traverseFacets(Element, XSSimpleType, XSDocumentInfo);org.apache.xerces.impl.xs.traversers.XSAttributeChecker;10;3;5;0.8409;332;8;13;3;3;0.9400;448;10;99
