Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.0357978963541;0.0124480213373;3;[45, 17];[3, 2];[20, 5];[59, 35];0.4313725490196078
0.0647457673782;0.0065853102132;4;[30, 33];[4, 3];[15, 15];[11, 11, 9];0.42857142857142855
0.0299541712446;0.063694449008;3;[23, 10];[4, 4];[15, 5];[77];0.4193548387096774
0.0167180969065;0.00333238406577;6;[17, 31];[4, 2];[15, 5];[18, 16, 16];0.419047619047619
0.0677456148334;0.0294535626249;7;[60, 31];[2, 3];[10, 20];[11];0.4161073825503356
0.100790118171;0.0158809124393;1;[13, 42];[4, 2];[20, 20];[100, 54, 24];0.4148936170212766
0.0124289003498;0.428226602391;10;[42, 17];[2, 3];[15, 10];[68];0.4137931034482759
0.0278923405779;0.637316199814;9;[47, 49];[3, 3];[10, 15];[73];0.40740740740740744
0.261609186213;0.266372272975;10;[36, 38];[3, 3];[10, 15];[44, 26];0.4067796610169491
0.238309943257;0.0121046219297;3;[56, 40];[3, 4];[20, 5];[28, 7, 5];0.4055944055944056
0.353364470866;0.0271959602413;7;[40, 31];[3, 2];[15, 10];[89];0.4052287581699347
0.135856577781;0.227684960681;10;[17, 41];[4, 4];[10, 10];[23];0.40437158469945356
0.0185451340034;0.130723445316;3;[33, 55];[4, 4];[5, 5];[86, 75];0.39520958083832336
0.555410083845;0.0372462112004;2;[48, 46];[2, 4];[20, 5];[7, 5, 5];0.3905325443786982
0.0124716916231;0.00375077050281;4;[52, 49];[3, 2];[5, 20];[65, 56];0.38655462184873945
0.020074178862;0.0128164454722;5;[47, 29];[3, 3];[10, 15];[89, 11, 5];0.38596491228070173
0.0404778952693;0.00326688943777;2;[40, 54];[3, 3];[20, 15];[84, 39];0.38461538461538464
0.0275532388933;0.482792975625;10;[35, 36];[3, 3];[5, 20];[100, 85, 70];0.38181818181818183
0.109846135274;0.0124612504987;6;[11, 44];[3, 4];[10, 15];[47, 15];0.3816793893129771
0.825296953724;0.0284252210221;7;[50, 60];[3, 2];[15, 10];[70, 12];0.38
0.0210502009689;0.0319588024565;9;[21, 14];[2, 3];[10, 15];[68, 66, 50];0.37999999999999995
0.0687322166091;0.00441591186311;4;[50, 54];[4, 3];[15, 5];[72];0.3773584905660377
0.0537952008895;0.137002359524;7;[27, 26];[2, 2];[5, 20];[9, 8];0.3770491803278689
0.025686380952;0.274059088031;10;[40, 26];[4, 3];[15, 5];[12, 11, 10];0.37499999999999994
0.196691350095;0.041873648221;5;[31, 54];[3, 2];[15, 10];[9];0.37499999999999994
0.212896930976;0.0863062560537;8;[48, 42];[2, 3];[20, 5];[92];0.3731343283582089
0.0857647989335;0.0656562058176;7;[51, 37];[4, 2];[5, 10];[8, 8];0.3673469387755102
0.110688200178;0.00316601761179;5;[26, 48];[2, 3];[15, 10];[81, 50, 4];0.3624161073825503
0.0467975124734;0.142583571866;6;[17, 54];[2, 2];[15, 20];[61, 35];0.36036036036036034
0.360630676546;0.224977123296;8;[56, 50];[4, 3];[20, 15];[82, 54];0.3563218390804598
0.303118898395;0.00864990286907;2;[35, 19];[4, 2];[20, 15];[13, 10];0.35036496350364954
0.0611545704332;0.0274396218605;1;[42, 51];[3, 2];[5, 10];[84];0.35
0.231804936086;0.147050599803;3;[23, 52];[3, 3];[5, 10];[17];0.35
0.150171048782;0.194075552107;6;[48, 37];[3, 2];[10, 20];[71, 21];0.34545454545454546
0.0107990330991;0.0308850777641;5;[33, 11];[3, 3];[20, 5];[94, 70, 61];0.3453237410071942
0.433627506414;0.0109709532684;9;[31, 42];[2, 2];[20, 10];[60];0.3448275862068965
0.0105023994712;0.216165646595;10;[27, 11];[3, 4];[10, 10];[29, 27, 8];0.3404255319148936
0.14917534377;0.00539075610917;5;[60, 21];[3, 2];[20, 5];[66, 40, 19];0.3382352941176471
0.957255825785;0.0062226022838;2;[26, 19];[2, 3];[5, 5];[32, 28];0.33175355450236965
0.0421165300149;0.0540121886824;4;[26, 46];[3, 4];[5, 5];[36, 33];0.33093525179856115
0.105031946457;0.0265506647971;8;[16, 54];[4, 4];[10, 20];[81, 33];0.3283582089552239
0.24260452783;0.0294127147619;7;[18, 55];[4, 4];[5, 15];[95];0.32727272727272727
0.904980647344;0.00585917119768;5;[46, 22];[3, 2];[15, 10];[59];0.3271028037383178
0.0707159463683;0.548270104848;6;[27, 31];[4, 4];[20, 10];[74, 24];0.3225806451612903
0.0421657610256;0.0155363944906;8;[41, 13];[2, 2];[15, 10];[76, 23];0.3186813186813187
0.95782427383;0.0662184237068;4;[32, 12];[2, 3];[15, 15];[100];0.3169398907103825
0.0314892405848;0.027342211289;10;[50, 14];[3, 3];[15, 20];[23];0.3134328358208955
0.134205537079;0.18505116176;1;[60, 54];[4, 4];[10, 5];[99];0.3129251700680272
0.028827580216;0.765546507295;6;[52, 45];[2, 4];[20, 20];[68];0.3125
0.63169570125;0.00467739590273;2;[59, 40];[2, 4];[15, 15];[24, 4, 4];0.3088235294117647
0.00587780055476;0.00320070303246;7;[29, 51];[2, 4];[5, 20];[29, 12, 12];0.3076923076923077
0.0383033955541;0.0050611175758;7;[49, 43];[4, 2];[5, 20];[12];0.3
0.0313721938813;0.00339527255716;2;[22, 35];[3, 3];[15, 20];[57, 9];0.29145728643216084
0.490512975732;0.00374254717342;1;[13, 18];[4, 2];[5, 20];[18, 10, 4];0.28571428571428575
0.496387882069;0.0127805282191;5;[36, 41];[3, 4];[20, 10];[97];0.2832618025751073
0.620712241698;0.00714048492911;2;[40, 42];[4, 4];[10, 5];[26, 4];0.2787878787878788
0.0112023282189;0.00558442367406;6;[58, 19];[2, 3];[20, 20];[79, 78];0.2706766917293233
0.036965061432;0.186435039128;2;[15, 50];[2, 3];[20, 5];[15];0.2545454545454545
0.0165288423881;0.0204631933491;5;[37, 19];[3, 4];[10, 15];[4, 4, 4];0.25
0.00889844718305;0.0196852051979;7;[39, 19];[3, 4];[20, 20];[26, 10, 4];0.24489795918367346
0.150326731862;0.00724273971181;10;[12, 58];[4, 3];[15, 5];[75];0.24427480916030533
0.0115542904062;0.0683006446628;6;[14, 58];[4, 3];[10, 20];[79, 15, 8];0.24215246636771298
0.0257305658976;0.00800242739084;2;[31, 39];[2, 4];[20, 15];[8];0.24193548387096775
0.510485016865;0.00647460025469;6;[27, 47];[2, 2];[15, 20];[93];0.23391812865497075
0.00813477151827;0.0122222542372;4;[52, 45];[2, 2];[5, 10];[90];0.22811671087533156
0.0169519818639;0.0146446842004;7;[37, 45];[3, 3];[15, 15];[65];0.22413793103448276
0.0103213995438;0.14192135603;7;[40, 46];[4, 4];[20, 15];[40, 32, 24];0.20289855072463772
0.0155276269634;0.00800208645829;5;[12, 16];[4, 4];[10, 20];[92, 11];0.20071684587813615
0.0195521116283;0.0598073354272;1;[32, 58];[4, 3];[5, 10];[87, 24, 11];0.1579778830963665
0.00505235158972;0.526364028952;5;[37, 25];[2, 2];[10, 10];[7, 4, 4];0.15711947626841244
0.0178305521614;0.0752067250176;2;[33, 41];[2, 3];[10, 15];[28];0.14583333333333334
0.0051797824687;0.0402302166525;5;[16, 20];[2, 2];[10, 20];[57];0.13961605584642234
0.689409157612;0.00733607851013;9;[57, 59];[2, 2];[5, 5];[27, 10, 7];0.13953488372093023
