Learning rate;Beta;Gamma;Layers;F-measure
0.139934290694;0.280436283407;9;[89, 39, 28];nan
0.480304687788;0.0842303577768;3;[65, 24];nan
0.223866630672;0.006320122979;3;[100, 83];0.2710280373831776
0.770514396509;0.00579873723412;10;[72];0.24822695035460993
0.374614679451;0.0344190385126;8;[50, 8];0.24299065420560748
0.541945984065;0.00722917478387;9;[76, 19, 12];0.24031007751937986
0.163580015483;0.00688213410153;10;[49, 29];0.2376237623762376
0.246307387452;0.0147827055008;5;[69];0.23529411764705885
0.302948034635;0.138293798631;9;[70, 41];0.20717131474103584
0.614892119126;0.0218998636386;2;[49, 36];0.20091324200913244
0.0923630357253;0.0142109130579;10;[91, 25];0.20000000000000004
0.133814443331;0.0638428376839;7;[22, 18];0.19607843137254902
0.316435678995;0.0229978491498;6;[92, 10, 7];0.18775510204081633
0.33904357385;0.148092609867;10;[77, 60];0.18705035971223022
0.164663410976;0.103325337582;7;[85];0.18584070796460175
0.748641524278;0.030066124449;5;[87, 11];0.18367346938775508
0.0580318006242;0.0957400453747;7;[68, 36];0.18110236220472445
0.583380909899;0.00635569503424;7;[100, 41, 33];0.17886178861788618
0.260246910015;0.0452680213706;2;[57, 47, 22];0.17233560090702946
0.48459313235;0.006593227014;9;[51, 32];0.16891891891891894
0.0396476268612;0.195933546835;10;[49, 44];0.15071283095723015
0.190881011499;0.12031090108;6;[66, 35];0.14634146341463414
0.0716404794774;0.278709742224;4;[81, 78];0.13917525773195877
0.17047253839;0.00455555961783;5;[40, 21];0.13793103448275862
0.199179876889;0.0175267748119;3;[23, 18];0.12253374870197302
0.0643732756623;0.0334152552564;6;[71, 28, 6];0.07561436672967864
0.0610976868718;0.0538261125816;5;[84, 22];0.0748898678414097
0.211702085745;0.00759841047428;4;[53, 32, 27];0.06983240223463688
0.125857463114;0.215686649541;7;[64, 27];0.06666666666666667
0.0823324580561;0.0305191705759;7;[30];0.056746532156368226
0.168443031773;0.182311404685;10;[34, 16, 14];0.0547945205479452
