Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.0281539167175;0.712328995162;3;[38, 41];[2, 2];[5, 15];[94, 33];nan
0.042720328329;0.117083124354;3;[33, 44];[4, 4];[5, 10];[91, 27];0.47826086956521735
0.0175040241675;0.361140827758;7;[47, 53];[3, 4];[15, 5];[24, 19];0.46956521739130436
0.0268069196987;0.449084888965;10;[31, 41];[2, 3];[10, 5];[47];0.4615384615384615
0.256381790914;0.0113246515644;3;[52, 51];[2, 2];[10, 10];[69];0.460431654676259
0.0191455028318;0.115378220364;5;[31, 60];[3, 4];[15, 15];[64, 12];0.4587155963302752
0.0170927058002;0.209356583421;6;[15, 42];[4, 4];[20, 15];[67, 26, 17];0.45
0.0546948256666;0.0324446895973;7;[52, 55];[2, 3];[10, 10];[60, 7];0.4444444444444444
0.168367541933;0.00750982586964;2;[58, 58];[2, 4];[5, 15];[56, 44];0.4424778761061947
0.0366967932019;0.00693962453719;3;[54, 47];[4, 4];[10, 20];[19, 12];0.44036697247706424
0.0367011884169;0.326685903375;9;[60, 58];[3, 2];[10, 20];[49, 4];0.43859649122807015
0.0850216322815;0.00682125042285;9;[25, 53];[4, 2];[10, 10];[80];0.43410852713178294
0.0460091654853;0.00526442299123;10;[29, 37];[3, 4];[10, 10];[4, 4, 4];0.42857142857142855
0.0325115785434;0.016349936628;4;[32, 52];[2, 4];[5, 10];[27, 11, 9];0.4247787610619469
0.0560304679719;0.0263614820139;5;[23, 57];[3, 3];[10, 10];[84, 14];0.4186046511627907
0.0322887885194;0.578685154692;10;[48, 35];[2, 2];[20, 20];[27];0.4158415841584158
0.0953869961607;0.0214233127148;5;[45, 53];[3, 4];[15, 5];[26, 12];0.4137931034482759
0.0157892569893;0.0332950435773;10;[39, 15];[4, 2];[10, 15];[52, 21, 11];0.4132231404958677
0.0504594529275;0.023195485208;2;[33, 10];[2, 4];[10, 20];[61, 27, 26];0.4125
0.115338274485;0.00961061925793;9;[44, 54];[2, 4];[20, 15];[84, 37, 20];0.40993788819875776
0.0724438815211;0.00726054004028;9;[19, 30];[4, 2];[5, 20];[61, 48];0.40740740740740744
0.013097008093;0.00864888311576;7;[18, 30];[3, 2];[5, 15];[59, 7, 6];0.40384615384615385
0.120285137528;0.152775059131;5;[21, 30];[4, 4];[10, 15];[86, 74, 58];0.4032258064516129
0.320722743512;0.013328505052;4;[33, 12];[3, 2];[15, 10];[75, 51];0.4
0.0492784490608;0.123739534163;3;[57, 17];[4, 3];[15, 10];[90, 24, 18];0.3968253968253968
0.0692577398925;0.0418226856962;5;[33, 51];[4, 3];[15, 20];[69];0.3963963963963964
0.0691808207683;0.36046898087;7;[38, 26];[3, 3];[20, 20];[54, 24, 12];0.39622641509433965
0.00969744301036;0.0162021878078;9;[44, 23];[4, 2];[5, 20];[46, 33];0.39370078740157477
0.0185304270759;0.121038204616;8;[46, 50];[3, 3];[15, 10];[39];0.39215686274509803
0.0211918969381;0.0367408088402;9;[14, 59];[2, 2];[10, 5];[6, 5, 5];0.39062499999999994
0.0337750498557;0.0166399750033;3;[44, 40];[4, 2];[10, 15];[6, 6];0.3880597014925373
0.357700691708;0.149571409676;3;[59, 54];[3, 4];[5, 15];[32, 12];0.3857142857142857
0.0241221778168;0.0622485519501;10;[17, 31];[2, 3];[15, 20];[69, 48, 33];0.3762376237623762
0.00619405305604;0.00535298350109;6;[25, 54];[3, 2];[20, 15];[71, 51, 30];0.37398373983739835
0.322643571764;0.0142982926242;4;[18, 25];[3, 2];[20, 10];[92, 92, 44];0.3703703703703704
0.658346441207;0.0179066807534;3;[10, 59];[3, 4];[10, 15];[76];0.3684210526315789
0.0359328799571;0.00721130352687;7;[52, 13];[2, 2];[20, 10];[14, 14, 10];0.368
0.281860154045;0.103554648485;2;[16, 57];[4, 2];[15, 5];[89];0.3604651162790698
0.0451366276259;0.168966224549;4;[19, 23];[3, 4];[15, 15];[33, 14];0.358974358974359
0.518867117444;0.0164252416099;4;[11, 33];[4, 2];[15, 5];[17];0.3582089552238806
0.126700091223;0.0565385155673;5;[38, 19];[2, 3];[20, 20];[20, 5, 4];0.34615384615384615
0.157865113491;0.375665493507;5;[54, 48];[4, 3];[10, 15];[60];0.34545454545454546
0.144984405155;0.025423203617;8;[60, 41];[2, 2];[20, 5];[72, 68];0.3448275862068966
