Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.0846179932584;0.0073229855545;6;[31];[4];[2];[79, 52, 40];0.4305555555555556
0.0874338544937;0.0118273766404;5;[];[];[];[96, 82, 72];0.4268292682926829
0.112841204546;0.373117388847;5;[26];[4];[2];[62, 51, 42];0.42187499999999994
0.177572986627;0.128276628247;3;[18];[3];[10];[8, 4];0.42187499999999994
0.125693137056;0.00514356877745;7;[28];[3];[2];[9, 9, 9];0.4027777777777778
0.119178686332;0.0259987333938;4;[52];[2];[5];[76];0.4
0.0435282181818;0.497248495833;6;[];[];[];[29, 5];0.4
0.276272617617;0.0055211875624;2;[59];[2];[2];[57];0.3980099502487562
0.517464506509;0.115135743613;5;[31];[3];[5];[51, 33];0.3942307692307692
0.0142252011623;0.0911448998044;9;[23];[3];[2];[70, 13, 7];0.3939393939393939
0.0801014234874;0.203437790783;9;[10];[2];[5];[9, 7];0.38938053097345127
0.264537260444;0.0177491557881;10;[23];[3];[5];[30, 28];0.38926174496644295
0.0917061916594;0.028246595937;9;[];[];[];[51, 37];0.38775510204081637
0.114668777754;0.090877227779;3;[41];[2];[10];[12, 11, 10];0.3816793893129771
0.381956210501;0.111235670066;10;[50];[2];[2];[67, 40, 29];0.37948717948717947
0.0809237540206;0.0771065951797;3;[];[];[];[83, 36, 8];0.3775510204081633
0.169851857307;0.0278374357459;10;[41];[2];[2];[7, 6];0.3764705882352941
0.182068935221;0.040665072466;8;[];[];[];[75, 68, 67];0.37623762376237624
0.184831573717;0.115097733902;2;[25];[4];[10];[16];0.3741935483870968
0.0369047237406;0.0754567117029;9;[58];[3];[10];[25, 25];0.3725490196078431
0.125051606205;0.00525331959168;5;[34];[3];[10];[81, 5];0.37234042553191493
0.510243066065;0.00628929500627;2;[56];[3];[10];[50, 40, 5];0.3716814159292035
0.0503562762024;0.00669445972738;3;[];[];[];[95, 5, 4];0.37000000000000005
0.032693313727;0.409821634327;9;[60];[3];[2];[38];0.36974789915966383
0.0993493432605;0.0726941894914;5;[11];[3];[2];[85];0.3687150837988827
0.113687854322;0.0752763456479;3;[];[];[];[92, 83, 44];0.36734693877551017
0.0737061185162;0.286702202582;8;[56];[2];[10];[85];0.3669724770642202
0.277692453781;0.420284789107;6;[33];[3];[2];[99, 44, 35];0.36507936507936506
0.613123519467;0.0381193287671;8;[39];[3];[10];[46, 31, 19];0.3627906976744186
0.0244080771148;0.229393380989;6;[51];[2];[10];[45, 15, 9];0.3577235772357723
0.178256006281;0.0810605146804;6;[];[];[];[42];0.35680751173708913
0.262879095557;0.440914503157;9;[];[];[];[30, 30];0.3492063492063492
0.476528792376;0.0216016637316;4;[24];[2];[10];[100];0.34554973821989526
0.0910783427541;0.00817374753068;4;[20];[2];[5];[15, 8];0.3356643356643356
0.23035795765;0.551754685801;7;[];[];[];[24];0.33548387096774196
0.00631166402901;0.208753009901;9;[42];[4];[2];[65, 42, 29];0.33333333333333337
0.0681341271837;0.0378382350746;2;[];[];[];[75, 15];0.3321799307958478
0.182618264618;0.303491998124;3;[];[];[];[25];0.32974910394265233
0.023721472652;0.00490256321818;3;[25];[2];[10];[89, 46];0.3257918552036199
0.678072786149;0.0420552877674;4;[12];[2];[10];[82, 11, 4];0.31999999999999995
0.199080324705;0.0422538975699;6;[];[];[];[85];0.31481481481481477
0.544687706214;0.00919784984028;9;[];[];[];[70, 15, 5];0.31182795698924737
0.014222338962;0.329094065687;8;[];[];[];[35, 30, 16];0.30917874396135264
0.43835525924;0.00397792933388;6;[];[];[];[73, 55, 4];0.30645161290322576
0.310016141462;0.199142276868;7;[];[];[];[7, 6];0.2830188679245283
0.325086855657;0.713307223925;4;[];[];[];[27];0.2782152230971129
0.544946081258;0.00369333025298;2;[];[];[];[9, 8];0.2738095238095238
0.42688852432;0.0103102891541;10;[];[];[];[22];0.263013698630137
0.138330774979;0.0112528591029;3;[];[];[];[20];0.26200873362445415
0.329831642056;0.024914712892;9;[];[];[];[88, 60];0.25679012345679014
0.910202283637;0.034732034305;5;[];[];[];[12, 8, 8];0.25474254742547425
0.283275101263;0.0646663155367;7;[];[];[];[57];0.23887587822014053
0.00920576688625;0.705480798057;8;[];[];[];[23, 9];0.22897196261682243
0.482247133109;0.215425226309;9;[];[];[];[65, 40];0.21212121212121213
0.0210949637279;0.0964603116613;8;[];[];[];[40];0.20833333333333334
0.00607145604912;0.218804512618;9;[];[];[];[89, 30, 4];0.1995133819951338
0.00417113457187;0.33824042667;8;[28];[3];[2];[13];0.1894353369763206
0.0122889300206;0.801192226006;2;[39];[3];[2];[55, 36, 21];0.18003273322422259
0.11084357796;0.12574168308;1;[];[];[];[38, 20, 5];0.1779935275080906
0.00703453483912;0.0581372931669;5;[20];[3];[2];[76, 12];0.17607973421926912
0.0119495670648;0.0235296195344;2;[51];[3];[5];[17, 15, 9];0.17543859649122806
0.00740647504044;0.034833109959;4;[47];[4];[10];[50, 20, 4];0.1727941176470588
0.526524922502;0.102792817559;1;[];[];[];[92];0.17080745341614906
