Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.xerces.impl.XMLVersionDetector.determineDocVersion(org.apache.xerces.xni.parser.XMLInputSource);org.apache.xerces.impl.msg.XMLMessageFormatter;0;0;0;0;0;0;0;0
org.apache.xerces.dom.EntityReferenceImpl.setReadOnly(boolean, boolean);org.apache.xerces.dom.ChildNode;0;1;3;0.9285714285714286;1.0;14;73;27
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.dispatch(boolean);org.apache.xerces.impl.io.MalformedByteSequenceException;0;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.dtd.NMTOKENDatatypeValidator.validate(java.lang.String, org.apache.xerces.impl.dv.ValidationContext);org.apache.xerces.util.XMLChar;0;0;1;1.0;1.0;5;7;118
org.apache.xerces.impl.xs.XSComplexTypeDecl.isDOMDerivedFrom(int, java.lang.String, java.lang.String);org.apache.xerces.impl.xs.SchemaSymbols;0;0;0;0;0;0;0;0
org.apache.xerces.impl.XML11DocumentScannerImpl.scanPubidLiteral(org.apache.xerces.xni.XMLString);org.apache.xerces.util.XMLChar;0;0;5;1.0;1.0;39;371;118
org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.traverseAttrsAndAttrGrps(org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.apache.xerces.impl.xs.XSAttributeGroupDecl, org.apache.xerces.impl.xs.XSComplexTypeDecl, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSDHandler;0;1;11;1.0;1.0;75;332;1030
org.apache.xerces.dom.DOMNormalizer.namespaceFixUp(org.apache.xerces.dom.AttributeMap, org.apache.xerces.dom.ElementImpl);org.apache.xerces.dom.DOMMessageFormatter;0;0;0;0;0;0;0;0
org.apache.html.dom.HTMLTableRowElementImpl.getVAlign();org.apache.html.dom.HTMLElementImpl;2;0;1;1.0;0.9090909090909091;3;121;104
org.apache.xerces.parsers.DOMParserImpl.endDTD(org.apache.xerces.xni.Augmentations);org.apache.xerces.parsers.AbstractDOMParser;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser.findDTValidator(java.lang.String, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.apache.xerces.xni.QName, org.w3c.dom.Element, short);org.apache.xerces.impl.xs.SchemaGrammar;0;1;5;0.9444444444444444;1.0;25;244;339
org.apache.xerces.impl.XMLDTDScannerImpl.scanNotationDecl();org.apache.xerces.impl.XMLEntityScanner;3;5;4;0.9193548387096774;1.0;30;1085;0
org.apache.xerces.dom.DOMNormalizer.normalizeNode(org.w3c.dom.Node);org.apache.xerces.impl.Constants;0;0;0;0;0;0;0;0
org.apache.html.dom.HTMLHtmlElementImpl.setVersion(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0;1;1.0;0.9714285714285714;3;9;395
org.apache.xerces.impl.XML11NSDocumentScannerImpl.scanAttribute(org.apache.xerces.util.XMLAttributesImpl);org.apache.xerces.impl.XMLEntityScanner;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDHandler.getGlobalDecl(int, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.apache.xerces.xni.QName, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser;1;12;13;0.892156862745098;1.0;116;1030;244
org.apache.html.dom.HTMLTableElementImpl.createCaption();org.apache.xerces.dom.ParentNode;0;1;2;0.9722222222222222;1.0;8;190;449
