Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.lucene.index.TermInfosReader.get(Term);org.apache.lucene.index.Term;1;3;3;0.7600;91;12;8;1;0;0.9524;39;7;2
org.apache.lucene.queryParser.QueryParserTokenManager.jjFillToken();org.apache.lucene.queryParser.CharStream;1;0;3;0.9623;817;32;19;5;0;0.7500;12;12;0
org.apache.lucene.index.DocumentWriter.writePostings(Posting[], String);org.apache.lucene.index.TermInfosWriter;3;0;2;0.9459;221;7;10;2;0;0.9459;55;4;11
org.apache.lucene.index.DocumentWriter.writePostings(Posting[], String);org.apache.lucene.store.OutputStream;3;0;2;0.9459;221;7;10;3;0;0.9189;69;14;4
org.apache.lucene.index.MultiTermPositions.nextPosition();org.apache.lucene.index.TermPositions;0;0;0;1.0000;9;2;0;0;0;1.0000;1;1;0
org.apache.lucene.index.SegmentReader.getTermFreqVector(int, String);org.apache.lucene.index.FieldInfos;1;0;2;0.9512;224;26;13;1;0;0.9565;109;15;2
org.apache.lucene.index.SegmentMergeQueue.close();org.apache.lucene.index.SegmentMergeInfo;0;0;0;1.0000;13;2;0;1;0;0.9091;30;2;6
org.apache.lucene.search.ParallelMultiSearcher.rewrite(Query);org.apache.lucene.search.Searchable;0;0;1;0.8889;82;5;2;1;0;0.9091;9;9;0
org.apache.lucene.index.TermVectorsWriter.writeDoc();org.apache.lucene.store.OutputStream;0;1;4;0.8148;135;14;13;3;0;0.8750;69;14;4
org.apache.lucene.search.TermScorer.skipTo(int);org.apache.lucene.index.TermDocs;0;0;6;0.6667;74;5;11;3;0;0.7857;8;8;0
org.apache.lucene.index.IndexReader.delete(Term);org.apache.lucene.index.TermDocs;0;2;0;0.9429;150;43;4;3;0;0.7000;8;8;0
org.apache.lucene.search.spans.NearSpans.min();org.apache.lucene.util.PriorityQueue;0;0;1;0.9615;134;14;11;1;0;0.9286;79;10;3
org.apache.lucene.document.Document.getValues(String);org.apache.lucene.document.Field;1;1;0;0.9000;57;7;2;0;1;0.9231;88;10;8
org.apache.lucene.index.SegmentReader.maxDoc();org.apache.lucene.index.FieldsReader;1;0;1;0.9744;224;26;13;0;1;0.8750;27;2;4
org.apache.lucene.index.IndexReader.open(Directory, boolean);org.apache.lucene.index.IndexWriter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.ParallelMultiSearcher.search(Query, Filter, int);org.apache.lucene.util.PriorityQueue;2;0;2;0.8182;82;5;2;1;1;0.8824;79;10;3
org.apache.lucene.index.DocumentWriter.writeNorms(Document, String);org.apache.lucene.index.FieldInfos;1;0;5;0.7917;221;7;10;1;0;0.9677;109;15;2
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager.getNextToken();org.apache.lucene.analysis.standard.CharStream;1;2;6;0.7667;825;16;30;6;0;0.6842;12;12;0
org.apache.lucene.search.PhraseScorer.skipTo(int);org.apache.lucene.search.PhrasePositions;1;1;2;0.8571;94;10;9;1;1;0.8571;35;4;6
org.apache.lucene.index.TermInfosReader.close();org.apache.lucene.index.SegmentTermEnum;0;0;1;0.9524;91;12;8;1;0;0.9615;92;11;13
org.apache.lucene.index.MultipleTermPositions.next();org.apache.lucene.index.TermPositions;1;0;4;0.8333;54;7;4;1;0;0.9412;1;1;0
org.apache.lucene.index.SegmentTermPositions.skipProx(long);org.apache.lucene.store.InputStream;0;0;2;0.8182;36;7;3;1;0;0.9565;101;15;7
org.apache.lucene.index.IndexWriter.docCount();org.apache.lucene.index.SegmentInfo;1;0;1;0.9697;216;17;20;0;1;0.8333;5;0;3
org.apache.lucene.index.FieldsWriter.addDocument(Document);org.apache.lucene.document.Field;1;0;3;0.8125;30;2;3;0;4;0.8182;88;10;8
org.apache.lucene.index.TermInfosReader.get(Term);org.apache.lucene.index.SegmentTermEnum;1;3;3;0.7600;91;12;8;0;4;0.8750;92;11;13
org.apache.lucene.index.IndexWriter.deleteSegments(Vector);org.apache.lucene.index.IndexReader;1;4;1;0.8485;216;17;20;0;1;0.9744;150;43;4
org.apache.lucene.index.SegmentTermEnum.growBuffer(int);org.apache.lucene.index.Term;1;0;2;0.9200;92;11;13;0;1;0.9231;39;7;2
org.apache.lucene.index.SegmentMerger.mergeNorms();org.apache.lucene.store.Directory;1;0;4;0.8947;250;14;16;1;0;0.9583;11;11;0
org.apache.lucene.search.BooleanQuery.BooleanWeight.explain(IndexReader, int);org.apache.lucene.search.BooleanQuery;3;0;2;0.8947;98;6;3;0;1;0.9545;84;10;2
org.apache.lucene.search.IndexSearcher.search(Query, Filter, int);org.apache.lucene.search.Filter;1;0;1;0.9412;86;9;1;1;0;0.8571;1;1;0
org.apache.lucene.search.Sort.setSort(String, boolean);org.apache.lucene.search.SortField;1;0;1;0.9000;39;4;3;0;2;1.0000;25;0;11
org.apache.lucene.index.SegmentTermPositions.seek(TermInfo);org.apache.lucene.index.TermInfo;1;0;2;0.8462;36;7;3;0;1;0.9231;25;2;4
org.apache.lucene.search.spans.NearSpans.queueToList();org.apache.lucene.util.PriorityQueue;0;1;3;0.8519;134;14;11;2;0;0.8824;79;10;3
org.apache.lucene.index.SegmentReader.doClose();org.apache.lucene.index.TermVectorsReader;1;1;9;0.7872;224;26;13;1;0;0.9667;127;6;5
org.apache.lucene.index.MultiTermDocs.doc();org.apache.lucene.index.TermDocs;1;0;2;0.8889;75;10;7;0;0;1.0000;8;8;0
org.apache.lucene.index.SegmentTermDocs.seek(TermEnum);org.apache.lucene.index.SegmentReader;1;1;1;0.9310;111;9;16;0;1;0.9773;224;26;13
org.apache.lucene.index.DocumentWriter.writePostings(Posting[], String);org.apache.lucene.index.FieldInfos;3;0;2;0.9459;221;7;10;1;0;0.9756;109;15;2
org.apache.lucene.index.DocumentWriter.writePostings(Posting[], String);org.apache.lucene.index.TermVectorsWriter;3;0;2;0.9459;221;7;10;7;0;0.8205;135;14;13
org.apache.lucene.index.SegmentMerger.bufferSkip(int);org.apache.lucene.store.OutputStream;0;0;6;0.8000;250;14;16;2;0;0.9130;69;14;4
org.apache.lucene.index.MultipleTermPositions.TermPositionsQueue.lessThan(Object, Object);org.apache.lucene.index.TermDocs;0;0;0;1.0000;14;2;0;1;0;0.8750;8;8;0
org.apache.lucene.index.TermInfosReader.readIndex();org.apache.lucene.index.SegmentTermEnum;1;0;6;0.7778;91;12;8;3;3;0.8125;92;11;13
org.apache.lucene.index.IndexReader.aquireWriteLock();org.apache.lucene.store.Lock;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.DateFilter.bits(IndexReader);org.apache.lucene.index.IndexReader;0;0;3;0.8235;67;6;3;3;0;0.9318;150;43;4
org.apache.lucene.index.SegmentTermEnum.seek(long, int, Term, TermInfo);org.apache.lucene.index.TermInfo;1;1;5;0.7778;92;11;13;1;0;0.9412;25;2;4
org.apache.lucene.analysis.standard.StandardTokenizer.jj_consume_token(int);org.apache.lucene.analysis.standard.StandardTokenizerTokenManager;1;1;5;0.7500;150;11;10;1;0;0.9697;825;16;30
org.apache.lucene.index.SegmentMerger.mergeVectors();org.apache.lucene.index.TermFreqVector;0;0;4;0.8974;250;14;16;3;0;0.8333;6;6;0
org.apache.lucene.search.spans.SpanWeight.sumOfSquaredWeights();org.apache.lucene.search.Similarity;1;0;5;0.6429;66;4;7;1;0;0.9375;55;15;2
org.apache.lucene.search.TermQuery.TermWeight.explain(IndexReader, int);org.apache.lucene.index.IndexReader;3;2;3;0.7368;58;6;5;1;0;0.9783;150;43;4
org.apache.lucene.index.IndexReader.open(Directory, boolean);org.apache.lucene.store.Directory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.RangeQuery.rewrite(IndexReader);org.apache.lucene.search.BooleanQuery;1;1;3;0.7333;80;4;3;1;0;0.9545;84;10;2
org.apache.lucene.search.BooleanQuery.BooleanWeight.explain(IndexReader, int);org.apache.lucene.search.Explanation;3;0;2;0.8947;98;6;3;2;2;0.7778;63;5;3
org.apache.lucene.search.spans.SpanTermQuery.getField();org.apache.lucene.index.Term;1;0;1;0.8000;66;4;1;0;1;0.9167;39;7;2
org.apache.lucene.search.PhrasePositions.skipTo(int);org.apache.lucene.index.TermDocs;0;0;3;0.7692;35;4;6;3;0;0.7273;8;8;0
org.apache.lucene.search.IndexSearcher.search(Query, Filter, int);org.apache.lucene.util.PriorityQueue;1;0;1;0.9412;86;9;1;1;1;0.8889;79;10;3
org.apache.lucene.index.IndexWriter.addIndexes(Directory[]);org.apache.lucene.index.SegmentInfos;0;1;1;0.9394;216;17;20;2;0;0.7143;43;4;2
org.apache.lucene.index.IndexReader.aquireWriteLock();org.apache.lucene.index.IndexWriter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.BooleanQuery.BooleanWeight.normalize(float);org.apache.lucene.search.BooleanClause;2;0;1;0.9231;98;6;3;0;1;0.9000;13;2;3
org.apache.lucene.index.FilterIndexReader.FilterTermDocs.seek(Term);org.apache.lucene.index.TermDocs;0;0;1;0.8889;27;8;1;1;0;0.8889;8;8;0
org.apache.lucene.index.TermEnum.skipTo(Term);org.apache.lucene.index.Term;0;2;0;0.6000;11;5;0;1;0;0.9231;39;7;2
