Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.lucene.index.IndexReader.aquireWriteLock();org.apache.lucene.store.Lock;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.DateFilter.bits(IndexReader);org.apache.lucene.index.IndexReader;0;0;3;0.8235;67;6;3;3;0;0.9189;130;34;3
org.apache.lucene.index.SegmentTermEnum.seek(long, int, Term, TermInfo);org.apache.lucene.index.TermInfo;1;1;5;0.7500;72;11;10;1;0;0.9375;22;2;3
org.apache.lucene.analysis.standard.StandardTokenizer.jj_consume_token(int);org.apache.lucene.analysis.standard.StandardTokenizerTokenManager;1;1;5;0.7500;150;11;10;1;0;0.9697;825;16;30
org.apache.lucene.index.SegmentMerger.mergeVectors();org.apache.lucene.index.TermFreqVector;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.spans.SpanWeight.sumOfSquaredWeights();org.apache.lucene.search.Similarity;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.TermQuery.TermWeight.explain(IndexReader, int);org.apache.lucene.index.IndexReader;3;2;3;0.7222;53;5;5;1;0;0.9744;130;34;3
org.apache.lucene.index.IndexReader.open(Directory, boolean);org.apache.lucene.store.Directory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.RangeQuery.rewrite(IndexReader);org.apache.lucene.search.BooleanQuery;1;1;3;0.7333;71;4;3;1;0;0.9545;84;10;2
org.apache.lucene.search.BooleanQuery.BooleanWeight.explain(IndexReader, int);org.apache.lucene.search.Explanation;4;0;2;0.8947;80;6;3;2;2;0.7778;63;5;3
org.apache.lucene.search.spans.SpanTermQuery.getField();org.apache.lucene.index.Term;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.PhrasePositions.skipTo(int);org.apache.lucene.index.TermDocs;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.IndexSearcher.search(Query, Filter, int);org.apache.lucene.util.PriorityQueue;1;0;1;0.9412;67;8;1;1;1;0.8947;79;10;3
org.apache.lucene.index.IndexWriter.addIndexes(Directory[]);org.apache.lucene.index.SegmentInfos;0;1;1;0.9394;217;17;16;2;0;0.6667;32;3;1
org.apache.lucene.index.IndexReader.aquireWriteLock();org.apache.lucene.index.IndexWriter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.BooleanQuery.BooleanWeight.normalize(float);org.apache.lucene.search.BooleanClause;2;0;1;0.9231;80;6;3;0;1;0.9000;13;2;3
org.apache.lucene.index.FilterIndexReader.FilterTermDocs.seek(Term);org.apache.lucene.index.TermDocs;0;0;1;0.8889;27;8;1;1;0;0.8889;8;8;0
org.apache.lucene.index.TermEnum.skipTo(Term);org.apache.lucene.index.Term;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.MultiSearcherThread.hits();org.apache.lucene.search.TopDocs;0;0;0;0;0;0;0;0;0;0;0;0;0
