Snapshot;Class;ChangeType
30c553aedce6586ee45982ab2d64e3a718903662;org.apache.lucene.index.MultiReader;M
7e5763e5ca7c02fc51214633283590000387547e;org.apache.lucene.store.FSDirectory;M
7e5763e5ca7c02fc51214633283590000387547e;org.apache.lucene.store.Lock;M
f5648fc28f51d2cac22f2b4eaf942035cf8a7636;org.apache.lucene.store.Lock;M
5bc629692781ffb313571dd869c9c4645719ed53;org.apache.lucene.store.FSDirectory;M
5bc629692781ffb313571dd869c9c4645719ed53;org.apache.lucene.store.Lock;M
5bc629692781ffb313571dd869c9c4645719ed53;org.apache.lucene.store.RAMDirectory;M
f0017af92143b46e782e7ccf557d416277f947e3;org.apache.lucene.search.CachingWrapperFilter;M
f0017af92143b46e782e7ccf557d416277f947e3;org.apache.lucene.search.FilteredQuery;M
f0017af92143b46e782e7ccf557d416277f947e3;org.apache.lucene.search.QueryFilter;M
f0017af92143b46e782e7ccf557d416277f947e3;org.apache.lucene.search.SortField;M
8271ebd473498601a95d6d4e32bf5f7091d173b9;org.apache.lucene.search.TestFilteredQuery;M
d9cd661cde5f25d63a295b68be8fcddcb653cee2;org.apache.lucene.search.FieldSortedHitQueue;M
b908476de5358680a5b72dda83ee4b3c87a5fd54;org.apache.lucene.search.ScoreDocComparator;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.FieldDoc;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.FieldDocSortedHitQueue;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.FieldSortedHitQueue;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.FloatSortedHitQueue;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.IntegerSortedHitQueue;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.MultiFieldSortedHitQueue;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.ScoreDocComparator;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.ScoreDocLookupComparator;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.SortComparatorSource;A
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.SortField;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.StringSortedHitQueue;M
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.SampleComparable;A
c8f455b48221f806b7916ef23833a5adce77cd13;org.apache.lucene.search.TestSort;M
1646bda9ef3ee82cfef7604ef0d2637e7cc41f52;org.apache.lucene.search.FilteredQuery;M
30ef9989dc6e8ff5334bb853f3de764e5f8547d5;org.apache.lucene.search.FilteredQuery;A
30ef9989dc6e8ff5334bb853f3de764e5f8547d5;org.apache.lucene.search.TestFilteredQuery;A
96e1b41127f44119e4140cd46d069e57c8b5f050;org.apache.lucene.search.IndexSearcher;M
9798fac712d9bcf827d40bcd234d89871bfe0f4e;org.apache.lucene.document.Document;M
221cfab84feb9af5099f3e7492945614b63c2c6b;org.apache.lucene.index.IndexReader;M
771fbd4b9d08877b3849057438de22abcb3c6811;org.apache.lucene.index.TestSegmentTermDocs;M
e51e76636ceb4e31c83022f43a0d3b171f73924e;org.apache.lucene.search.ConjunctionScorer;M
e51e76636ceb4e31c83022f43a0d3b171f73924e;org.apache.lucene.search.PhraseScorer;M
e51e76636ceb4e31c83022f43a0d3b171f73924e;org.apache.lucene.search.TestPhraseQuery;M
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;org.apache.lucene.index.IndexWriter;M
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;org.apache.lucene.index.SegmentMerger;M
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;org.apache.lucene.index.DocTest;M
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;org.apache.lucene.index.TestDoc;M
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;org.apache.lucene.index.TestSegmentMerger;M
236466c37f9ba20c632a44dac9d663115bb65e34;org.apache.lucene.store.RAMDirectory;M
8256d94f567c832be1e6a8b79aadb7e2cfae7a68;org.apache.lucene.index.IndexReader;M
1bbe8a9361c20a39d3d455cc27196231e0ffa849;org.apache.lucene.document.Document;M
6a9665f792b3c80bc708274e4e4252a0a4be42c4;org.apache.lucene.document.Document;M
6a9665f792b3c80bc708274e4e4252a0a4be42c4;org.apache.lucene.document.TestDocument;M
420d1d7c07968005bc735f3a823d956c8703e8c4;org.apache.lucene.demo.html.HTMLParser;M
d00487507e36b0106f140d6b9f4c0cf561aa0842;org.apache.lucene.index.SegmentMerger;M
d00487507e36b0106f140d6b9f4c0cf561aa0842;org.apache.lucene.index.SegmentTermDocs;M
d00487507e36b0106f140d6b9f4c0cf561aa0842;org.apache.lucene.index.SegmentTermEnum;M
d00487507e36b0106f140d6b9f4c0cf561aa0842;org.apache.lucene.index.TermInfosWriter;M
82dc3d50a3c737712c72f667443251337658607b;org.apache.lucene.search.TestPhraseQuery;M
0adb0734e2dea434723960ae76a8b90e5e615785;org.apache.lucene.index.SegmentTermDocs;M
