Snapshot;Class;ChangeType
ee22f72b3300762d48a6207a954ff79c5c97a68b;org.argouml.uml.diagram.static_structure.ui.FigComment;M
eaa228eb251c26c4fd7462fdf1b7cd520f257aab;org.argouml.language.cpp.generator.GeneratorCpp;M
eaa228eb251c26c4fd7462fdf1b7cd520f257aab;org.argouml.language.cpp.generator.TestCppFileGeneration;M
beb89aaac041ae6f4362bee81a50160111c1e7f3;org.argouml.uml.diagram.static_structure.ui.FigClass;M
beb89aaac041ae6f4362bee81a50160111c1e7f3;org.argouml.uml.diagram.static_structure.ui.FigClassifierBox;M
beb89aaac041ae6f4362bee81a50160111c1e7f3;org.argouml.uml.diagram.static_structure.ui.FigInterface;M
beb89aaac041ae6f4362bee81a50160111c1e7f3;org.argouml.uml.diagram.ui.FigCompartment;M
8a021b68311b661a3d4dc218add0e3d076596598;org.argouml.language.cpp.generator.GeneratorCpp;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.static_structure.ui.FigClass;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.static_structure.ui.FigClassifierBox;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.static_structure.ui.FigComment;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.static_structure.ui.FigInterface;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.static_structure.ui.FigPackage;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigAttributesCompartment;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigCompartment;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigEdgeModelElement;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigFeaturesCompartment;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigNodeModelElement;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigOperationsCompartment;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigRealization;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigTextGroup;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.FigUsage;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.ui.StereotypeUtility;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.diagram.use_case.ui.FigActor;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.ui.PropPanel;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.ui.TabStereotype;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.ui.foundation.core.ActionSetModelElementStereotype;M
3d4d53875248a200a26cd61795add587740b869a;org.argouml.uml.ui.foundation.core.PropPanelModelElement;M
4d1b2142253b68d25408272e1cad59539b34281d;org.argouml.uml.diagram.static_structure.ui.FigComment;M
4d1b2142253b68d25408272e1cad59539b34281d;org.argouml.uml.diagram.ui.FigNodeModelElement;M
4d1b2142253b68d25408272e1cad59539b34281d;org.argouml.uml.ui.foundation.core.UMLCommentBodyDocument;M
4d1b2142253b68d25408272e1cad59539b34281d;org.argouml.uml.ui.foundation.core.PropPanelComment;M
58c5b502121e8b3eefef3babe8fcd03492318d38;org.argouml.language.cpp.generator.GeneratorCpp;M
58c5b502121e8b3eefef3babe8fcd03492318d38;org.argouml.language.cpp.generator.TestGeneratorCpp;M
e616d1b4de449f079b9f6d695f71b84918dbacc5;org.argouml.persistence.FigEdgeHandler;A
e616d1b4de449f079b9f6d695f71b84918dbacc5;org.argouml.persistence.PGMLStackParser;M
e616d1b4de449f079b9f6d695f71b84918dbacc5;org.argouml.uml.diagram.sequence.ui.FigClassifierRole;M
e616d1b4de449f079b9f6d695f71b84918dbacc5;org.argouml.uml.diagram.ui.ActionSetAddCommentLinkMode;M
e616d1b4de449f079b9f6d695f71b84918dbacc5;org.argouml.uml.diagram.ui.FigCommentPort;M
6d7cf2cb437fcd984ba85dd49026a7ff799ac74b;org.argouml.persistence.OpenException;M
e365edf4e81fe8576aa2c0e1e1f5080b58a068b1;org.argouml.uml.diagram.ui.FigAssociation;M
e365edf4e81fe8576aa2c0e1e1f5080b58a068b1;org.argouml.uml.diagram.ui.FigEdgeModelElement;M
5662836dbec2704d6c3e003f46555d0238cf4c5a;org.argouml.notation.Notation;M
443dbecba9bd9e39a0aa22ecd1bb25a7ef5781cc;org.argouml.uml.ui.foundation.core.UMLModelElementStereotypeComboBoxModel;M
a100e0cfb3caa7780ad1c910a3cea0ce398185ec;org.argouml.uml.ui.foundation.core.ActionSetModelElementStereotype;M
572a820b6f0b3866b4d1a35571e8d61d798a88eb;org.argouml.ui.explorer.ExplorerEventAdaptor;M
3da64274e203d575b3a1463ca4a8bccf8356e361;org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel;M
481ecc845504354f0357dcf3529cda36d805696f;org.argouml.kernel.Project;M
77ca247f45d052448b584a6a2ac34bc614414a97;org.argouml.uml.generator.GeneratorDisplay;M
df6aaced823a4ccc4b4fa28d84feb31bd0562c2e;org.argouml.language.dummylanguage.generator.GeneratorDummy;M
df6aaced823a4ccc4b4fa28d84feb31bd0562c2e;org.argouml.language.php.generator.GeneratorPHP4;M
df6aaced823a4ccc4b4fa28d84feb31bd0562c2e;org.argouml.application.notation.Notation;D
