Snapshot;Class;ChangeType
b6e3001548db4767c58751bebd16f42e2d4be888;org.apache.xerces.jaxp.DocumentBuilderImpl;M
b6e3001548db4767c58751bebd16f42e2d4be888;org.apache.xerces.jaxp.SAXParserImpl;M
088733522b83dba18f32d1fcf7ef8c85f7fa9ab7;org.apache.xerces.impl.xs.XMLSchemaValidator;M
a7a5396409bce386d2e5933133c15764e28803d2;xni.parser.PSVIConfiguration;M
52dc86560fbc3a21140f97b7517885f3da891ee5;xni.Counter;M
52dc86560fbc3a21140f97b7517885f3da891ee5;xni.DocumentTracer;M
52dc86560fbc3a21140f97b7517885f3da891ee5;xni.Writer;M
4963078a62904dc0a292a995d65571baf7f7bc05;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
315a1d388e7248c487145a5c1193e31a2573319b;org.apache.xerces.dom.DOMConfigurationImpl;M
315a1d388e7248c487145a5c1193e31a2573319b;org.apache.xerces.parsers.DOMParserImpl;M
315a1d388e7248c487145a5c1193e31a2573319b;org.apache.xml.serialize.DOMSerializerImpl;M
7514cf82a6a64a039f4c04de5b7dd36830d6fb05;org.apache.xerces.impl.xs.XMLSchemaValidator;M
7514cf82a6a64a039f4c04de5b7dd36830d6fb05;org.apache.xerces.parsers.XML11Configuration;M
bc85acfa4f1e5fe96712673e41ea08dfb19a8cb3;org.apache.xerces.jaxp.validation.ValidatorHandlerImpl;M
b8f55d6a0bb8104edf575aca174caeea2a27a0ae;org.apache.xerces.parsers.DOMParserImpl;M
b8f55d6a0bb8104edf575aca174caeea2a27a0ae;org.apache.xml.serialize.DOMSerializerImpl;M
774b4d4bcd78aef580c04969f8cfe1f91559a50d;org.apache.xerces.jaxp.validation.AbstractXMLSchema;M
555ea6bb819f6761c59f0365b62cad483171873e;org.apache.xerces.jaxp.validation.ValidatorImpl;M
2abfd83cd04c6220dfd1036b8fcbe6020b774b06;org.apache.xerces.jaxp.validation.ValidatorHandlerImpl;A
1ae0cc3a6b18565e655c688137f9a14d8eac39d7;org.apache.xerces.dom.DOMConfigurationImpl;M
bd5d49c9f3520dfc90bbe6e264e794d7d4a00b9d;org.apache.xerces.dom.CoreDocumentImpl;M
eba0a7c083c6662e96d951b0338e687efcd38f18;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
6e42974ecb5f16a890939d6471a914398b42ef13;org.apache.xerces.impl.xs.XSComplexTypeDecl;M
fc6590095f492b910dbfe1f52da293210398f409;org.apache.xerces.util.AttributesProxy;M
21cc1d4f1a805ab6ba9896ecdb793db7707e1cf8;org.apache.xerces.util.AttributesProxy;A
e9d1a98f6430d8d88bf109a61558da46dc3ef28c;org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl;M
e9d1a98f6430d8d88bf109a61558da46dc3ef28c;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
e9d1a98f6430d8d88bf109a61558da46dc3ef28c;org.apache.xerces.xs.XSConstants;M
5c880c542f6e83cf46b5e1e6321c048a412ca189;org.apache.xerces.impl.xs.XMLSchemaValidator;M
276edcfbd3f6117bce58c400aadfaddc515303f9;org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser;M
fff398d00e7e317fcca23248560555d931a9d2f1;jaxp.ParserAPIUsage;M
a4dc290301658070551133f4f199dfce3280985b;org.apache.xerces.jaxp.DocumentBuilderFactoryImpl;M
a4dc290301658070551133f4f199dfce3280985b;org.apache.xerces.jaxp.DocumentBuilderImpl;M
a4dc290301658070551133f4f199dfce3280985b;org.apache.xerces.jaxp.SAXParserFactoryImpl;M
a4dc290301658070551133f4f199dfce3280985b;org.apache.xerces.jaxp.SAXParserImpl;M
598c343687cb225b7176c6286b6cda561fa410f4;org.apache.xerces.jaxp.DocumentBuilderImpl;M
598c343687cb225b7176c6286b6cda561fa410f4;org.apache.xerces.jaxp.SAXParserImpl;M
523c28d57af042082e5f24db4de86af65ccf533c;org.apache.xerces.jaxp.DocumentBuilderFactoryImpl;M
523c28d57af042082e5f24db4de86af65ccf533c;org.apache.xerces.jaxp.SAXParserFactoryImpl;M
8de0a309d07b3d70d519dc5a3e173be1fa413d33;simpletype.SimpleTypeUsage;M
f645be58d4c8ea8fb38af01ac0894cd26fc7aa62;org.apache.xerces.impl.xs.XMLSchemaValidator;M
ec492baa31293836b79cd621c9e3373c0e015f77;org.apache.xerces.impl.xs.XMLSchemaValidator;M
e478f4a07093267a935f7b7ee6f4dbddfd0226b0;org.apache.xerces.impl.xs.XMLSchemaValidator;M
a5e0067ced7e8027f964978f18264e2335cccacf;org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl;M
373c889b5f7fa55131ceef091c8c7c25e8613255;org.apache.xerces.jaxp.validation.Util;M
70c63ce31c6e67c516ed1ac386e9b3eb71bdaff8;org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter;M
b3ae4afd22b1eadac0f0001e08b68df5adadf775;org.apache.xerces.jaxp.validation.AbstractXMLSchema;M
1828bb046b5fa67cd2820750002901da9ef516cd;jaxp.ParserAPIUsage;A
552db2dbf92b902116b858526454c725fe2c20d8;jaxp.DatatypeAPITest;D
699565707df7b0da4da9be93932968b5c894f740;jaxp.DatatypeAPIUsage;A
d0691e5ebd80ba3c7fee0347bb99d3fe1c382ad4;jaxp.InlineSchemaValidator;A
d0691e5ebd80ba3c7fee0347bb99d3fe1c382ad4;jaxp.SourceValidator;A
d0691e5ebd80ba3c7fee0347bb99d3fe1c382ad4;jaxp.TypeInfoWriter;A
dd769bfa167efbdf38cf293a52bbe553f595ab9e;org.apache.xerces.impl.xs.opti.SchemaDOMParser;M
dd769bfa167efbdf38cf293a52bbe553f595ab9e;org.apache.xerces.impl.xs.traversers.XSDElementTraverser;M
dd769bfa167efbdf38cf293a52bbe553f595ab9e;org.apache.xerces.impl.xs.traversers.XSDHandler;M
dd769bfa167efbdf38cf293a52bbe553f595ab9e;org.apache.xerces.impl.xs.traversers.XSDocumentInfo;M
dd769bfa167efbdf38cf293a52bbe553f595ab9e;org.apache.xerces.util.DOMUtil;M
854833347e1b4d1e625c4fa4429559791e4c8c01;org.apache.xerces.impl.xs.traversers.SchemaContentHandler;M
854833347e1b4d1e625c4fa4429559791e4c8c01;org.apache.xerces.util.SAXLocatorWrapper;M
7ab071a531b7c0072dcdcd3cf0ae941385ceac5c;org.apache.xerces.util.SAXLocatorWrapper;A
36d5f7eaafa6ffc930ba243aa241dc4d42d21fe0;org.apache.xerces.impl.xs.traversers.SchemaContentHandler;A
efd09a56f2c28fb6c29888a491f2a6697ebb725e;org.apache.xerces.jaxp.validation.SoftReferenceGrammarPool;M
e150cd779902b17591dc80d16a5883a02186fbee;org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser;M
51371adc49beafda72a16f3f76dfd53c4dc12cd9;org.apache.xerces.jaxp.validation.DOMValidatorHelper;M
392f972e374249896f356b182f3263893bd4a272;org.apache.xerces.jaxp.validation.DOMValidatorHelper;M
4f41e887f1ac97abc70eb0c3319229688da74f20;org.apache.xerces.impl.xs.ElementPSVImpl;M
4f41e887f1ac97abc70eb0c3319229688da74f20;org.apache.xerces.impl.xs.XMLSchemaValidator;M
54a2313c719edb04037852968b4a1e46303a2aa6;org.apache.xerces.impl.xs.XSModelImpl;M
40ac1510d224e8d926e9b285e8a7161ee2faecb7;org.apache.xerces.impl.xs.identity.Field;M
c8876a376701489895385f334594dd57f16e2d2d;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
357321f3117eeaa6f5438734cf2d90892fcd7450;org.apache.xerces.impl.xs.XMLSchemaValidator;M
60eea5441d2c842344c3b3c9b4248a445e07d690;org.apache.xerces.impl.xs.XMLSchemaValidator;M
9c96450950923725292c5c56d386eca75cbd76c0;org.apache.xerces.impl.xs.XMLSchemaValidator;M
5d91dc4961c2a2dd523010e6b2d727daa4b0ed55;org.apache.xerces.util.EncodingMap;M
ba4592760d29030a7146eef559748db175be0011;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
bcd3f2180e827febdb8dd06f5384faf23bcb2302;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
e7041f38b07cb664cacf2062af891017ef70587a;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
2fc9967f80aba69a9f7f02601448ba555d8efb95;org.apache.xerces.jaxp.validation.AbstractXMLSchema;M
c3802c0cb30bdbb12a0bbdf57b909ae688bb87e9;org.apache.xerces.jaxp.validation.ValidatorImpl;A
b8689e1c7c0cb2555938c0af16d495fb679db5cf;org.apache.xerces.jaxp.validation.StreamValidatorHelper;A
b1b69690aee334ea6c9353aec8bdd981cbc0625a;org.apache.xerces.jaxp.validation.DOMDocumentHandler;A
b1b69690aee334ea6c9353aec8bdd981cbc0625a;org.apache.xerces.jaxp.validation.DOMResultAugmentor;A
b1b69690aee334ea6c9353aec8bdd981cbc0625a;org.apache.xerces.jaxp.validation.DOMResultBuilder;A
b1b69690aee334ea6c9353aec8bdd981cbc0625a;org.apache.xerces.jaxp.validation.DOMValidatorHelper;A
2148479d096e01cd9d39f01806eaabb68a6bea1a;org.apache.xerces.jaxp.validation.ValidatorHelper;A
ab616c50722649a811cd9150e06bad70bccdafd4;org.apache.xerces.jaxp.validation.XMLSchemaValidatorComponentManager;A
99386208986f1b46650ed21ff05909447ae1d250;org.apache.xerces.impl.Constants;M
586de9cf87b62c6e5ee3e6cfbc3b5a4b5236f518;org.apache.xml.serialize.EncodingInfo;M
d24713a1a7a9da0b450b3e767432a9fefdc86b0f;simpletype.DatatypeInterfaceUsage;M
58bd177f3c1fd4d3a536e760240c702a956cb049;org.apache.xerces.xinclude.XIncludeHandler;M
3c06b2c1c7bff4a27bea654194645758b720dce3;org.apache.xerces.jaxp.datatype.DurationImpl;M
3c06b2c1c7bff4a27bea654194645758b720dce3;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl;M
cc8e5328252999dfa16086ef6146297bdc713de1;org.apache.xerces.jaxp.SAXParserImpl;M
181ef10c9b3e4bb74302f3fb9a01c6dacb0c1573;org.apache.xerces.impl.xs.util.ShortListImpl;M
61ac59700f98afdee1a74e4912e89d5a02f91326;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
b87f7d9ccafc4d859b796f9a0bda50e6e6028764;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
54efe5d506910b2f0e36aebc54c4fbe8ec48a4e1;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
473030de5c27953cdbb25dc00a492220001eb3f7;org.apache.xerces.jaxp.validation.XMLSchemaFactory;A
341059b0b334bd535ecebf5e4be1ee4d69ecb5ec;org.apache.xerces.impl.xs.XMLSchemaLoader;M
2dd76de656667859c32ce97b3f90e1f1a691dd9d;org.apache.xerces.xs.datatypes.XSDecimal;M
15d59073a319622968502245eeea70b683a3f486;org.apache.xerces.xs.datatypes.ByteList;M
15d59073a319622968502245eeea70b683a3f486;org.apache.xerces.xs.datatypes.ObjectList;M
15d59073a319622968502245eeea70b683a3f486;org.apache.xerces.xs.datatypes.XSDateTime;M
15d59073a319622968502245eeea70b683a3f486;org.apache.xerces.xs.datatypes.XSDecimal;M
15d59073a319622968502245eeea70b683a3f486;org.apache.xerces.xs.datatypes.XSDouble;M
15d59073a319622968502245eeea70b683a3f486;org.apache.xerces.xs.datatypes.XSFloat;M
d93dfa338ec2dc4a6c0c847d5cd8693b996ca51b;org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter;A
2a84c00c086d3d709e873b7fdfda6fc86d8479e3;org.apache.xerces.util.XMLErrorCode;M
c1848f9f70aeaaff0115eea3ad1b6d59a0b8c40e;org.apache.xerces.util.DOMInputSource;M
c1848f9f70aeaaff0115eea3ad1b6d59a0b8c40e;org.apache.xerces.util.HTTPInputSource;M
5553273bbf5fa76c7c5abdba2a50c7f86a18278b;org.apache.xerces.util.SAXInputSource;A
448024d81054c9f22da973e33bbe97a111cac3fe;org.apache.xerces.util.DOMInputSource;A
fd9219611ecca1cd724963cc5bb3b2c36ae9513c;org.apache.xerces.jaxp.validation.XSGrammarPoolContainer;M
aff4a5268be4e058ec81aa1ab5fa45196f7a2f19;org.apache.xerces.jaxp.validation.Util;A
1608ddfa9f5f5bb9a3538f29ec807f3d8a5cdfbe;org.apache.xerces.jaxp.validation.AbstractXMLSchema;A
1608ddfa9f5f5bb9a3538f29ec807f3d8a5cdfbe;org.apache.xerces.jaxp.validation.EmptyXMLSchema;A
1608ddfa9f5f5bb9a3538f29ec807f3d8a5cdfbe;org.apache.xerces.jaxp.validation.SimpleXMLSchema;A
1608ddfa9f5f5bb9a3538f29ec807f3d8a5cdfbe;org.apache.xerces.jaxp.validation.WeakReferenceXMLSchema;A
1608ddfa9f5f5bb9a3538f29ec807f3d8a5cdfbe;org.apache.xerces.jaxp.validation.XMLSchema;A
79612a69cdcd68af2fcf452e545feb5016fa4320;org.apache.xerces.jaxp.validation.SoftReferenceGrammarPool;A
53412258b5249df59d89f2a53350febf03f2f05b;org.apache.xerces.jaxp.validation.XSGrammarPoolContainer;A
d018c114156bfa3c32fecbb92c2520e5bf6c9852;org.apache.xerces.jaxp.validation.ReadOnlyGrammarPool;A
a56cac1261fa28d926376afa1073693a11d53da1;org.apache.xerces.jaxp.validation.DraconianErrorHandler;M
a13272bf102f13d5b2a00f5f2f8a83c060ffd5e7;org.apache.xerces.jaxp.validation.DraconianErrorHandler;A
77e5dfcb1bce51a9d050ed33f27a8f3e7f678d6e;jaxp.DatatypeAPITest;M
77e5dfcb1bce51a9d050ed33f27a8f3e7f678d6e;simpletype.DatatypeInterfaceUsage;M
7d1c436c5ea1798c6cce8859ea00ac18832ac4d4;jaxp.DatatypeAPITest;M
acb37e01d014ee3fe90ca38dd68885342e868150;jaxp.DatatypeAPITest;M
aa7cd40aa337332b1d7166b83d9a9ac27b6b2687;jaxp.DatatypeAPITest;A
4f736e27af8995a21384de552585966225edd43e;simpletype.DatatypeInterfaceUsage;A
781e667880e69fdff70813be06c158f2821fc10f;org.apache.xerces.xinclude.XIncludeHandler;M
aeb5879fecb8d75cc21f4302da8b336e5de4deb9;org.apache.xerces.xinclude.XIncludeHandler;M
20c07094cb13688e298c3a6f2aa7d1050dcfcd12;org.apache.xerces.xinclude.XIncludeHandler;M
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.dom.CoreDOMImplementationImpl;M
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.dom.DOMNormalizer;M
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.dom.ElementNSImpl;M
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.impl.dtd.XMLDTDValidator;M
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
