Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.gjt.sp.util.WorkThread.setStatus(java.lang.String);org.gjt.sp.util.WorkThreadPool;1;1;1;0.9375;0.9714285714285714;4;97;186
org.gjt.sp.jedit.textarea.JEditTextArea.goToMatchingBracket();org.gjt.sp.jedit.TextUtilities;1;6;1;0.9818181818181818;1.0;12;2660;375
macos.Delegate.applicationOpenFiles(macos.NSApplication, macos.NSArray);org.gjt.sp.util.Log;0;0;4;1.0;1.0;14;224;209
bsh.Name.invokeLocalMethod(bsh.CallStack, bsh.Interpreter, bsh.SimpleNode, java.lang.Object[]);bsh.StringUtil;1;1;7;0.9583333333333334;1.0;41;341;44
org.gjt.sp.jedit.textarea.DisplayManager.init();org.gjt.sp.jedit.textarea.RangeMap;1;3;3;0.90625;0.9565217391304348;12;410;238
bsh.Parser.ThrowStatement();bsh.JJTParserState;4;4;1;0.9888579387186629;0.8695652173913043;39;5894;74
org.gjt.sp.jedit.textarea.JEditTextArea.userInput(char);org.gjt.sp.jedit.buffer.JEditBuffer;1;7;2;0.9783393501805054;0.9916666666666667;17;2660;1059
bsh.Parser.InstanceOfExpression();bsh.Token;1;7;3;0.9804469273743017;0.9444444444444444;28;5894;9
org.gjt.sp.jedit.textarea.JEditTextArea.addNotify();org.gjt.sp.jedit.buffer.JEditBuffer;1;4;1;0.985663082437276;0.9916666666666667;9;2660;1059
org.gjt.sp.jedit.buffer.BufferSaveRequest.run();org.gjt.sp.jedit.jEdit;1;1;9;1.0;1.0;81;104;1785
org.gjt.sp.jedit.textarea.JEditTextArea.smartHome(boolean);org.gjt.sp.jedit.gui.InputHandler;1;3;3;0.989010989010989;0.9411764705882353;17;2660;128
bsh.BSHFormalParameters.insureParsed();bsh.BSHFormalParameter;1;2;2;0.8181818181818181;0.875;10;39;12
org.gjt.sp.jedit.Buffer.insertFile(java.lang.String, org.gjt.sp.jedit.View);org.gjt.sp.jedit.io.VFSManager;0;1;9;0.9863013698630136;1.0;15;686;142
bsh.Parser.InstanceOfExpression();bsh.JJTParserState;2;7;3;0.9804469273743017;0.9230769230769231;28;5894;74
org.gjt.sp.jedit.pluginmgr.ManagePanel.unloadPluginJAR(org.gjt.sp.jedit.PluginJAR);org.gjt.sp.jedit.MiscUtilities;0;0;0;0;0;0;0;0
bsh.BSHTryStatement.eval(bsh.CallStack, bsh.Interpreter);bsh.Interpreter;1;0;10;1.0;0.9836065573770492;65;68;493
bsh.BSHTypedVariableDeclaration.eval(bsh.CallStack, bsh.Interpreter);bsh.UtilEvalError;1;2;7;0.8333333333333334;1.0;22;44;14
bsh.BSHMethodDeclaration.evalNodes(bsh.CallStack, bsh.Interpreter);bsh.Interpreter;1;5;4;0.7058823529411764;0.9814814814814815;9;57;493
installer.TarEntry.setModTime(long);installer.TarHeader;1;0;1;1.0;0.9375;3;216;106
org.objectweb.asm.ClassWriter.newInteger(int);org.objectweb.asm.Item;1;3;2;0.9142857142857143;0.9523809523809523;10;305;76
org.gjt.sp.jedit.pluginmgr.MirrorListHandler.endDocument();org.gjt.sp.jedit.pluginmgr.MirrorList;1;0;1;1.0;0.9;3;67;34
org.gjt.sp.jedit.gui.StatusBar.updateCaretStatus();org.gjt.sp.jedit.textarea.JEditTextArea;5;4;6;0.9402985074626866;0.9826388888888888;44;364;2660
org.gjt.sp.jedit.PluginJAR.startPlugin();org.gjt.sp.jedit.buffer.JEditBuffer;2;2;7;0.9655172413793104;0.9826086956521739;26;696;1059
com.loomcom.ant.tasks.jarbundler.JarBundler.setVersion(java.lang.String);com.loomcom.ant.tasks.jarbundler.AppBundleProperties;1;0;1;1.0;0.975;3;436;171
org.gjt.sp.jedit.options.EditingOptionPane._init();org.gjt.sp.jedit.MiscUtilities;0;19;5;0.62;1.0;45;209;662
org.gjt.sp.jedit.textarea.RangeMap.put(int, int, int[]);org.gjt.sp.util.Log;0;3;2;0.8571428571428572;1.0;29;238;209
org.gjt.sp.jedit.textarea.TextAreaTransferHandler.createTransferable(javax.swing.JComponent);org.gjt.sp.util.Log;0;0;2;1.0;1.0;9;137;209
org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(org.gjt.sp.jedit.syntax.ParserRule);org.gjt.sp.jedit.syntax.ParserRule;3;11;2;0.7222222222222222;0.8636363636363636;26;396;50
bsh.SimpleNode.getText();bsh.Token;1;0;1;1.0;0.8888888888888888;11;76;9
org.gjt.sp.jedit.options.DockingOptionPane._save();org.gjt.sp.jedit.options.WindowTableModel;1;0;1;1.0;0.9285714285714286;3;39;78
bsh.BSHPrimarySuffix.doName(boolean, bsh.CallStack, bsh.Interpreter, java.lang.Object);bsh.Reflect;1;1;4;0.9375;1.0;13;95;422
org.objectweb.asm.ClassWriter.newString(java.lang.String);org.objectweb.asm.ByteVector;1;4;2;0.8857142857142857;0.9411764705882353;10;305;139
org.gjt.sp.jedit.search.SearchBar.propertiesChanged();org.gjt.sp.jedit.GUIUtilities;0;1;2;0.9565217391304348;1.0;11;198;529
org.gjt.sp.jedit.textarea.TextAreaPainter.getToolTipText(int, int);org.gjt.sp.jedit.buffer.JEditBuffer;1;1;2;0.9841269841269842;0.9912280701754386;9;298;1059
org.gjt.sp.jedit.buffer.JEditBuffer.remove(int, int);org.gjt.sp.jedit.buffer.UndoManager;1;13;4;0.8859649122807017;1.0;26;1059;157
org.gjt.sp.jedit.options.ToolBarOptionPane.compare(java.lang.Object, java.lang.Object);org.gjt.sp.jedit.MiscUtilities;1;1;1;0.9444444444444444;1.0;3;177;662
org.gjt.sp.jedit.View.close();org.gjt.sp.jedit.EditBus;0;7;4;0.9230769230769231;1.0;27;762;44
bsh.BshMethod.invokeImpl(boolean, bsh.CallStack, bsh.Interpreter, bsh.SimpleNode, java.lang.Object[]);bsh.CallStack;4;5;8;0.8387096774193549;0.8666666666666667;64;139;52
org.gjt.sp.jedit.BeanShellAction.invoke(org.gjt.sp.jedit.View);org.gjt.sp.util.Log;0;2;2;0.8181818181818181;1.0;13;61;209
org.gjt.sp.jedit.syntax.XModeHandler.endDocument();org.gjt.sp.jedit.syntax.ParserRuleSet;1;0;2;1.0;0.962962962962963;6;344;126
org.gjt.sp.jedit.search.RESearchMatcher.nextMatch(boolean, boolean, boolean, boolean, gnu.regexp.CharIndexed);gnu.regexp.REMatch;3;0;3;1.0;0.8928571428571429;28;32;95
org.gjt.sp.jedit.textarea.JEditTextArea.recalculateLastPhysicalLine();org.gjt.sp.jedit.textarea.ChunkCache;2;4;1;0.9852941176470589;0.9545454545454546;12;2660;334
org.gjt.sp.jedit.View.unsplitCurrent();org.gjt.sp.jedit.GUIUtilities;0;5;3;0.9456521739130435;1.0;32;762;529
gnu.regexp.RETokenOneOf.dump(java.lang.StringBuffer);gnu.regexp.REToken;1;2;1;0.8;0.9090909090909091;8;69;30
org.gjt.sp.jedit.browser.VFSBrowser.mousePressed(java.awt.event.MouseEvent);org.gjt.sp.jedit.GUIUtilities;1;2;1;0.96875;1.0;8;763;529
org.gjt.sp.jedit.EditPane.getToolTipText(int, int);org.gjt.sp.jedit.textarea.JEditTextArea;2;1;5;0.9743589743589743;0.9927797833935018;21;435;2660
bsh.Parser.getNextToken();bsh.Token;0;1;2;0.9971671388101983;1.0;6;5894;9
org.gjt.sp.jedit.syntax.DisplayTokenHandler.createChunk(byte, int, int, org.gjt.sp.jedit.syntax.TokenMarker.LineContext);org.gjt.sp.jedit.syntax.TokenMarker;0;1;3;0.9411764705882353;1.0;3;86;396
org.gjt.sp.jedit.search.SearchDialog.load();org.gjt.sp.jedit.jEdit;0;9;10;0.8301886792452831;1.0;35;499;1785
org.gjt.sp.jedit.View.updateGutterBorders();org.gjt.sp.jedit.textarea.JEditTextArea;0;1;3;0.9875;1.0;4;762;2660
org.gjt.sp.jedit.browser.BrowserCommandsMenu.createEncodingMenu();org.gjt.sp.jedit.jEdit;0;3;3;0.875;1.0;51;143;1785
installer.TarEntry.setUserId(int);installer.TarHeader;1;0;1;1.0;0.9375;3;216;106
org.gjt.sp.jedit.PluginJAR.loadCache(org.gjt.sp.jedit.PluginJAR.PluginCacheEntry);org.gjt.sp.jedit.ActionSet;2;18;6;0.6842105263157895;0.95;40;696;155
org.gjt.sp.jedit.buffer.BufferSaveRequest.run();org.gjt.sp.jedit.io.VFS;10;1;9;1.0;0.9516129032258065;81;104;240
org.gjt.sp.jedit.options.AppearanceOptionPane._init();org.gjt.sp.jedit.jEdit;0;11;3;0.5925925925925926;1.0;49;101;1785
bsh.ClassGeneratorUtil.generateClass();org.objectweb.asm.Type;0;14;5;0.7777777777777778;1.0;40;493;317
org.gjt.sp.jedit.options.ShortcutsOptionPane.initModels();org.gjt.sp.jedit.ActionSet;3;3;3;0.9032258064516129;0.875;16;168;155
bsh.NameSpace.classForName(java.lang.String);bsh.BshClassManager;1;1;1;0.9878048780487805;0.9767441860465116;3;495;206
org.gjt.sp.jedit.textarea.JEditTextArea.goToPrevCharacter(boolean);org.gjt.sp.jedit.textarea.DisplayManager;1;10;2;0.9637681159420289;0.9767441860465116;49;2660;410
bsh.BSHFormalParameters.getTypeDescriptors(bsh.CallStack, bsh.Interpreter, java.lang.String);bsh.SimpleNode;1;3;2;0.7;0.9545454545454546;11;39;76
org.gjt.sp.jedit.gui.HistoryTextArea.setText(java.lang.String);org.gjt.sp.jedit.gui.HistoryText;1;0;1;1.0;0.95;4;77;153
org.gjt.sp.jedit.buffer.JEditBuffer.markTokens(int, org.gjt.sp.jedit.syntax.TokenHandler);org.gjt.sp.jedit.Debug;0;3;5;0.9741379310344828;1.0;31;1059;0
org.gjt.sp.jedit.gui.StatusBar.run();org.gjt.sp.util.WorkThreadPool;1;4;2;0.9245283018867925;0.9761904761904762;17;364;186
bsh.BSHPrimarySuffix.doIndex(boolean, bsh.CallStack, bsh.Interpreter, java.lang.Object);bsh.UtilEvalError;1;1;2;1.0;1.0;10;95;14
org.gjt.sp.jedit.gui.DefaultInputHandler.handleKey(org.gjt.sp.jedit.gui.KeyEventTranslator.Key);org.gjt.sp.jedit.gui.InputHandler;6;3;5;0.8846153846153846;0.7391304347826086;53;154;128
org.gjt.sp.jedit.browser.VFSFileChooserDialog.filesActivated(org.gjt.sp.jedit.browser.VFSBrowser, org.gjt.sp.jedit.io.VFSFile[]);org.gjt.sp.jedit.gui.HistoryTextField;1;4;4;0.8461538461538461;0.962962962962963;23;277;159
org.gjt.sp.jedit.io.FileVFS.save(java.lang.String, org.gjt.sp.jedit.Buffer, org.gjt.sp.jedit.View);org.gjt.sp.util.Log;0;0;5;1.0;1.0;8;243;209
org.objectweb.asm.ClassWriter.newNameType(java.lang.String, java.lang.String);org.objectweb.asm.Item;2;5;1;0.8529411764705882;0.9047619047619048;10;305;76
installer.TarEntry.getGroupName();installer.TarHeader;1;0;1;1.0;0.9411764705882353;3;216;106
bsh.TargetError.toString();bsh.EvalError;1;2;1;0.8;0.9;3;47;59
org.gjt.sp.jedit.browser.VFSBrowser.locateFile(java.lang.String);org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;1;3;5;0.9516129032258065;0.9642857142857143;10;763;259
org.gjt.sp.jedit.browser.FileCellRenderer.getEntryWidth(java.awt.Font, java.awt.font.FontRenderContext, org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.Entry);org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel;1;1;2;0.95;0.9615384615384616;10;106;124
org.gjt.sp.jedit.View.updateTitle();org.gjt.sp.jedit.OperatingSystem;0;2;5;0.978494623655914;1.0;23;762;119
org.gjt.sp.jedit.search.HyperSearchResult.goTo(org.gjt.sp.jedit.EditPane);org.gjt.sp.jedit.io.VFSManager;0;5;3;0.8;1.0;16;80;142
org.gjt.sp.jedit.Buffer.isLoaded();org.gjt.sp.jedit.buffer.JEditBuffer;1;0;1;1.0;0.9907407407407407;3;686;1059
bsh.Parser.EnhancedForStatement();bsh.Token;1;9;3;0.9752747252747253;0.9615384615384616;71;5894;9
org.gjt.sp.jedit.PluginJAR.checkDependencies();org.gjt.sp.jedit.EditPlugin;1;4;5;0.9384615384615385;0.962962962962963;115;696;53
bsh.EvalError.getErrorLineNumber();bsh.SimpleNode;1;0;1;1.0;0.9444444444444444;4;59;76
org.gjt.sp.jedit.gui.AddAbbrevDialog.actionPerformed(java.awt.event.ActionEvent);org.gjt.sp.jedit.gui.AbbrevEditor;2;2;5;0.8666666666666667;0.8823529411764706;22;61;139
installer.SwingInstall.createCompPanel();installer.Install;2;1;2;0.9811320754716981;0.9047619047619048;21;296;56
bsh.ParserTokenManager.jjMoveStringLiteralDfa18_0(long, long, long, long);bsh.JavaCharStream;1;5;1;0.9090909090909091;0.9777777777777777;20;1699;331
org.objectweb.asm.ClassWriter.newClass(java.lang.String);org.objectweb.asm.Item;2;4;2;0.8857142857142857;0.9047619047619048;10;305;76
org.gjt.sp.jedit.browser.VFSFileChooserDialog.ok();org.gjt.sp.jedit.buffer.JEditBuffer;0;5;9;0.875;1.0;57;277;1059
org.gjt.sp.jedit.Buffer.removeMarker(int);org.gjt.sp.jedit.msg.BufferUpdate;0;2;5;0.971830985915493;1.0;12;686;18
org.gjt.sp.jedit.browser.VFSBrowser.locateFile(java.lang.String);gnu.regexp.RE;1;3;5;0.9516129032258065;0.9736842105263158;10;763;615
org.gjt.sp.jedit.pluginmgr.PluginManager.stateChanged(javax.swing.event.ChangeEvent);org.gjt.sp.jedit.pluginmgr.InstallPanel;1;2;2;0.8823529411764706;0.9787234042553191;9;170;365
org.gjt.sp.jedit.gui.DockableWindowManager.hideDockableWindow(java.lang.String);org.gjt.sp.util.Log;0;3;1;0.9166666666666666;1.0;9;409;209
org.gjt.sp.jedit.browser.BrowserIORequest.listDirectory();org.gjt.sp.util.WorkRequest;2;3;5;0.8421052631578947;0.8461538461538461;33;179;16
bsh.BSHAllocationExpression.constructObject(bsh.CallStack, java.lang.Class, java.lang.Object[]);bsh.Interpreter;0;0;8;1.0;1.0;26;119;493
org.gjt.sp.jedit.textarea.ChunkCache.updateChunksUpTo(int);org.gjt.sp.jedit.textarea.JEditTextArea;1;14;7;0.72;0.9965870307167235;92;334;2660
